onset	duration	contrast	orientation	run
0.200006910238881	1.99973825239576	0.8	1.3963	5
2.5996928131138	1.99973825239576	0.8	1.3963	5
13.4001473381533	1.99973825239576	0.8	1.7453	5
15.7998332410282	1.99973825239576	0.8	1.7453	5
20.000469174661	1.99973825239576	0.3	1.0472	5
22.4001550775359	1.99973825239576	0.3	1.0472	5
26.6004785485449	1.99973825239576	0.3	1.3963	5
29.0001644514198	1.99973825239576	0.3	1.3963	5
33.2004689944035	1.99973825239576	0.8	1.7453	5
35.6001548972784	1.99973825239576	0.8	1.7453	5
46.4001918040041	1.99973825239576	0.8	1.0472	5
48.7998777068791	1.99973825239576	0.8	1.0472	5
53.0004923089175	1.99973825239576	0.3	2.7925	5
55.4001782117924	1.99973825239576	0.3	2.7925	5
59.6004274729232	1.99973825239576	0.8	2.0944	5
62.0001133757981	1.99973825239576	0.8	2.0944	5
66.2006174141599	1.99973825239576	0.3	0.69813	5
68.6003033170348	1.99973825239576	0.3	0.69813	5
72.8004870811885	1.99973825239576	0.3	0	5
75.2001729840634	1.99973825239576	0.3	0	5
79.4004964550433	1.99973825239576	0.8	1.0472	5
81.8001823579182	1.99973825239576	0.8	1.0472	5
92.6002063455118	1.99973825239576	0.3	1.0472	5
94.9998922483867	1.99973825239576	0.3	1.0472	5
99.2005086531164	1.99973825239576	0.3	1.3963	5
101.600194555991	1.99973825239576	0.3	1.3963	5
112.400197211991	1.99973825239576	0.3	0.34907	5
114.799883114866	1.99973825239576	0.3	0.34907	5
119.000471277791	1.99973825239576	0.8	0.69813	5
121.400157180666	1.99973825239576	0.8	0.69813	5
125.600536233967	1.99973825239576	0.8	1.3963	5
128.000222136842	1.99973825239576	0.8	1.3963	5
132.200471097504	1.99973825239576	0.8	0.69813	5
134.600157000379	1.99973825239576	0.8	0.69813	5
145.400215238699	1.99973825239576	0.8	2.0944	5
147.799901141574	1.99973825239576	0.8	2.0944	5
152.000524756953	1.99973825239576	0.3	0	5
154.400210659828	1.99973825239576	0.3	0	5
158.600439190271	1.99973825239576	0.8	2.7925	5
161.000125093146	1.99973825239576	0.8	2.7925	5
165.200497837114	1.99973825239576	0.3	0.34907	5
167.600183739989	1.99973825239576	0.3	0.34907	5
171.800463346025	1.99973825239576	0.8	2.4435	5
174.2001492489	1.99973825239576	0.8	2.4435	5
178.400457697676	1.99973825239576	0.8	0	5
180.800143600551	1.99973825239576	0.8	0	5
185.000537075207	1.99973825239576	0.3	0.69813	5
187.400222978082	1.99973825239576	0.3	0.69813	5
198.200174258021	1.99973825239576	0.3	1.7453	5
200.599860160896	1.99973825239576	0.3	1.7453	5
204.800502704299	1.99973825239576	0.8	0.34907	5
207.200188607174	1.99973825239576	0.8	0.34907	5
211.400437267427	1.99973825239576	0.3	1.7453	5
213.800123170302	1.99973825239576	0.3	1.7453	5
218.000452349766	1.99973825239576	0.3	2.4435	5
220.400138252641	1.99973825239576	0.3	2.4435	5
224.600500180578	1.99973825239576	0.8	2.7925	5
227.000186083453	1.99973825239576	0.8	2.7925	5
231.200419120566	1.99973825239576	0.3	2.4435	5
233.600105023441	1.99973825239576	0.3	2.4435	5
244.400173476856	1.99973825239576	0.8	0.34907	5
246.799859379731	1.99973825239576	0.8	0.34907	5
251.000472179108	1.99973825239576	0.3	2.0944	5
253.400158081983	1.99973825239576	0.3	2.0944	5
257.600416356453	1.99973825239576	0.3	2.7925	5
260.000102259328	1.99973825239576	0.3	2.7925	5
264.200713256042	1.99973825239576	0.8	0	5
266.600399158917	1.99973825239576	0.8	0	5
270.800698594353	1.99973825239576	0.3	2.0944	5
273.200384497228	1.99973825239576	0.3	2.0944	5
284.00021199389	1.99973825239576	0.8	2.4435	5
286.399897896765	1.99973825239576	0.8	2.4435	5
