onset	duration	contrast	orientation	run
0.200532087811735	1.99854849083349	0.8	2.0944	7
2.59879027681192	1.99854849083349	0.8	2.0944	7
13.4004084247164	1.99854849083349	0.8	0.69813	7
15.7986666137166	1.99854849083349	0.8	0.69813	7
20.0015294444922	1.99854849083349	0.8	0.34907	7
22.3997876334924	1.99854849083349	0.8	0.34907	7
26.606691447366	1.99854849083349	0.3	0.69813	7
29.0049496363662	1.99854849083349	0.3	0.69813	7
33.2011852548923	1.99854849083349	0.3	2.0944	7
35.5994434438925	1.99854849083349	0.3	2.0944	7
46.4002633098746	1.99854849083349	0.8	2.0944	7
48.7985214988748	1.99854849083349	0.8	2.0944	7
53.0006993154122	1.99854849083349	0.8	2.7925	7
55.3989575044124	1.99854849083349	0.8	2.7925	7
66.2002064056171	1.99854849083349	0.8	1.7453	7
68.5984645946173	1.99854849083349	0.8	1.7453	7
72.8005733088532	1.99854849083349	0.8	0	7
75.1988314978534	1.99854849083349	0.8	0	7
79.4006274489977	1.99854849083349	0.3	2.4435	7
81.7988856379979	1.99854849083349	0.3	2.4435	7
86.0005578058946	1.99854849083349	0.3	0	7
88.3988159948948	1.99854849083349	0.3	0	7
92.600599327375	1.99854849083349	0.3	2.7925	7
94.9988575163751	1.99854849083349	0.3	2.7925	7
105.800171013211	1.99854849083349	0.3	1.3963	7
108.198429202212	1.99854849083349	0.3	1.3963	7
112.400490746618	1.99854849083349	0.8	0	7
114.798748935618	1.99854849083349	0.8	0	7
119.000582141936	1.99854849083349	0.3	1.0472	7
121.398840330936	1.99854849083349	0.3	1.0472	7
125.600556363747	1.99854849083349	0.3	2.0944	7
127.998814552748	1.99854849083349	0.3	2.0944	7
138.80017341678	1.99854849083349	0.8	0.34907	7
141.19843160578	1.99854849083349	0.8	0.34907	7
152.000197572535	1.99854849083349	0.8	2.7925	7
154.398455761535	1.99854849083349	0.8	2.7925	7
158.600514902372	1.99854849083349	0.3	0.69813	7
160.998773091373	1.99854849083349	0.3	0.69813	7
165.20063994751	1.99854849083349	0.3	0.34907	7
167.59889813651	1.99854849083349	0.3	0.34907	7
171.800514421647	1.99854849083349	0.8	2.4435	7
174.198772610647	1.99854849083349	0.8	2.4435	7
185.000162420492	1.99854849083349	0.3	1.7453	7
187.398420609492	1.99854849083349	0.3	1.7453	7
191.600547951314	1.99854849083349	0.3	0	7
193.998806140315	1.99854849083349	0.3	0	7
198.200464187295	1.99854849083349	0.8	2.4435	7
200.598722376295	1.99854849083349	0.8	2.4435	7
204.800587129302	1.99854849083349	0.3	1.3963	7
207.198845318302	1.99854849083349	0.3	1.3963	7
211.400607619656	1.99854849083349	0.3	1.7453	7
213.798865808656	1.99854849083349	0.3	1.7453	7
218.000575832574	1.99854849083349	0.8	1.3963	7
220.398834021575	1.99854849083349	0.8	1.3963	7
224.600630874065	1.99854849083349	0.8	0.69813	7
226.998889063065	1.99854849083349	0.8	0.69813	7
231.200484917982	1.99854849083349	0.3	0.34907	7
233.598743106982	1.99854849083349	0.3	0.34907	7
237.800547470589	1.99854849083349	0.3	2.7925	7
240.198805659589	1.99854849083349	0.3	2.7925	7
244.400504867506	1.99854849083349	0.8	1.0472	7
246.798763056506	1.99854849083349	0.8	1.0472	7
251.000531366753	1.99854849083349	0.8	1.3963	7
253.398789555753	1.99854849083349	0.8	1.3963	7
257.600483355654	1.99854849083349	0.3	1.0472	7
259.998741544654	1.99854849083349	0.3	1.0472	7
264.200575652317	1.99854849083349	0.8	1.7453	7
266.598833841317	1.99854849083349	0.8	1.7453	7
270.800506610092	1.99854849083349	0.3	2.4435	7
273.198764799092	1.99854849083349	0.3	2.4435	7
284.000178043602	1.99854849083349	0.8	1.0472	7
286.398436232603	1.99854849083349	0.8	1.0472	7
