onset	duration	orientation	contrast	side	trial	subject
0	5.4375	30	0.2	left	1	4
0	5.4375	60	0.2	right	1	4
3.95018638974224	0.4	n/a	n/a	middle	1	4
7.53482649081312	0.4	n/a	n/a	middle	2	4
8.47980642795901	5.4375	45	0.8	right	2	4
8.50131448508326	5.4375	75	0.8	left	2	4
11.5633370667067	0.4	n/a	n/a	middle	3	4
15.1835705292735	0.4	n/a	n/a	middle	4	4
16.9688966248613	5.4375	30	0.2	right	3	4
17.0026614530884	5.4375	135	0.8	left	3	4
18.5939930207755	0.4	n/a	n/a	middle	5	4
22.495471402051	0.4	n/a	n/a	middle	6	4
25.5039796602104	5.4375	45	0.2	left	4	4
25.617840174758	5.4375	0	0.2	right	4	4
26.2894851930028	0.4	n/a	n/a	middle	7	4
30.5380052892321	0.4	n/a	n/a	middle	8	4
34.0052974182406	5.4375	105	0.2	left	5	4
34.2167555504196	5.4375	105	0.2	right	5	4
34.7737436070078	0.4	n/a	n/a	middle	9	4
38.239812782936	0.4	n/a	n/a	middle	10	4
42.3674418826098	0.4	n/a	n/a	middle	11	4
42.3964643601455	5.4375	135	0.2	right	6	4
42.5065647880221	5.4375	15	0.8	left	6	4
46.5508359262215	0.4	n/a	n/a	middle	12	4
50.3186154389411	0.4	n/a	n/a	middle	13	4
50.9096146924038	5.4375	120	0.8	right	7	4
51.0079995329319	5.4375	105	0.2	left	7	4
54.6971907479229	0.4	n/a	n/a	middle	14	4
58.180815323704	0.4	n/a	n/a	middle	15	4
59.50930192679	5.4375	60	0.2	left	8	4
59.6741718082233	5.4375	0	0.2	right	8	4
62.4558027646649	0.4	n/a	n/a	middle	16	4
65.9683954155094	0.4	n/a	n/a	middle	17	4
68.0106346840151	5.4375	150	0.2	left	9	4
68.5004889635574	5.4375	135	0.8	right	9	4
69.5735578361132	0.4	n/a	n/a	middle	18	4
73.0257089486736	0.4	n/a	n/a	middle	19	4
76.511986145626	5.4375	15	0.2	left	10	4
76.6097691503094	5.4375	0	0.2	right	10	4
76.9944973488279	0.4	n/a	n/a	middle	20	4
80.7234082413185	0.4	n/a	n/a	middle	21	4
84.3427436034091	0.4	n/a	n/a	middle	22	4
84.6839940449243	5.4375	90	0.8	right	11	4
85.0132273949524	5.4375	135	0.2	left	11	4
88.4309496329761	0.4	n/a	n/a	middle	23	4
92.0695578841252	0.4	n/a	n/a	middle	24	4
92.9670845904912	5.4375	15	0.8	right	12	4
93.5149229341383	5.4375	75	0.8	left	12	4
96.3773554734854	0.4	n/a	n/a	middle	25	4
100.197722039827	0.4	n/a	n/a	middle	26	4
101.617978002593	5.4375	0	0.2	right	13	4
102.016567463692	5.4375	165	0.2	left	13	4
104.058531867047	0.4	n/a	n/a	middle	27	4
108.238788917112	0.4	n/a	n/a	middle	28	4
110.517275066622	5.4375	30	0.8	left	14	4
110.530317095556	5.4375	30	0.2	right	14	4
111.868537277012	0.4	n/a	n/a	middle	29	4
115.564364602042	0.4	n/a	n/a	middle	30	4
119.018614767938	5.4375	0	0.2	left	15	4
119.468248480425	5.4375	120	0.8	right	15	4
119.659004501504	0.4	n/a	n/a	middle	31	4
123.792565769122	0.4	n/a	n/a	middle	32	4
127.468434662591	5.4375	135	0.8	right	16	4
127.519941453945	5.4375	75	0.8	left	16	4
127.696487472052	0.4	n/a	n/a	middle	33	4
131.248129037243	0.4	n/a	n/a	middle	34	4
135.306354947522	0.4	n/a	n/a	middle	35	4
135.813370378271	5.4375	135	0.8	right	17	4
136.022316822699	5.4375	135	0.8	left	17	4
139.529505992592	0.4	n/a	n/a	middle	36	4
143.464697609626	0.4	n/a	n/a	middle	37	4
144.522473746989	5.4375	90	0.2	left	18	4
144.541223288903	5.4375	0	0.2	right	18	4
147.016736868557	0.4	n/a	n/a	middle	38	4
151.033655969098	0.4	n/a	n/a	middle	39	4
153.02390107644	5.4375	0	0.2	left	19	4
153.495561637467	5.4375	30	0.2	right	19	4
155.03453420206	0.4	n/a	n/a	middle	40	4
159.097048314429	0.4	n/a	n/a	middle	41	4
161.525248948628	5.4375	90	0.2	left	20	4
161.655838533945	5.4375	30	0.8	right	20	4
163.033892218521	0.4	n/a	n/a	middle	42	4
167.34191163726	0.4	n/a	n/a	middle	43	4
169.998368281333	5.4375	75	0.2	right	21	4
170.029475122597	5.4375	135	0.8	left	21	4
171.462991288602	0.4	n/a	n/a	middle	44	4
174.895775880205	0.4	n/a	n/a	middle	45	4
178.52780638786	5.4375	165	0.8	left	22	4
178.66565457889	0.4	n/a	n/a	middle	46	4
178.700913417511	5.4375	120	0.8	right	22	4
182.611224960642	0.4	n/a	n/a	middle	47	4
186.393193958472	0.4	n/a	n/a	middle	48	4
187.02928578287	5.4375	75	0.8	left	23	4
187.218118569948	5.4375	150	0.2	right	23	4
190.040485563655	0.4	n/a	n/a	middle	49	4
193.445529854107	0.4	n/a	n/a	middle	50	4
195.440437862852	5.4375	150	0.8	right	24	4
195.530715924997	5.4375	0	0.2	left	24	4
197.483027188404	0.4	n/a	n/a	middle	51	4
201.494063693502	0.4	n/a	n/a	middle	52	4
204.031931434023	5.4375	45	0.2	left	25	4
204.221885203807	5.4375	165	0.2	right	25	4
205.018428412179	0.4	n/a	n/a	middle	53	4
209.231761399955	0.4	n/a	n/a	middle	54	4
212.531429204532	5.4375	135	0.8	left	26	4
212.688599940031	5.4375	90	0.2	right	26	4
213.353241847429	0.4	n/a	n/a	middle	55	4
217.406030162281	0.4	n/a	n/a	middle	56	4
221.034685354704	5.4375	30	0.2	left	27	4
221.555755875639	5.4375	45	0.2	right	27	4
221.694586855168	0.4	n/a	n/a	middle	57	4
225.728033469262	0.4	n/a	n/a	middle	58	4
229.535879461829	5.4375	135	0.2	left	28	4
229.589692642471	5.4375	135	0.8	right	28	4
229.911257774718	0.4	n/a	n/a	middle	59	4
233.401011177918	0.4	n/a	n/a	middle	60	4
237.063691076184	0.4	n/a	n/a	middle	61	4
237.527531521806	5.4375	15	0.2	right	29	4
238.037035535074	5.4375	15	0.8	left	29	4
240.845438443776	0.4	n/a	n/a	middle	62	4
245.081169216494	0.4	n/a	n/a	middle	63	4
246.541348080448	5.4375	120	0.2	left	30	4
246.633600561126	5.4375	30	0.2	right	30	4
248.799318014685	0.4	n/a	n/a	middle	64	4
252.86944788907	0.4	n/a	n/a	middle	65	4
255.039885593805	5.4375	75	0.2	left	31	4
255.374454883844	5.4375	60	0.8	right	31	4
256.959612145669	0.4	n/a	n/a	middle	66	4
260.980859046565	0.4	n/a	n/a	middle	67	4
263.541216460715	5.4375	0	0.2	left	32	4
263.763140113408	5.4375	45	0.2	right	32	4
264.787864132956	0.4	n/a	n/a	middle	68	4
268.69192528685	0.4	n/a	n/a	middle	69	4
272.044048133504	5.4375	135	0.2	left	33	4
272.061664657669	5.4375	75	0.2	right	33	4
272.117831086418	0.4	n/a	n/a	middle	70	4
276.309403441006	0.4	n/a	n/a	middle	71	4
279.991404454025	0.4	n/a	n/a	middle	72	4
280.26830836679	5.4375	120	0.8	right	34	4
280.545754607335	5.4375	120	0.2	left	34	4
283.794784276564	0.4	n/a	n/a	middle	73	4
287.839976679606	0.4	n/a	n/a	middle	74	4
289.044768309188	5.4375	75	0.8	left	35	4
289.046397374236	5.4375	30	0.2	right	35	4
291.934932845783	0.4	n/a	n/a	middle	75	4
296.234794437018	0.4	n/a	n/a	middle	76	4
297.546532303312	5.4375	120	0.8	left	36	4
297.635211561141	5.4375	120	0.8	right	36	4
299.878384071743	0.4	n/a	n/a	middle	77	4
303.652954451805	0.4	n/a	n/a	middle	78	4
305.852751820789	5.4375	75	0.8	right	37	4
306.047741361941	5.4375	45	0.2	left	37	4
307.750407700689	0.4	n/a	n/a	middle	79	4
312.029595259413	0.4	n/a	n/a	middle	80	4
314.53115137908	5.4375	120	0.2	right	38	4
314.549161196044	5.4375	105	0.8	left	38	4
315.683971038895	0.4	n/a	n/a	middle	81	4
319.980540514153	0.4	n/a	n/a	middle	82	4
323.042020864906	5.4375	45	0.2	right	39	4
323.050510190528	5.4375	150	0.2	left	39	4
323.583968746074	0.4	n/a	n/a	middle	83	4
327.630506733295	0.4	n/a	n/a	middle	84	4
331.55204822361	5.4375	45	0.8	left	40	4
331.843931309261	5.4375	15	0.8	right	40	4
331.951309122031	0.4	n/a	n/a	middle	85	4
335.577074839815	0.4	n/a	n/a	middle	86	4
339.217197126036	0.4	n/a	n/a	middle	87	4
340.053141346792	5.4375	90	0.8	left	41	4
340.107780530244	5.4375	105	0.8	right	41	4
343.56728549098	0.4	n/a	n/a	middle	88	4
347.848796713755	0.4	n/a	n/a	middle	89	4
348.555711704878	5.4375	15	0.2	left	42	4
348.66330703764	5.4375	15	0.8	right	42	4
351.643187759238	0.4	n/a	n/a	middle	90	4
355.447544107885	0.4	n/a	n/a	middle	91	4
356.963437097637	5.4375	0	0.2	right	43	4
357.056521695729	5.4375	120	0.8	left	43	4
359.330058788951	0.4	n/a	n/a	middle	92	4
362.902112755551	0.4	n/a	n/a	middle	93	4
365.372466971175	5.4375	75	0.2	right	44	4
365.557184820873	5.4375	60	0.8	left	44	4
367.085395328268	0.4	n/a	n/a	middle	94	4
371.38883327645	0.4	n/a	n/a	middle	95	4
374.058527737611	5.4375	60	0.2	left	45	4
374.281687131924	5.4375	30	0.2	right	45	4
382.250675330909	5.4375	165	0.8	right	46	4
382.559828205461	5.4375	135	0.8	left	46	4
391.058636641733	5.4375	0	0.2	right	47	4
391.061158973773	5.4375	150	0.8	left	47	4
399.5625	5.4375	150	0.8	left	48	4
399.5625	5.4375	105	0.2	right	48	4
