onset	duration	trial
3.56595986594184	0.4	1
7.84567319393189	0.4	2
11.9618484430178	0.4	3
16.0985932423875	0.4	4
19.8288160816407	0.4	5
24.1610590457521	0.4	6
27.9413404139136	0.4	7
31.4310577796352	0.4	8
35.475066014492	0.4	9
39.2487860613844	0.4	10
42.7447083363675	0.4	11
46.7665061122068	0.4	12
51.0864196859101	0.4	13
55.0641542266247	0.4	14
58.5054605924402	0.4	15
62.0788765536697	0.4	16
66.0802873314432	0.4	17
69.5012484073572	0.4	18
73.6565107580568	0.4	19
77.4263818624101	0.4	20
80.8339235246858	0.4	21
84.9449695838911	0.4	22
88.7712240731015	0.4	23
92.1967007752085	0.4	24
96.5771250241153	0.4	25
100.458103555797	0.4	26
104.154286999506	0.4	27
108.403902660227	0.4	28
112.4062135788	0.4	29
116.709288810956	0.4	30
120.295767815551	0.4	31
124.557090563158	0.4	32
128.38613860927	0.4	33
132.782038047765	0.4	34
136.601288231896	0.4	35
140.461563064729	0.4	36
144.21137162523	0.4	37
148.075232862199	0.4	38
152.355609339839	0.4	39
155.875278669623	0.4	40
160.229565913507	0.4	41
164.076462116467	0.4	42
168.075197084726	0.4	43
171.994759879725	0.4	44
176.34806815636	0.4	45
180.625134017491	0.4	46
184.742568846214	0.4	47
188.497036661963	0.4	48
192.5638425895	0.4	49
196.48265226391	0.4	50
200.328732288334	0.4	51
203.782599279726	0.4	52
207.755138463041	0.4	53
212.132491449983	0.4	54
215.724352369252	0.4	55
219.648763419394	0.4	56
223.393771414379	0.4	57
226.93075552716	0.4	58
230.376306297398	0.4	59
234.354359958601	0.4	60
238.053293038475	0.4	61
242.05362664247	0.4	62
245.971726013809	0.4	63
249.9518841704	0.4	64
253.589620741087	0.4	65
257.316619577931	0.4	66
261.650414778467	0.4	67
265.96830904656	0.4	68
270.279331569714	0.4	69
274.172707136912	0.4	70
277.651139998269	0.4	71
281.566513179329	0.4	72
