onset	duration	trial
3.87778153393165	0.4	1
7.76499470803644	0.4	2
11.4182482986581	0.4	3
15.7449343487844	0.4	4
19.3916732804298	0.4	5
23.7791378986023	0.4	6
27.6305641876765	0.4	7
31.4793273821567	0.4	8
35.7219074393707	0.4	9
39.5840825644942	0.4	10
43.5168976969633	0.4	11
47.0382908239613	0.4	12
51.3160550527193	0.4	13
54.9139060093029	0.4	14
58.9561057991681	0.4	15
63.3543243216597	0.4	16
67.236980081126	0.4	17
70.7357850204144	0.4	18
75.0112977918319	0.4	19
78.5656428355673	0.4	20
82.71010901099	0.4	21
87.0268522547718	0.4	22
90.8030501450693	0.4	23
94.4113631719442	0.4	24
98.4602812107853	0.4	25
102.362027668188	0.4	26
106.192424383466	0.4	27
110.530293529686	0.4	28
114.836852386116	0.4	29
119.142702640765	0.4	30
122.803621551493	0.4	31
126.321796343589	0.4	32
130.644534563596	0.4	33
134.355965852523	0.4	34
138.168623349678	0.4	35
141.966630496545	0.4	36
145.979149087709	0.4	37
149.914995507737	0.4	38
154.044008131395	0.4	39
158.409148986309	0.4	40
162.77290774115	0.4	41
166.467600968033	0.4	42
170.0085403227	0.4	43
173.739817737717	0.4	44
177.660814376113	0.4	45
181.843999642652	0.4	46
185.392824628749	0.4	47
189.703418705691	0.4	48
193.678513337632	0.4	49
197.952853143507	0.4	50
202.337463067659	0.4	51
206.377869384789	0.4	52
210.543326022415	0.4	53
214.492436977621	0.4	54
218.226985310455	0.4	55
222.13258811712	0.4	56
226.396378223748	0.4	57
230.269404261779	0.4	58
234.577558605392	0.4	59
238.957354029465	0.4	60
242.467703689253	0.4	61
246.403206512249	0.4	62
250.271445862192	0.4	63
254.197532857487	0.4	64
258.315871924448	0.4	65
262.257658440617	0.4	66
265.978453675721	0.4	67
269.988607822159	0.4	68
273.836308796421	0.4	69
278.163991385494	0.4	70
282.035049623068	0.4	71
286.299201817848	0.4	72
