side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	exitflag	response	correct
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	139.9	0.4	n/a	n/a	36	dim	3.0999999999999943	34.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	143.4	0.4	n/a	n/a	37	dim	2.5	29	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	146.3	0.4	n/a	n/a	38	dim	4.199999999999989	45.999999999999886	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	150.9	0.4	n/a	n/a	39	dim	2.5	29	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	153.8	0.4	n/a	n/a	40	dim	4.999999999999972	53.999999999999716	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	159.2	0.4	n/a	n/a	41	dim	2	24	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	161.6	0.4	n/a	n/a	42	dim	2.0999999999999943	24.999999999999943	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	164.1	0.4	n/a	n/a	43	dim	4.400000000000006	48.00000000000006	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	168.9	0.4	n/a	n/a	44	dim	4.599999999999994	49.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	173.9	0.4	n/a	n/a	45	dim	3.6999999999999886	40.999999999999886	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	178	0.4	n/a	n/a	46	dim	4.299999999999983	46.99999999999983	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	182.7	0.4	n/a	n/a	47	dim	3.5999999999999943	39.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	186.7	0.4	n/a	n/a	48	dim	3.8000000000000114	42.000000000000114	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	190.9	0.4	n/a	n/a	49	dim	2.5	29	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	193.8	0.4	n/a	n/a	50	dim	3.4999999999999716	38.999999999999716	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	197.7	0.4	n/a	n/a	51	dim	2.0999999999999943	24.999999999999943	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	200.2	0.4	n/a	n/a	52	dim	2.0999999999999943	24.999999999999943	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	202.7	0.4	n/a	n/a	53	dim	3	34	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	206.1	0.4	n/a	n/a	54	dim	3.9000000000000057	43.00000000000006	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	210.4	0.4	n/a	n/a	55	dim	4.699999999999989	50.999999999999886	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	215.5	0.4	n/a	n/a	56	dim	4	44	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	219.9	0.4	n/a	n/a	57	dim	4.099999999999994	44.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	224.4	0.4	n/a	n/a	58	dim	4.099999999999994	44.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	228.9	0.4	n/a	n/a	59	dim	4.399999999999977	47.99999999999977	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	233.7	0.4	n/a	n/a	60	dim	4	44	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	238.1	0.4	n/a	n/a	61	dim	3.5999999999999943	39.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	242.1	0.4	n/a	n/a	62	dim	3	34	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	245.5	0.4	n/a	n/a	63	dim	4.799999999999983	51.99999999999983	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	250.7	0.4	n/a	n/a	64	dim	2.700000000000017	31.00000000000017	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	253.8	0.4	n/a	n/a	65	dim	3.5	39	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	257.7	0.4	n/a	n/a	66	dim	77.90000000000003	783.0000000000005	NA	NO RESPONSE	NA
