side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	exitflag	response	correct
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	0	5	120	0.2	1	grating	3	80	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	8	5	0	0.2	2	grating	3.3000000000000007	83	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	16.3	5	75	0.2	3	grating	3.5	85	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	24.8	5	90	0.2	4	grating	2.8000000000000007	78	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	32.6	5	30	0.8	5	grating	3	80	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	40.6	5	135	0.8	6	grating	3.1999999999999957	81.99999999999996	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	48.8	5	60	0.8	7	grating	3	80	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	56.8	5	60	0.8	8	grating	2.6000000000000085	76.00000000000009	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	64.4	5	30	0.2	9	grating	3.3999999999999915	83.99999999999991	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	72.8	5	0	0.2	10	grating	2.5	75	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	80.3	5	150	0.8	11	grating	3	80	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	88.3	5	90	0.8	12	grating	2.5	75	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	95.8	5	30	0.2	13	grating	3.700000000000003	87.00000000000003	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	104.5	5	135	0.2	14	grating	3.0999999999999943	80.99999999999994	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	112.6	5	120	0.8	15	grating	3.6000000000000085	86.00000000000009	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	121.2	5	0	0.2	16	grating	2.8999999999999915	78.99999999999991	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	129.1	5	45	0.8	17	grating	3.5999999999999943	85.99999999999994	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	137.7	5	75	0.8	18	grating	2.8000000000000114	78.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	145.5	5	150	0.8	19	grating	3.5999999999999943	85.99999999999994	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	154.1	5	45	0.2	20	grating	3.5999999999999943	85.99999999999994	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	162.7	5	120	0.2	21	grating	3	80	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	170.7	5	75	0.8	22	grating	3.3000000000000114	83.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	179	5	45	0.8	23	grating	3.1999999999999886	81.99999999999989	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	187.2	5	60	0.2	24	grating	3.6000000000000227	86.00000000000023	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	195.8	5	165	0.2	25	grating	2.6999999999999886	76.99999999999989	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	203.5	5	165	0.8	26	grating	2.5	75	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	211	5	15	0.8	27	grating	3.5999999999999943	85.99999999999994	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	219.6	5	120	0.8	28	grating	2.8000000000000114	78.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	227.4	5	165	0.2	29	grating	2.799999999999983	77.99999999999983	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	235.2	5	135	0.8	30	grating	3.3000000000000114	83.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	243.5	5	150	0.2	31	grating	2.8000000000000114	78.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	251.3	5	135	0.2	32	grating	3.5	85	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	259.8	5	60	0.2	33	grating	3.599999999999966	85.99999999999966	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	268.4	5	105	0.8	34	grating	3.7000000000000455	87.00000000000045	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	277.1	5	150	0.2	35	grating	3	80	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	285.1	5	90	0.8	36	grating	3.5	85	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	293.6	5	45	0.2	37	grating	2.6999999999999886	76.99999999999989	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	301.3	5	0	0.2	38	grating	3.3000000000000114	83.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	309.6	5	105	0.2	39	grating	3.3999999999999773	83.99999999999977	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	318	5	75	0.2	40	grating	2.6000000000000227	76.00000000000023	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	325.6	5	105	0.8	41	grating	3.099999999999966	80.99999999999966	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	333.7	5	30	0.8	42	grating	3.6000000000000227	86.00000000000023	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	342.3	5	105	0.2	43	grating	2.8000000000000114	78.00000000000011	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	350.1	5	15	0.2	44	grating	2.7999999999999545	77.99999999999955	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	357.9	5	15	0.2	45	grating	3.5	85	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	366.4	5	15	0.8	46	grating	3.1000000000000227	81.00000000000023	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	374.5	5	90	0.2	47	grating	2.6000000000000227	76.00000000000023	NA	NO RESPONSE	NA
left	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	382.1	5	165	0.8	48	grating	32.89999999999998	378.9999999999998	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	0	5	120	0.2	1	grating	3	80	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	8	5	60	0.8	2	grating	2.5	75	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	15.5	5	45	0.8	3	grating	3.1999999999999993	82	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	23.7	5	0	0.2	4	grating	3.1000000000000014	81.00000000000001	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	31.8	5	165	0.2	5	grating	2.8000000000000007	78	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	39.6	5	120	0.8	6	grating	2.5	75	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	47.1	5	30	0.8	7	grating	3.5	85	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	55.6	5	45	0.8	8	grating	2.5	75	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	63.1	5	75	0.2	9	grating	2.8999999999999986	78.99999999999999	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	71	5	30	0.2	10	grating	3.5	85	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	79.5	5	30	0.8	11	grating	3.700000000000003	87.00000000000003	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	88.2	5	60	0.2	12	grating	3.200000000000003	82.00000000000003	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	96.4	5	120	0.2	13	grating	3.5	85	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	104.9	5	60	0.2	14	grating	3.3999999999999915	83.99999999999991	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	113.3	5	105	0.8	15	grating	3.299999999999997	82.99999999999997	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	121.6	5	15	0.2	16	grating	3.3000000000000114	83.00000000000011	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	129.9	5	90	0.2	17	grating	3.6999999999999886	86.99999999999989	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	138.6	5	45	0.2	18	grating	3.0999999999999943	80.99999999999994	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	146.7	5	90	0.8	19	grating	3	80	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	154.7	5	150	0.8	20	grating	3.3000000000000114	83.00000000000011	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	163	5	0	0.2	21	grating	3	80	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	171	5	45	0.2	22	grating	2.5999999999999943	75.99999999999994	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	178.6	5	105	0.2	23	grating	3	80	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	186.6	5	165	0.8	24	grating	3.200000000000017	82.00000000000017	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	194.8	5	105	0.8	25	grating	3	80	NA	NO RESPONSE	NA
right	6	6	ga_dump/sub-06_task-contrast_run-06_ga_events.tsv	202.8	5	150	0.2	26	grating	3	80	NA	NO RESPONSE	NA
