onset	duration	trial	trial_type	side	orientation	contrast	subject	run
0	5.000803435003036	1	grating	left	150	0.8	5	4
8.401275821001036	5.00069106099545	2	grating	left	165	0.8	5	4
16.30237286600459	5.0006802449934185	3	grating	left	30	0.2	5	4
24.203457593001076	5.000670630004606	4	grating	left	75	0.8	5	4
32.604605116008315	5.000688356987666	5	grating	left	90	0.8	5	4
40.80569807499705	5.000708789011696	6	grating	left	165	0.2	5	4
48.50675527899875	5.00071539900091	7	grating	left	45	0.2	5	4
57.107958868000424	5.000696771006915	8	grating	left	30	0.8	5	4
65.20907261999673	5.0006871549994685	9	grating	left	90	0.2	5	4
73.11016125199967	5.000649598005111	10	grating	left	0	0.2	5	4
80.91122170099698	5.000700376011082	11	grating	left	45	0.8	5	4
89.61244355900271	5.0007000750047155	12	grating	left	60	0.2	5	4
98.11358831700636	5.000682047990267	13	grating	left	75	0.8	5	4
105.81464221699571	5.000686555009452	14	grating	left	165	0.8	5	4
113.31564876300399	5.000685954000801	15	grating	left	105	0.8	5	4
121.91683312300302	5.000690760993166	16	grating	left	135	0.8	5	4
129.9179418260028	5.000695569004165	17	grating	left	150	0.2	5	4
137.91902138500882	5.000698572999681	18	grating	left	60	0.8	5	4
146.5201603750029	5.0007550599984825	19	grating	left	120	0.2	5	4
155.2213771240058	5.0007081880030455	20	grating	left	105	0.8	5	4
163.72255763800058	5.000706685998011	21	grating	left	75	0.2	5	4
171.7236729520082	5.000685952996719	22	grating	left	90	0.8	5	4
179.42472594900755	5.0006577109888894	23	grating	left	105	0.2	5	4
187.32581127699814	5.000649898007396	24	grating	left	120	0.8	5	4
195.52692526800092	5.000718103998224	25	grating	left	120	0.2	5	4
203.42801119700016	5.000682648998918	26	grating	left	15	0.2	5	4
211.42909976899682	5.000706686012563	27	grating	left	45	0.2	5	4
219.13017229700927	5.000673334987368	28	grating	left	30	0.2	5	4
227.8313451790018	5.000691061999532	29	grating	left	15	0.8	5	4
235.33236614799534	5.000686555009452	30	grating	left	60	0.2	5	4
242.93341590100317	5.000704883001163	31	grating	left	135	0.2	5	4
250.43446541299636	5.000688959000399	32	grating	left	0	0.2	5	4
258.83561714300595	5.000737633003155	33	grating	left	135	0.2	5	4
267.1367331770016	5.000688959000399	34	grating	left	45	0.8	5	4
274.63774993900734	5.000728318991605	35	grating	left	90	0.2	5	4
283.23895443000947	5.000679944991134	36	grating	left	105	0.2	5	4
291.9401480439992	5.000685653008986	37	grating	left	135	0.8	5	4
300.3413415380055	5.000619550992269	38	grating	left	60	0.8	5	4
308.8424385230028	5.000707586994395	39	grating	left	75	0.2	5	4
317.2436224020057	5.000692863992299	40	grating	left	165	0.2	5	4
325.04467714199563	5.000697071009199	41	grating	left	150	0.2	5	4
332.64572629400936	5.000710291991709	42	grating	left	0	0.2	5	4
340.1467743039975	5.000662518010358	43	grating	left	120	0.8	5	4
348.74792200799857	5.0006931649986655	44	grating	left	15	0.8	5	4
356.749031312007	5.000706384991645	45	grating	left	15	0.2	5	4
364.8501444620051	5.000683249993017	46	grating	left	150	0.8	5	4
373.0512830920052	5.000533318991074	47	grating	left	0	0.2	5	4
381.227403183002	5.000694065995049	48	grating	left	30	0.8	5	4
0	5.000803435003036	1	grating	right	15	0.8	5	4
8.001235799005372	5.000681446996168	2	grating	right	90	0.8	5	4
15.802311872001155	5.000666124004056	3	grating	right	120	0.8	5	4
23.40334509999957	5.000690159999067	4	grating	right	60	0.8	5	4
31.70447225200769	5.000695868991897	5	grating	right	135	0.2	5	4
39.50552068199613	5.000679344011587	6	grating	right	135	0.2	5	4
47.40660150299664	5.000713897010428	7	grating	right	75	0.2	5	4
55.90779613799532	5.000692264002282	8	grating	right	15	0.2	5	4
64.1089068250003	5.000698272997397	9	grating	right	45	0.2	5	4
71.6099341030058	5.000670330002322	10	grating	right	135	0.8	5	4
80.11108126600448	5.000693765992764	11	grating	right	105	0.2	5	4
88.11217584699625	5.000567572002183	12	grating	right	165	0.8	5	4
95.61321424299967	5.000687456005835	13	grating	right	45	0.2	5	4
104.01437408500351	5.000691662004101	14	grating	right	150	0.8	5	4
112.01546956799575	5.0007000750047155	15	grating	right	75	0.2	5	4
120.51662424200913	5.000689859996783	16	grating	right	0	0.2	5	4
128.61773769299907	5.000706986000296	17	grating	right	75	0.8	5	4
136.5188530660089	5.0006931649986655	18	grating	right	75	0.8	5	4
144.2198874349997	5.000560061002034	19	grating	right	30	0.8	5	4
151.72089157800656	5.0007060849893605	20	grating	right	0	0.2	5	4
159.72202762399684	5.0006838500121376	21	grating	right	150	0.2	5	4
168.22340876600356	5.000463090997073	22	grating	right	135	0.8	5	4
176.0242466530035	5.0006802449934185	23	grating	right	105	0.8	5	4
183.52528144299868	5.00071780300641	24	grating	right	60	0.8	5	4
191.426352348004	5.00067333500192	25	grating	right	105	0.2	5	4
199.02739639200445	5.000689559994498	26	grating	right	165	0.2	5	4
206.52843088199734	5.000701277007465	27	grating	right	60	0.2	5	4
214.62955875400803	5.0006727339932695	28	grating	right	105	0.8	5	4
222.73066649600514	5.000659814002574	29	grating	right	15	0.2	5	4
231.33181359899754	5.000707887011231	30	grating	right	120	0.2	5	4
239.93301568600873	5.000696470000548	31	grating	right	120	0.8	5	4
247.734083946998	5.000695869006449	32	grating	right	30	0.2	5	4
255.83522113399522	5.000698273011949	33	grating	right	0	0.2	5	4
264.0363465429982	5.000633974006632	34	grating	right	150	0.2	5	4
272.73750890900556	5.000681748002535	35	grating	right	45	0.8	5	4
280.83863708200806	5.000668527995003	36	grating	right	90	0.2	5	4
