onset	duration	trial	trial_type	side	orientation	contrast	subject	run
0	5.000821763009299	1	grating	left	90	0.8	5	3
7.801199862995418	5.000697372001014	2	grating	left	75	0.8	5	3
16.50237364700297	5.0006925640045665	3	grating	left	120	0.8	5	3
24.403499235995696	5.000667025000439	4	grating	left	135	0.2	5	3
32.00452795700403	5.000691962995916	5	grating	left	60	0.2	5	3
40.40567247499712	5.000667025000439	6	grating	left	135	0.8	5	3
47.906706063004094	5.000697372001014	7	grating	left	30	0.2	5	3
56.007843250001315	5.000740638002753	8	grating	left	165	0.2	5	3
64.70898097800091	5.000713896995876	9	grating	left	15	0.8	5	3
72.31004665599903	5.000688056999934	10	grating	left	105	0.2	5	3
80.2111403960007	5.000672433001455	11	grating	left	165	0.8	5	3
88.41221622900048	5.00070157799928	12	grating	left	150	0.2	5	3
96.6133560599992	5.000688959000399	13	grating	left	120	0.8	5	3
104.31441236300452	5.000714498004527	14	grating	left	0	0.2	5	3
112.21552172800875	5.000693464986398	15	grating	left	150	0.2	5	3
119.8165609639982	5.000726516009308	16	grating	left	60	0.8	5	3
127.3175708159979	5.00070728600258	17	grating	left	120	0.2	5	3
135.81873330200324	5.000691962995916	18	grating	left	45	0.2	5	3
143.71981682699698	5.000698272007867	19	grating	left	30	0.2	5	3
151.52090371600934	5.000665522995405	20	grating	left	165	0.8	5	3
160.12207155099895	5.000550445009139	21	grating	left	75	0.8	5	3
168.12319407500036	5.000642687999061	22	grating	left	105	0.2	5	3
175.8242530819989	5.0006544060015585	23	grating	left	0	0.2	5	3
183.92535511600727	5.000654404997476	24	grating	left	75	0.2	5	3
191.82643773900054	5.000694367001415	25	grating	left	30	0.8	5	3
199.3274545010063	5.000652602990158	26	grating	left	150	0.8	5	3
208.02860514899658	5.000698874006048	27	grating	left	90	0.2	5	3
216.3297656520008	5.0006844510062365	28	grating	left	105	0.8	5	3
224.53090428099677	5.000670931010973	29	grating	left	135	0.2	5	3
232.53198714500468	5.000718102994142	30	grating	left	0	0.2	5	3
240.0329870810092	5.0007938199996715	31	grating	left	150	0.8	5	3
247.9341072620009	5.0006619170017075	32	grating	left	0	0.2	5	3
256.5352895190008	5.000691962995916	33	grating	left	45	0.8	5	3
264.4363619259966	5.0006898600113345	34	grating	left	105	0.8	5	3
272.5374699690001	5.000662517995806	35	grating	left	30	0.8	5	3
280.43852344699553	5.0007054840098135	36	grating	left	135	0.8	5	3
288.9397352090018	5.000749051003368	37	grating	left	60	0.8	5	3
296.8408103210095	5.000725313992007	38	grating	left	75	0.2	5	3
304.84193434800545	5.000659512996208	39	grating	left	15	0.8	5	3
312.842975446998	5.000671833011438	40	grating	left	90	0.2	5	3
321.244118764007	5.000724412995623	41	grating	left	60	0.2	5	3
329.64528221200453	5.000704883001163	42	grating	left	15	0.2	5	3
337.64641855700756	5.000772186991526	43	grating	left	45	0.8	5	3
346.34758302700357	5.000654404997476	44	grating	left	120	0.2	5	3
354.6488021200057	5.000634875003016	45	grating	left	90	0.8	5	3
362.8498034380027	5.0007286189938895	46	grating	left	15	0.2	5	3
370.6509384020028	5.000672733003739	47	grating	left	45	0.2	5	3
378.55201892199693	5.000664621009491	48	grating	left	165	0.2	5	3
0	5.000821763009299	1	grating	right	135	0.8	5	3
8.101279005000833	5.000636077005765	2	grating	right	60	0.2	5	3
16.202331762004178	5.000675137998769	3	grating	right	150	0.8	5	3
24.203477723000105	5.0006619170017075	4	grating	right	135	0.8	5	3
32.204553675997886	5.000714498004527	5	grating	right	120	0.2	5	3
40.20563924399903	5.000687156003551	6	grating	right	150	0.2	5	3
48.606795180006884	5.000712394990842	7	grating	right	15	0.2	5	3
57.10798050100857	5.000674235998304	8	grating	right	60	0.2	5	3
65.60911985200073	5.000688957996317	9	grating	right	105	0.2	5	3
73.71023240100476	5.00070278000203	10	grating	right	15	0.8	5	3
82.21140239899978	5.000689859007252	11	grating	right	45	0.8	5	3
89.81243202000041	5.000683250007569	12	grating	right	45	0.2	5	3
97.41345232800813	5.000695868991897	13	grating	right	15	0.2	5	3
105.51459041700582	5.000788110992289	14	grating	right	105	0.8	5	3
113.41575236200879	5.000592509997659	15	grating	right	15	0.8	5	3
121.41676071099937	5.000726817001123	16	grating	right	30	0.8	5	3
129.2178412909998	5.000690161003149	17	grating	right	90	0.8	5	3
137.81899169900862	5.000715398986358	18	grating	right	75	0.2	5	3
146.22017978399526	5.00066522200359	19	grating	right	60	0.8	5	3
154.32126979900931	5.000691061999532	20	grating	right	60	0.8	5	3
162.12235398500343	5.000530014003743	21	grating	right	0	0.2	5	3
170.8235250639991	5.000728017999791	22	grating	right	165	0.8	5	3
178.7246326260065	5.0006892579986015	23	grating	right	135	0.2	5	3
187.42581362000783	5.000686253988533	24	grating	right	105	0.2	5	3
195.72693956999865	5.00068024500797	25	grating	right	30	0.2	5	3
203.72807200999523	5.000667325002723	26	grating	right	120	0.8	5	3
211.62910265300889	5.0007060849893605	27	grating	right	0	0.2	5	3
219.53021742599958	5.000686854997184	28	grating	right	0	0.2	5	3
228.03120294000837	5.000885760993697	29	grating	right	165	0.2	5	3
236.73269220799557	5.000539329004823	30	grating	right	75	0.8	5	3
244.7336936470092	5.000652602990158	31	grating	right	0	0.2	5	3
253.13482404399838	5.000674536000588	32	grating	right	45	0.2	5	3
261.7360165160062	5.000670028995955	33	grating	right	30	0.8	5	3
269.5370529280044	5.000824165996164	34	grating	right	45	0.8	5	3
278.0382060999982	5.000683550009853	35	grating	right	150	0.2	5	3
285.8392635439959	5.000725615012925	36	grating	right	120	0.2	5	3
293.8404101060005	5.000693766007316	37	grating	right	165	0.8	5	3
302.4415971700073	5.000662817998091	38	grating	right	105	0.8	5	3
310.14261200900364	5.000673635004205	39	grating	right	75	0.8	5	3
318.443751179002	5.000688657994033	40	grating	right	75	0.2	5	3
326.2448431770026	5.000662517995806	41	grating	right	150	0.8	5	3
334.84601221300545	5.000689859996783	42	grating	right	30	0.2	5	3
342.6471907439991	5.000570276009967	43	grating	right	165	0.2	5	3
351.0482276969997	5.0007054840098135	44	grating	right	135	0.2	5	3
358.6492906700005	5.000676640003803	45	grating	right	90	0.2	5	3
366.25032750300306	5.000636979006231	46	grating	right	90	0.8	5	3
374.5514399320091	5.00070157799928	47	grating	right	90	0.2	5	3
382.75256984800217	5.000751454994315	48	grating	right	120	0.8	5	3
4.800806860002922	0.40005444300186355	1	dim	middle	NaN	1	5	3
9.801493114006007	0.40009019899298437	2	dim	middle	NaN	1	5	3
13.702014775000862	0.40003040700685233	3	dim	middle	NaN	1	5	3
18.502543408001657	0.4002109840075718	4	dim	middle	NaN	1	5	3
22.803234890001477	0.40006105399515945	5	dim	middle	NaN	1	5	3
27.603924869996263	0.4000499370013131	6	dim	middle	NaN	1	5	3
30.804362523005693	0.4000622549938271	7	dim	middle	NaN	1	5	3
33.70475408399943	0.40004392800619826	8	dim	middle	NaN	1	5	3
38.6054199670034	0.40005023700359743	9	dim	middle	NaN	1	5	3
41.9058650710067	0.40005474399367813	10	dim	middle	NaN	1	5	3
45.30634556899895	0.4000460310053313	11	dim	middle	NaN	1	5	3
48.7068191569997	0.40012805700825993	12	dim	middle	NaN	1	5	3
52.607360948997666	0.40007096900080796	13	dim	middle	NaN	1	5	3
55.80782143700344	0.40005083799769636	14	dim	middle	NaN	1	5	3
58.30816396299633	0.4000343130028341	15	dim	middle	NaN	1	5	3
63.108764104996226	0.40010672400239855	16	dim	middle	NaN	1	5	3
65.60911985200073	0.40004362699983176	17	dim	middle	NaN	1	5	3
70.60980880999705	0.40007487501134165	18	dim	middle	NaN	1	5	3
74.0103034299973	0.40005113900406286	19	dim	middle	NaN	1	5	3
78.91106395900715	0.4000640579906758	20	dim	middle	NaN	1	5	3
81.41130552999675	0.4001070240046829	21	dim	middle	NaN	1	5	3
85.11191925300227	0.3999318550049793	22	dim	middle	NaN	1	5	3
89.9124409740034	0.4000526409945451	23	dim	middle	NaN	1	5	3
95.01313558100082	0.4000379189965315	24	dim	middle	NaN	1	5	3
99.41375279000204	0.40004993599723093	25	dim	middle	NaN	1	5	3
104.61461199000769	0.39991983700019773	26	dim	middle	NaN	1	5	3
108.81505535100587	0.40005384299729485	27	dim	middle	NaN	1	5	3
112.81560880100005	0.400063458000659	28	dim	middle	NaN	1	5	3
117.61623087699991	0.40009831100178417	29	dim	middle	NaN	1	5	3
121.61681227000372	0.40004122399841435	30	dim	middle	NaN	1	5	3
124.11714187699545	0.4001662150112679	31	dim	middle	NaN	1	5	3
128.1176532620011	0.400079081999138	32	dim	middle	NaN	1	5	3
130.81803412800946	0.4000802829978056	33	dim	middle	NaN	1	5	3
135.11867603400606	0.4000304069923004	34	dim	middle	NaN	1	5	3
139.01919258700218	0.40004302699526306	35	dim	middle	NaN	1	5	3
