onset	duration	trial	trial_type	side	orientation	contrast	subject	run
0	16.002294024001458	1	grating	left	checkerboard	1	5	1
32.00450241701037	16.00216813098814	2	grating	left	checkerboard	1	5	1
64.00888975799899	16.00221680600953	3	grating	left	checkerboard	1	5	1
96.0132758969994	16.002197877009166	4	grating	left	checkerboard	1	5	1
128.01765212100872	16.00219336900045	5	grating	left	checkerboard	1	5	1
160.0220253400039	16.00223513400124	6	grating	left	checkerboard	1	5	1
192.02644723300182	16.002193370004534	7	grating	left	checkerboard	1	5	1
224.03083036800672	16.00219336900045	8	grating	left	checkerboard	1	5	1
256.03523122900515	16.002169632993173	9	grating	left	checkerboard	1	5	1
288.03961736800557	16.002217407003627	10	grating	left	checkerboard	1	5	1
16.002294024001458	16.002208393008914	1	grating	right	checkerboard	1	5	1
48.00667054799851	16.002219210000476	2	grating	right	checkerboard	1	5	1
80.01110656400851	16.00216933299089	3	grating	right	checkerboard	1	5	1
112.01547377400857	16.002178347000154	4	grating	right	checkerboard	1	5	1
144.01984549000917	16.002179849994718	5	grating	right	checkerboard	1	5	1
176.02426047400513	16.002186758996686	6	grating	right	checkerboard	1	5	1
208.02864060300635	16.002189765000367	7	grating	right	checkerboard	1	5	1
240.03302373700717	16.00220749199798	8	grating	right	checkerboard	1	5	1
272.0374008619983	16.002216506007244	9	grating	right	checkerboard	1	5	1
304.0418347750092	16.00216512598854	10	grating	right	checkerboard	1	5	1
3.1005476810096297	0.4000589509960264	1	dim	middle	checkerboard	1	5	1
7.301085988001432	0.400063458000659	2	dim	middle	checkerboard	1	5	1
11.701713112008292	0.4000625560001936	3	dim	middle	checkerboard	1	5	1
16.902423282997916	0.4000514390063472	4	dim	middle	checkerboard	1	5	1
19.602671644999646	0.4001935569976922	5	dim	middle	checkerboard	1	5	1
23.203292938997038	0.40005053800996393	6	dim	middle	checkerboard	1	5	1
27.10381129500456	0.4000748760008719	7	dim	middle	checkerboard	1	5	1
31.304387160009355	0.40006916598940734	8	dim	middle	checkerboard	1	5	1
35.504966029999196	0.4000697669980582	9	dim	middle	checkerboard	1	5	1
40.60569068300538	0.4000439270021161	10	dim	middle	checkerboard	1	5	1
46.00640283701068	0.40004272598889656	11	dim	middle	checkerboard	1	5	1
50.507013676004135	0.4000412229943322	12	dim	middle	checkerboard	1	5	1
54.507567426000605	0.400043027009815	13	dim	middle	checkerboard	1	5	1
58.808154648999334	0.4000652600079775	14	dim	middle	checkerboard	1	5	1
61.40852385600738	0.4000604530010605	15	dim	middle	checkerboard	1	5	1
66.70924238000589	0.4000703679921571	16	dim	middle	checkerboard	1	5	1
70.20973423500254	0.40005955200467724	17	dim	middle	checkerboard	1	5	1
73.11013360900688	0.4000433269975474	18	dim	middle	checkerboard	1	5	1
75.91049879000639	0.5000922420003917	19	dim	middle	checkerboard	NaN	5	1
79.01093019300606	0.4000727719976567	20	dim	middle	checkerboard	1	5	1
81.71128041100746	0.4000613539974438	21	dim	middle	checkerboard	1	5	1
85.31177911700797	0.40004843499627896	22	dim	middle	checkerboard	1	5	1
88.41221112100175	0.40005083799769636	23	dim	middle	checkerboard	1	5	1
93.81297074799659	0.40005354200548027	24	dim	middle	checkerboard	1	5	1
98.71364354201069	0.4000322089996189	25	dim	middle	checkerboard	1	5	1
102.71419098300976	0.4000475329958135	26	dim	middle	checkerboard	1	5	1
106.21466360900376	0.40007848100503907	27	dim	middle	checkerboard	1	5	1
110.21524049500294	0.4000156840047566	28	dim	middle	checkerboard	1	5	1
113.31563223700505	0.4000589509960264	29	dim	middle	checkerboard	1	5	1
118.61635076100356	0.40006225599790923	30	dim	middle	checkerboard	1	5	1
121.51676395600953	0.40004182398843113	31	dim	middle	checkerboard	1	5	1
124.41714169600164	0.4000718710012734	32	dim	middle	checkerboard	1	5	1
127.01751481000974	0.4000400209915824	33	dim	middle	checkerboard	1	5	1
130.6179921830044	0.40006075300334487	34	dim	middle	checkerboard	1	5	1
134.21850891700888	0.40004512899031397	35	dim	middle	checkerboard	1	5	1
138.71912155800965	0.4000649599911412	36	dim	middle	checkerboard	1	5	1
144.01984549000917	0.4000676639989251	37	dim	middle	checkerboard	1	5	1
147.42030495600193	0.40006976800214034	38	dim	middle	checkerboard	1	5	1
150.82078545499826	0.40005324099911377	39	dim	middle	checkerboard	1	5	1
154.92136678801035	0.4000901979889022	40	dim	middle	checkerboard	1	5	1
160.32206842600135	0.40006916600395925	41	dim	middle	checkerboard	1	5	1
162.92243162399973	0.40008298700558953	42	dim	middle	checkerboard	1	5	1
165.92283123800007	0.4000604530010605	43	dim	middle	checkerboard	1	5	1
170.92353912499675	0.40005234100681264	44	dim	middle	checkerboard	1	5	1
174.12396415800322	0.4000965089944657	45	dim	middle	checkerboard	1	5	1
179.42472745099803	0.40002379700308666	46	dim	middle	checkerboard	1	5	1
183.52528895399882	0.4000496360094985	47	dim	middle	checkerboard	1	5	1
186.3256691580027	0.40003821899881586	48	dim	middle	checkerboard	1	5	1
191.12634020899714	0.40001929001300596	49	dim	middle	checkerboard	1	5	1
196.22701889200835	0.40004452799621504	50	dim	middle	checkerboard	1	5	1
198.8273565499985	0.40006586200615857	51	dim	middle	checkerboard	1	5	1
203.42800488699868	0.4000433260080172	52	dim	middle	checkerboard	1	5	1
206.42839398400974	0.40007577699725516	53	dim	middle	checkerboard	1	5	1
209.9289125810028	0.4000451290048659	54	dim	middle	checkerboard	1	5	1
214.9295931270026	0.4000412229943322	55	dim	middle	checkerboard	1	5	1
219.0301624410058	0.4000415240006987	56	dim	middle	checkerboard	1	5	1
