onset	duration	trial	trial_type	side	orientation	contrast	subject	run
0	4.999708251998527	1	grating	left	15	0.2	5	8
8.199461151991272	4.999587767000776	2	grating	left	45	0.2	5	8
16.29878655599896	4.999569738996797	3	grating	left	105	0.2	5	8
24.297972004991607	4.9997428040078375	4	grating	left	90	0.2	5	8
32.39753927999118	4.999448653004947	5	grating	left	30	0.2	5	8
41.096788209993974	4.9995007289981	6	grating	left	60	0.2	5	8
48.99604562499735	4.9995679359999485	7	grating	left	60	0.8	5	8
57.695307570989826	4.999578451999696	8	grating	left	150	0.8	5	8
66.39458514099533	4.999551411005086	9	grating	left	0	0.2	5	8
74.19389840599615	4.999581757001579	10	grating	left	135	0.2	5	8
81.79323612799635	4.999641248999978	11	grating	left	165	0.8	5	8
90.09262180399674	4.999574846995529	12	grating	left	120	0.2	5	8
97.7919372329925	4.999614207001287	13	grating	left	90	0.2	5	8
105.39132002399128	4.99959047100856	14	grating	left	45	0.8	5	8
113.09070335699653	4.999571541993646	15	grating	left	135	0.8	5	8
121.6899287069973	4.999604291995638	16	grating	left	165	0.8	5	8
130.18923494099	4.999591972999042	17	grating	left	150	0.2	5	8
137.68861809300142	4.999599484988721	18	grating	left	165	0.2	5	8
145.68796759399993	4.999576949994662	19	grating	left	120	0.8	5	8
153.1873303149914	4.999577249996946	20	grating	left	60	0.2	5	8
161.7866058419895	4.9995598230016185	21	grating	left	165	0.2	5	8
170.18589320700266	4.9995580209943	22	grating	left	75	0.2	5	8
178.48519264999777	4.999564630998066	23	grating	left	135	0.2	5	8
187.184437169999	4.999590469989926	24	grating	left	120	0.2	5	8
194.88378925398865	4.9996094000089215	25	grating	left	0	0.2	5	8
203.18311844399432	4.999575146997813	26	grating	left	90	0.8	5	8
211.7824324300018	4.999579653987894	27	grating	left	0	0.2	5	8
219.78174978098832	4.999542397010373	28	grating	left	120	0.8	5	8
228.08101767599874	4.999589869999909	29	grating	left	0	0.2	5	8
235.68040527499397	4.999594677006826	30	grating	left	105	0.2	5	8
243.37975105000078	4.999580554998829	31	grating	left	75	0.8	5	8
251.07911395099654	4.999598883994622	32	grating	left	75	0.2	5	8
258.97847492899746	4.999551111002802	33	grating	left	30	0.8	5	8
266.97776884399354	4.999610601997119	34	grating	left	150	0.2	5	8
274.8771316249913	4.999585664001643	35	grating	left	45	0.2	5	8
283.1765167010017	4.999507842992898	36	grating	left	90	0.8	5	8
291.1757631429937	4.999573645007331	37	grating	left	105	0.8	5	8
299.37510441099585	4.999525870996877	38	grating	left	15	0.8	5	8
307.0744219420012	4.99960819799162	39	grating	left	105	0.8	5	8
314.9736317880015	4.999694730999181	40	grating	left	135	0.8	5	8
323.57292384099856	4.999692026001867	41	grating	left	30	0.8	5	8
331.47248101999867	4.99948590999702	42	grating	left	15	0.2	5	8
338.9717716299929	4.99955922299705	43	grating	left	15	0.8	5	8
346.9710901829967	4.999564932004432	44	grating	left	75	0.8	5	8
354.77043649899133	4.999545701997704	45	grating	left	150	0.8	5	8
362.66977524299	4.999567636012216	46	grating	left	60	0.8	5	8
370.6690955989907	4.9995781520119635	47	grating	left	30	0.2	5	8
379.3684840389906	4.99944504800078	48	grating	left	45	0.8	5	8
0	4.999708251998527	1	grating	right	165	0.8	5	8
7.799517578998348	4.999538791991654	2	grating	right	75	0.8	5	8
15.698892077998607	4.999522265992709	3	grating	right	120	0.8	5	8
23.79801617198973	4.999730486000772	4	grating	right	105	0.2	5	8
31.297524016001262	4.999557720992016	5	grating	right	150	0.2	5	8
39.69678494099935	4.999550809996435	6	grating	right	30	0.2	5	8
48.196101990994066	4.999583259996143	7	grating	right	165	0.2	5	8
55.99543929299398	4.999579354000161	8	grating	right	15	0.8	5	8
63.59481907999725	4.999578453003778	9	grating	right	15	0.2	5	8
71.89410019599018	4.999580255011097	10	grating	right	0	0.2	5	8
80.19339783699252	4.999596178997308	11	grating	right	75	0.8	5	8
88.3927421089902	4.999581758005661	12	grating	right	90	0.8	5	8
96.39205224899342	4.999620517002768	13	grating	right	45	0.8	5	8
104.49141671299003	4.9996379440126475	14	grating	right	75	0.2	5	8
112.29074590199161	4.9996821120003005	15	grating	right	150	0.8	5	8
119.89007701499213	4.999635239000781	16	grating	right	0	0.2	5	8
127.78944310099178	4.999592574007693	17	grating	right	105	0.8	5	8
135.98878466899623	4.999559824005701	18	grating	right	120	0.2	5	8
143.58811337799125	4.999588667997159	19	grating	right	135	0.2	5	8
151.4874818669923	4.999535787006607	20	grating	right	90	0.2	5	8
159.1869228889991	4.999475994991371	21	grating	right	60	0.2	5	8
167.48614601499867	4.99955922299705	22	grating	right	45	0.2	5	8
175.68541126599303	4.999608198006172	23	grating	right	165	0.8	5	8
183.18478360200243	4.999683613990783	24	grating	right	60	0.8	5	8
190.68414181598928	4.9995571190083865	25	grating	right	150	0.8	5	8
198.68348921299912	4.999587165992125	26	grating	right	0	0.2	5	8
207.1827867339889	4.9995856630121125	27	grating	right	30	0.2	5	8
215.38210787100252	4.999610901999404	28	grating	right	15	0.2	5	8
223.28142468100123	4.999570640997263	29	grating	right	45	0.2	5	8
231.58070910199604	4.999628628997016	30	grating	right	120	0.2	5	8
240.18003270299232	4.9995748460059986	31	grating	right	165	0.2	5	8
248.67931580099685	4.999589869999909	32	grating	right	15	0.8	5	8
257.0786260009918	4.999553815010586	33	grating	right	75	0.2	5	8
265.47788362100255	4.999582357995678	34	grating	right	135	0.8	5	8
273.47725024799	4.999590771010844	35	grating	right	90	0.2	5	8
281.7765514939965	4.999564330995781	36	grating	right	105	0.2	5	8
289.9758693259937	4.999546303006355	37	grating	right	30	0.8	5	8
298.1751465959969	4.999614207001287	38	grating	right	105	0.8	5	8
305.87451310199685	4.999624122996465	39	grating	right	135	0.2	5	8
314.4738276889984	4.999569438994513	40	grating	right	150	0.2	5	8
322.1730625939963	4.999707049995777	41	grating	right	30	0.8	5	8
329.97235963399	4.999827835010365	42	grating	right	60	0.8	5	8
338.5717709689925	4.999603691001539	43	grating	right	135	0.8	5	8
346.1711210109934	4.999617512003169	44	grating	right	0	0.2	5	8
354.47046161799517	4.999587465994409	45	grating	right	120	0.8	5	8
361.96983545599505	4.999571241001831	46	grating	right	45	0.8	5	8
370.56911669099645	4.9995685369940475	47	grating	right	60	0.2	5	8
379.26844263599196	4.999493420997169	48	grating	right	90	0.8	5	8
4.999708251998527	0.39997992900316603	1	dim	middle	NaN	1	5	8
9.399370293001994	0.3999591969914036	2	dim	middle	NaN	1	5	8
11.999028306992841	0.39999284900841303	3	dim	middle	NaN	1	5	8
16.29878655599896	0.4000093740032753	4	dim	middle	NaN	1	5	8
19.398518183996202	0.39984201699553523	5	dim	middle	NaN	1	5	8
23.39804976400046	0.3999664079892682	6	dim	middle	NaN	1	5	8
28.69775122500141	0.399988642995595	7	dim	middle	NaN	1	5	8
31.297524016001262	0.39995348898810335	8	dim	middle	NaN	1	5	8
34.49722133099567	0.39998052999726497	9	dim	middle	NaN	1	5	8
39.89676619198872	0.39998443600779865	10	dim	middle	NaN	1	5	8
42.89652041399677	0.399964905998786	11	dim	middle	NaN	1	5	8
48.096102051989874	0.400000360008562	12	dim	middle	NaN	1	5	8
51.89578398299636	0.3999793279945152	13	dim	middle	NaN	1	5	8
57.19535294099478	0.39996280199557077	14	dim	middle	NaN	1	5	8
59.895123267997405	0.3999579950032057	15	dim	middle	NaN	1	5	8
63.99481042700063	0.39992704799806233	16	dim	middle	NaN	1	5	8
67.4946057049965	0.39985234099731315	17	dim	middle	NaN	1	5	8
72.59405049998895	0.39994958200259134	18	dim	middle	NaN	1	5	8
76.79367900900252	0.40000035999401007	19	dim	middle	NaN	1	5	8
81.59335703399847	0.3999483810039237	20	dim	middle	NaN	1	5	8
85.59296132599411	0.399970315003884	21	dim	middle	NaN	1	5	8
88.3927421089902	0.3999694130034186	22	dim	middle	NaN	1	5	8
91.99246832900099	0.3999252450012136	23	dim	middle	NaN	1	5	8
94.39224003799609	0.39996731000428554	24	dim	middle	NaN	1	5	8
96.8920173959923	0.39997452100215014	25	dim	middle	NaN	1	5	8
100.29164608499559	0.4000871939933859	26	dim	middle	NaN	1	5	8
104.39140174999193	0.39996971300570294	27	dim	middle	NaN	1	5	8
107.89111571099784	0.39993846499419305	28	dim	middle	NaN	1	5	8
113.29068220399495	0.39994808100163937	29	dim	middle	NaN	1	5	8
118.39028733799933	0.3999664079892682	30	dim	middle	NaN	1	5	8
121.98990989799495	0.4000667619984597	31	dim	middle	NaN	1	5	8
126.48964788299054	0.3998495410050964	32	dim	middle	NaN	1	5	8
131.28914744599024	0.3999555920017883	33	dim	middle	NaN	1	5	8
134.28891729300085	0.3999694129888667	34	dim	middle	NaN	1	5	8
138.48855331398954	0.3999363620096119	35	dim	middle	NaN	1	5	8
143.18818723098957	0.39992614700167906	36	dim	middle	NaN	1	5	8
145.78794379699684	0.39998052999726497	37	dim	middle	NaN	1	5	8
150.18757729399658	0.3999474790034583	38	dim	middle	NaN	1	5	8
155.0871254599915	0.39997271800530143	39	dim	middle	NaN	1	5	8
159.38681640499271	0.39997181700891815	40	dim	middle	NaN	1	5	8
164.0864187739935	0.39997602300718427	41	dim	middle	NaN	1	5	8
167.68612606399984	0.3999619019887177	42	dim	middle	NaN	1	5	8
173.08562916099618	0.3999811310059158	43	dim	middle	NaN	1	5	8
177.5852607949928	0.3999664080038201	44	dim	middle	NaN	1	5	8
181.68491279998852	0.39998443600779865	45	dim	middle	NaN	1	5	8
186.98446493200026	0.39998804200149607	46	dim	middle	NaN	1	5	8
190.58417041999928	0.3999534879985731	47	dim	middle	NaN	1	5	8
195.0837662989943	0.399982632996398	48	dim	middle	NaN	1	5	8
197.7835654699884	0.3999787280044984	49	dim	middle	NaN	1	5	8
201.28330226599064	0.39999735599849373	50	dim	middle	NaN	1	5	8
205.38293594299466	0.4000526409945451	51	dim	middle	NaN	1	5	8
209.18261697299022	0.39995619301043916	52	dim	middle	NaN	1	5	8
213.48226555300062	0.399964905998786	53	dim	middle	NaN	1	5	8
216.48201466799947	0.39995679300045595	54	dim	middle	NaN	1	5	8
219.48176618599973	0.39998052999726497	55	dim	middle	NaN	1	5	8
223.48141464599757	0.39994567599205766	56	dim	middle	NaN	1	5	8
227.78105060599046	0.39996009900642093	57	dim	middle	NaN	1	5	8
232.580639694992	0.39998023000953253	58	dim	middle	NaN	1	5	8
235.68040527499397	0.39995589200407267	59	dim	middle	NaN	1	5	8
238.1802237959928	0.39992885100946296	60	dim	middle	NaN	1	5	8
240.6799999520008	0.3999420709878905	61	dim	middle	NaN	1	5	8
245.87954102699587	0.3999610000028042	62	dim	middle	NaN	1	5	8
250.47915817899047	0.3999754219985334	63	dim	middle	NaN	1	5	8
255.7786994939961	0.39999615399574395	64	dim	middle	NaN	1	5	8
261.17828010999074	0.3999402680055937	65	dim	middle	NaN	1	5	8
263.7780249579955	0.3999075180036016	66	dim	middle	NaN	1	5	8
268.077674139	0.39996580699516926	67	dim	middle	NaN	1	5	8
272.1773859359964	0.4000311999989208	68	dim	middle	NaN	1	5	8
276.8769465410005	0.39998804200149607	69	dim	middle	NaN	1	5	8
281.57658376399195	0.3999501829966903	70	dim	middle	NaN	1	5	8
285.8762485689949	0.39994116900197696	71	dim	middle	NaN	1	5	8
290.8757822519983	0.3999769249930978	72	dim	middle	NaN	1	5	8
295.2754097399884	0.39999615401029587	73	dim	middle	NaN	1	5	8
300.574949552989	0.3999679110129364	74	dim	middle	NaN	1	5	8
305.374579203999	0.3999637039960362	75	dim	middle	NaN	1	5	8
309.4742450299964	0.39998473699961323	76	dim	middle	NaN	1	5	8
314.4738276889984	0.39995529199950397	77	dim	middle	NaN	1	5	8
317.0735878609994	0.39999254800204653	78	dim	middle	NaN	1	5	8
320.4733066889894	0.39997001401206944	79	dim	middle	NaN	1	5	8
324.3728776899952	0.39994116900197696	80	dim	middle	NaN	1	5	8
327.8727211489895	0.3999637040105881	81	dim	middle	NaN	1	5	8
330.87244983199344	0.3999637039960362	82	dim	middle	NaN	1	5	8
333.4722148110013	0.3999952529993607	83	dim	middle	NaN	1	5	8
