onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
4,4.5,60,0.8,right ,1,4,8.5,280398.033035788,280407.232070088,EMPTY,0.3,0
4.1,4.5,105,0.8,left  ,1,4,8.6,280398.033035788,280407.232070088,EMPTY,0.3,0
13.4,4.5,60,0.2,left  ,2,4,17.9,280407.332716625,280415.53201512,EMPTY,0.45,0
13.4,4.5,15,0.8,right ,2,4,17.9,280407.332716625,280415.53201512,EMPTY,0.45,0
21,4.5,45,0.2,left  ,3,4,25.5,280415.632075106,280423.43269108,EMPTY,0.6,0
21.7,4.5,45,0.2,right ,3,4,26.2,280415.632075106,280423.43269108,EMPTY,0.6,0
29.5,4.5,15,0.2,left  ,4,4,34,280423.532719134,280431.732088715,EMPTY,0.6,0
29.6,4.5,45,0.2,right ,4,4,34.1,280423.532719134,280431.732088715,EMPTY,0.6,0
37.2,4.5,60,0.2,right ,5,4,41.7,280431.832849673,280441.032028045,EMPTY,0.6,0
37.9,4.5,135,0.8,left  ,5,4,42.4,280431.832849673,280441.032028045,EMPTY,0.6,0
46.6,4.5,45,0.8,right ,6,4,51.1,280441.132035192,280449.832715484,EMPTY,0.6,0
47.2,4.5,75,0.8,left  ,6,4,51.7,280441.132035192,280449.832715484,EMPTY,0.6,0
55.3,4.5,165,0.8,right ,7,4,59.8,280449.932102628,280459.332101944,EMPTY,0.6,0
56,4.5,150,0.8,left  ,7,4,60.5,280449.932102628,280459.332101944,EMPTY,0.6,0
63.5,4.5,0,0.2,right ,8,4,68,280459.432792576,280468.032104833,EMPTY,0.6,0
65.5,4.5,105,0.2,left  ,8,4,70,280459.432792576,280468.032104833,EMPTY,0.6,0
72.3,4.5,90,0.2,right ,9,4,76.8,280468.132151133,280477.232704917,EMPTY,0.6,0
74.2,4.5,45,0.8,left  ,9,4,78.7,280468.132151133,280477.232704917,EMPTY,0.6,0
81.4,4.5,30,0.2,right ,10,4,85.9,280477.332736772,NaN,ESCAPE,0.6,0
83.4,4.5,120,0.2,left  ,10,4,87.9,280477.332736772,NaN,ESCAPE,0.6,0
89.6,4.5,165,0.8,right ,11,4,94.1,NaN,NaN,,NaN,NaN
91.8,4.5,30,0.2,left  ,11,4,96.3,NaN,NaN,,NaN,NaN
98.5,4.5,45,0.8,right ,12,4,103,NaN,NaN,,NaN,NaN
100.4,4.5,30,0.2,left  ,12,4,104.9,NaN,NaN,,NaN,NaN
106.4,4.5,0,0.2,right ,13,4,110.9,NaN,NaN,,NaN,NaN
108.2,4.5,120,0.8,left  ,13,4,112.7,NaN,NaN,,NaN,NaN
115.9,4.5,30,0.8,right ,14,4,120.4,NaN,NaN,,NaN,NaN
117,4.5,75,0.2,left  ,14,4,121.5,NaN,NaN,,NaN,NaN
124.8,4.5,105,0.8,right ,15,4,129.3,NaN,NaN,,NaN,NaN
126.5,4.5,135,0.8,left  ,15,4,131,NaN,NaN,,NaN,NaN
132.6,4.5,15,0.2,right ,16,4,137.1,NaN,NaN,,NaN,NaN
135.1,4.5,15,0.2,left  ,16,4,139.6,NaN,NaN,,NaN,NaN
141,4.5,60,0.2,right ,17,4,145.5,NaN,NaN,,NaN,NaN
143.6,4.5,75,0.8,left  ,17,4,148.1,NaN,NaN,,NaN,NaN
149.8,4.5,165,0.2,right ,18,4,154.3,NaN,NaN,,NaN,NaN
152.7,4.5,90,0.2,left  ,18,4,157.2,NaN,NaN,,NaN,NaN
159.2,4.5,90,0.8,right ,19,4,163.7,NaN,NaN,,NaN,NaN
160.3,4.5,0,0.2,left  ,19,4,164.8,NaN,NaN,,NaN,NaN
167.8,4.5,0,0.2,right ,20,4,172.3,NaN,NaN,,NaN,NaN
169.6,4.5,165,0.8,left  ,20,4,174.1,NaN,NaN,,NaN,NaN
176.6,4.5,135,0.8,right ,21,4,181.1,NaN,NaN,,NaN,NaN
177.1,4.5,75,0.2,left  ,21,4,181.6,NaN,NaN,,NaN,NaN
185.5,4.5,150,0.2,right ,22,4,190,NaN,NaN,,NaN,NaN
185.6,4.5,165,0.8,left  ,22,4,190.1,NaN,NaN,,NaN,NaN
194.5,4.5,0,0.2,left  ,23,4,199,NaN,NaN,,NaN,NaN
194.9,4.5,60,0.8,right ,23,4,199.4,NaN,NaN,,NaN,NaN
202.7,4.5,90,0.2,right ,24,4,207.2,NaN,NaN,,NaN,NaN
203.1,4.5,150,0.8,left  ,24,4,207.6,NaN,NaN,,NaN,NaN
211,4.5,120,0.2,right ,25,4,215.5,NaN,NaN,,NaN,NaN
211.6,4.5,60,0.8,left  ,25,4,216.1,NaN,NaN,,NaN,NaN
219.1,4.5,105,0.2,right ,26,4,223.6,NaN,NaN,,NaN,NaN
219.7,4.5,105,0.2,left  ,26,4,224.2,NaN,NaN,,NaN,NaN
228,4.5,105,0.2,right ,27,4,232.5,NaN,NaN,,NaN,NaN
228.4,4.5,60,0.2,left  ,27,4,232.9,NaN,NaN,,NaN,NaN
237.3,4.5,120,0.8,right ,28,4,241.8,NaN,NaN,,NaN,NaN
237.8,4.5,165,0.2,left  ,28,4,242.3,NaN,NaN,,NaN,NaN
245.8,4.5,75,0.8,right ,29,4,250.3,NaN,NaN,,NaN,NaN
246.7,4.5,105,0.8,left  ,29,4,251.2,NaN,NaN,,NaN,NaN
254.9,4.5,120,0.8,right ,30,4,259.4,NaN,NaN,,NaN,NaN
256.1,4.5,90,0.2,left  ,30,4,260.6,NaN,NaN,,NaN,NaN
263,4.5,30,0.8,right ,31,4,267.5,NaN,NaN,,NaN,NaN
263.8,4.5,135,0.2,left  ,31,4,268.3,NaN,NaN,,NaN,NaN
271.6,4.5,15,0.2,right ,32,4,276.1,NaN,NaN,,NaN,NaN
272.3,4.5,0,0.2,left  ,32,4,276.8,NaN,NaN,,NaN,NaN
279.9,4.5,0,0.2,right ,33,4,284.4,NaN,NaN,,NaN,NaN
280,4.5,45,0.2,left  ,33,4,284.5,NaN,NaN,,NaN,NaN
288.6,4.5,165,0.2,left  ,34,4,293.1,NaN,NaN,,NaN,NaN
289.2,4.5,75,0.8,right ,34,4,293.7,NaN,NaN,,NaN,NaN
297.5,4.5,15,0.8,left  ,35,4,302,NaN,NaN,,NaN,NaN
298.1,4.5,150,0.8,right ,35,4,302.6,NaN,NaN,,NaN,NaN
305.3,4.5,150,0.2,left  ,36,4,309.8,NaN,NaN,,NaN,NaN
307.3,4.5,15,0.8,right ,36,4,311.8,NaN,NaN,,NaN,NaN
314.4,4.5,120,0.8,left  ,37,4,318.9,NaN,NaN,,NaN,NaN
315,4.5,30,0.2,right ,37,4,319.5,NaN,NaN,,NaN,NaN
322.7,4.5,150,0.2,left  ,38,4,327.2,NaN,NaN,,NaN,NaN
323,4.5,120,0.2,right ,38,4,327.5,NaN,NaN,,NaN,NaN
332,4.5,15,0.8,left  ,39,4,336.5,NaN,NaN,,NaN,NaN
332.1,4.5,90,0.8,right ,39,4,336.6,NaN,NaN,,NaN,NaN
340,4.5,135,0.8,right ,40,4,344.5,NaN,NaN,,NaN,NaN
340.1,4.5,90,0.8,left  ,40,4,344.6,NaN,NaN,,NaN,NaN
347.5,4.5,105,0.8,right ,41,4,352,NaN,NaN,,NaN,NaN
347.7,4.5,135,0.2,left  ,41,4,352.2,NaN,NaN,,NaN,NaN
355.6,4.5,120,0.2,left  ,42,4,360.1,NaN,NaN,,NaN,NaN
355.9,4.5,75,0.2,right ,42,4,360.4,NaN,NaN,,NaN,NaN
363.2,4.5,0,0.2,left  ,43,4,367.7,NaN,NaN,,NaN,NaN
365.3,4.5,165,0.2,right ,43,4,369.8,NaN,NaN,,NaN,NaN
372.6,4.5,90,0.8,left  ,44,4,377.1,NaN,NaN,,NaN,NaN
373.3,4.5,75,0.2,right ,44,4,377.8,NaN,NaN,,NaN,NaN
380.1,4.5,60,0.8,left  ,45,4,384.6,NaN,NaN,,NaN,NaN
381.9,4.5,135,0.2,right ,45,4,386.4,NaN,NaN,,NaN,NaN
387.8,4.5,30,0.8,left  ,46,4,392.3,NaN,NaN,,NaN,NaN
390.1,4.5,150,0.2,right ,46,4,394.6,NaN,NaN,,NaN,NaN
395.3,4.5,45,0.8,left  ,47,4,399.8,NaN,NaN,,NaN,NaN
397.6,4.5,135,0.2,right ,47,4,402.1,NaN,NaN,,NaN,NaN
403.2,4.5,30,0.8,left  ,48,4,407.7,NaN,NaN,,NaN,NaN
406.1,4.5,150,0.8,right ,48,4,410.6,NaN,NaN,,NaN,NaN
