onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
4.5,4.5,90,0.2,left  ,1,4,9,280283.94536408,280292.245953824,EMPTY,0.3,0
5,4.5,120,0.8,right ,1,4,9.5,280283.94536408,280292.245953824,EMPTY,0.3,0
12.2,4.5,60,0.8,left  ,2,4,16.7,280292.353288107,280300.145348722,EMPTY,0.45,0
13.4,4.5,90,0.2,right ,2,4,17.9,280292.353288107,280300.145348722,EMPTY,0.45,0
21,4.5,165,0.8,right ,3,4,25.5,280300.249530531,280309.245320896,EMPTY,0.6,0
21.3,4.5,90,0.8,left  ,3,4,25.8,280300.249530531,280309.245320896,EMPTY,0.6,0
30,4.5,30,0.2,right ,4,4,34.5,280309.345343248,280317.845981118,EMPTY,0.6,0
30.4,4.5,30,0.8,left  ,4,4,34.9,280309.345343248,280317.845981118,EMPTY,0.6,0
38.5,4.5,30,0.8,right ,5,4,43,280317.94597686,280325.845901289,EMPTY,0.6,0
39,4.5,165,0.2,left  ,5,4,43.5,280317.94597686,280325.845901289,EMPTY,0.6,0
46.6,4.5,135,0.2,right ,6,4,51.1,280325.945983323,280334.445306299,EMPTY,0.6,0
47,4.5,30,0.2,left  ,6,4,51.5,280325.945983323,280334.445306299,EMPTY,0.6,0
54.6,4.5,165,0.8,left  ,7,4,59.1,280334.545945233,280343.645274215,EMPTY,0.6,0
55.6,4.5,75,0.8,right ,7,4,60.1,280334.545945233,280343.645274215,EMPTY,0.6,0
63.4,4.5,150,0.2,left  ,8,4,67.9,280343.745349407,280351.64531375,EMPTY,0.6,0
64.8,4.5,165,0.8,right ,8,4,69.3,280343.745349407,280351.64531375,EMPTY,0.6,0
70.9,4.5,45,0.2,left  ,9,4,75.4,280351.745999821,280360.245278321,EMPTY,0.6,0
72.8,4.5,0,0.2,right ,9,4,77.3,280351.745999821,280360.245278321,EMPTY,0.6,0
78.5,4.5,150,0.2,left  ,10,4,83,280360.345970474,280368.645923109,EMPTY,0.6,0
81.4,4.5,90,0.8,right ,10,4,85.9,280360.345970474,280368.645923109,EMPTY,0.6,0
86.2,4.5,30,0.8,left  ,11,4,90.7,280368.745900985,NaN,ESCAPE,0.6,0
89.8,4.5,60,0.8,right ,11,4,94.3,280368.745900985,NaN,ESCAPE,0.6,0
94.6,4.5,15,0.8,left  ,12,4,99.1,NaN,NaN,,NaN,NaN
97.6,4.5,45,0.8,right ,12,4,102.1,NaN,NaN,,NaN,NaN
103.5,4.5,45,0.2,left  ,13,4,108,NaN,NaN,,NaN,NaN
106.3,4.5,90,0.2,right ,13,4,110.8,NaN,NaN,,NaN,NaN
112.7,4.5,15,0.2,left  ,14,4,117.2,NaN,NaN,,NaN,NaN
