onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	5	135	0.2	left	1	5	grating	10
0	5	45	0.8	right	1	5	grating	10
4.8	0.4	n/a	n/a	middle	1	5	dim	10
8.1	5	120	0.8	left	2	5	grating	10
8.7	5	45	0.2	right	2	5	grating	10
9.6	0.4	n/a	n/a	middle	2	5	dim	10
12.2	0.4	n/a	n/a	middle	3	5	dim	10
16.3	5	45	0.2	right	3	5	grating	10
16.6	5	165	0.2	left	3	5	grating	10
16.9	0.4	n/a	n/a	middle	4	5	dim	10
21.7	0.4	n/a	n/a	middle	5	5	dim	10
23.8	5	150	0.2	right	4	5	grating	10
24.9	5	60	0.2	left	4	5	grating	10
26.9	0.4	n/a	n/a	middle	6	5	dim	10
29.6	0.4	n/a	n/a	middle	7	5	dim	10
31.6	5	45	0.8	right	5	5	grating	10
32	0.4	n/a	n/a	middle	8	5	dim	10
32.4	5	150	0.8	left	5	5	grating	10
36.7	0.4	n/a	n/a	middle	9	5	dim	10
40.3	5	150	0.8	right	6	5	grating	10
40.5	5	150	0.2	left	6	5	grating	10
41.6	0.4	n/a	n/a	middle	10	5	dim	10
44.3	0.4	n/a	n/a	middle	11	5	dim	10
48.2	5	105	0.2	right	7	5	grating	10
48.7	5	105	0.2	left	7	5	grating	10
48.8	0.4	n/a	n/a	middle	12	5	dim	10
51.4	0.4	n/a	n/a	middle	13	5	dim	10
54.7	0.4	n/a	n/a	middle	14	5	dim	10
56.2	5	90	0.2	right	8	5	grating	10
56.8	5	90	0.8	left	8	5	grating	10
58.6	0.4	n/a	n/a	middle	15	5	dim	10
63.7	0.4	n/a	n/a	middle	16	5	dim	10
64.4	5	90	0.8	right	9	5	grating	10
65.3	5	75	0.8	left	9	5	grating	10
68.8	0.4	n/a	n/a	middle	17	5	dim	10
71.9	0.4	n/a	n/a	middle	18	5	dim	10
73.1	5	15	0.2	left	10	5	grating	10
73.1	5	60	0.2	right	10	5	grating	10
75	0.4	n/a	n/a	middle	19	5	dim	10
77.9	0.4	n/a	n/a	middle	20	5	dim	10
81.5	5	165	0.2	left	11	5	grating	10
81.8	5	30	0.2	right	11	5	grating	10
81.9	0.4	n/a	n/a	middle	21	5	dim	10
86.6	0.4	n/a	n/a	middle	22	5	dim	10
89.5	5	105	0.2	left	12	5	grating	10
90.2	5	135	0.2	right	12	5	grating	10
90.3	0.4	n/a	n/a	middle	23	5	dim	10
92.7	0.4	n/a	n/a	middle	24	5	dim	10
96.7	0.4	n/a	n/a	middle	25	5	dim	10
97.9	5	150	0.2	left	13	5	grating	10
98.8	5	0	0.2	right	13	5	grating	10
100.6	0.4	n/a	n/a	middle	26	5	dim	10
105.5	0.4	n/a	n/a	middle	27	5	dim	10
106.5	5	165	0.8	left	14	5	grating	10
107.2	5	135	0.2	right	14	5	grating	10
108.3	0.4	n/a	n/a	middle	28	5	dim	10
111.8	0.4	n/a	n/a	middle	29	5	dim	10
115	5	120	0.8	left	15	5	grating	10
115.2	0.4	n/a	n/a	middle	30	5	dim	10
115.9	5	0	0.2	right	15	5	grating	10
117.8	0.4	n/a	n/a	middle	31	5	dim	10
122.3	0.4	n/a	n/a	middle	32	5	dim	10
123.4	5	60	0.8	right	16	5	grating	10
123.5	5	135	0.8	left	16	5	grating	10
126.2	0.4	n/a	n/a	middle	33	5	dim	10
129.7	0.4	n/a	n/a	middle	34	5	dim	10
131.1	5	45	0.2	left	17	5	grating	10
131.1	5	15	0.8	right	17	5	grating	10
133	0.4	n/a	n/a	middle	35	5	dim	10
138	0.4	n/a	n/a	middle	36	5	dim	10
139.5	5	75	0.2	right	18	5	grating	10
139.6	5	45	0.8	left	18	5	grating	10
143.2	0.4	n/a	n/a	middle	37	5	dim	10
147.7	5	105	0.8	left	19	5	grating	10
148.1	5	60	0.8	right	19	5	grating	10
148.1	0.4	n/a	n/a	middle	38	5	dim	10
152.2	0.4	n/a	n/a	middle	39	5	dim	10
155.7	5	0	0.2	right	20	5	grating	10
156.1	0.4	n/a	n/a	middle	40	5	dim	10
156.2	5	15	0.8	left	20	5	grating	10
161.2	0.4	n/a	n/a	middle	41	5	dim	10
164.2	5	105	0.2	right	21	5	grating	10
164.9	5	135	0.8	left	21	5	grating	10
166.4	0.4	n/a	n/a	middle	42	5	dim	10
169.5	0.4	n/a	n/a	middle	43	5	dim	10
171.9	5	105	0.8	right	22	5	grating	10
172.4	0.4	n/a	n/a	middle	44	5	dim	10
172.9	5	30	0.2	left	22	5	grating	10
177.4	0.4	n/a	n/a	middle	45	5	dim	10
180.2	5	30	0.2	right	23	5	grating	10
181	0.4	n/a	n/a	middle	46	5	dim	10
181.1	5	30	0.8	left	23	5	grating	10
186.4	0.4	n/a	n/a	middle	47	5	dim	10
188	5	120	0.8	right	24	5	grating	10
188.7	5	0	0.2	left	24	5	grating	10
191.4	0.4	n/a	n/a	middle	48	5	dim	10
193.9	0.4	n/a	n/a	middle	49	5	dim	10
196.7	5	15	0.8	right	25	5	grating	10
196.9	5	90	0.2	left	25	5	grating	10
197.7	0.4	n/a	n/a	middle	50	5	dim	10
200.1	0.4	n/a	n/a	middle	51	5	dim	10
203.2	0.4	n/a	n/a	middle	52	5	dim	10
205.2	5	165	0.8	right	26	5	grating	10
205.4	5	135	0.2	left	26	5	grating	10
206.9	0.4	n/a	n/a	middle	53	5	dim	10
210.7	0.4	n/a	n/a	middle	54	5	dim	10
213.1	5	75	0.2	left	27	5	grating	10
213.5	5	30	0.8	right	27	5	grating	10
215.5	0.4	n/a	n/a	middle	55	5	dim	10
218.4	0.4	n/a	n/a	middle	56	5	dim	10
221.7	5	75	0.8	left	28	5	grating	10
222.2	5	15	0.2	right	28	5	grating	10
223.5	0.4	n/a	n/a	middle	57	5	dim	10
228.2	0.4	n/a	n/a	middle	58	5	dim	10
229.7	5	30	0.8	left	29	5	grating	10
229.9	5	120	0.8	right	29	5	grating	10
231.6	0.4	n/a	n/a	middle	59	5	dim	10
234.6	0.4	n/a	n/a	middle	60	5	dim	10
237.5	5	165	0.8	left	30	5	grating	10
237.7	5	90	0.8	right	30	5	grating	10
240	0.4	n/a	n/a	middle	61	5	dim	10
245	5	0	0.2	left	31	5	grating	10
245.3	0.4	n/a	n/a	middle	62	5	dim	10
245.4	5	105	0.8	right	31	5	grating	10
250.4	0.4	n/a	n/a	middle	63	5	dim	10
253.4	5	150	0.8	left	32	5	grating	10
253.4	5	150	0.2	right	32	5	grating	10
254.5	0.4	n/a	n/a	middle	64	5	dim	10
258.7	0.4	n/a	n/a	middle	65	5	dim	10
261.1	5	45	0.8	left	33	5	grating	10
261.3	0.4	n/a	n/a	middle	66	5	dim	10
262.1	5	135	0.8	right	33	5	grating	10
265	0.4	n/a	n/a	middle	67	5	dim	10
268.7	0.4	n/a	n/a	middle	68	5	dim	10
269.8	5	60	0.8	left	34	5	grating	10
270.3	5	75	0.8	right	34	5	grating	10
271.8	0.4	n/a	n/a	middle	69	5	dim	10
276.9	0.4	n/a	n/a	middle	70	5	dim	10
277.5	5	15	0.2	left	35	5	grating	10
278	5	75	0.8	right	35	5	grating	10
