onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	5	60	0.2	left	1	5	grating	8
0	5	135	0.2	right	1	5	grating	8
3.7	0.4	n/a	n/a	middle	1	5	dim	8
7.4	0.4	n/a	n/a	middle	2	5	dim	8
8.2	5	120	0.2	right	2	5	grating	8
8.6	5	150	0.2	left	2	5	grating	8
10.8	0.4	n/a	n/a	middle	3	5	dim	8
13.3	0.4	n/a	n/a	middle	4	5	dim	8
16.3	5	45	0.2	right	3	5	grating	8
16.8	5	90	0.8	left	3	5	grating	8
17	0.4	n/a	n/a	middle	5	5	dim	8
20	0.4	n/a	n/a	middle	6	5	dim	8
24.6	0.4	n/a	n/a	middle	7	5	dim	8
24.9	5	30	0.8	right	4	5	grating	8
25.3	5	105	0.8	left	4	5	grating	8
29.3	0.4	n/a	n/a	middle	8	5	dim	8
32.5	0.4	n/a	n/a	middle	9	5	dim	8
33	5	120	0.8	left	5	5	grating	8
33	5	90	0.8	right	5	5	grating	8
34.9	0.4	n/a	n/a	middle	10	5	dim	8
39.7	0.4	n/a	n/a	middle	11	5	dim	8
40.9	5	105	0.2	left	6	5	grating	8
41.4	5	30	0.8	right	6	5	grating	8
45.1	0.4	n/a	n/a	middle	12	5	dim	8
49.1	5	30	0.8	left	7	5	grating	8
49.3	0.4	n/a	n/a	middle	13	5	dim	8
50	5	150	0.2	right	7	5	grating	8
52.8	0.4	n/a	n/a	middle	14	5	dim	8
56.7	5	135	0.2	left	8	5	grating	8
57.6	5	165	0.2	right	8	5	grating	8
58.1	0.4	n/a	n/a	middle	15	5	dim	8
63.2	0.4	n/a	n/a	middle	16	5	dim	8
65	5	30	0.8	left	9	5	grating	8
65.6	5	15	0.8	right	9	5	grating	8
66.9	0.4	n/a	n/a	middle	17	5	dim	8
69.7	0.4	n/a	n/a	middle	18	5	dim	8
72.7	5	45	0.8	left	10	5	grating	8
73.4	5	60	0.2	right	10	5	grating	8
74.1	0.4	n/a	n/a	middle	19	5	dim	8
76.9	0.4	n/a	n/a	middle	20	5	dim	8
80.2	0.4	n/a	n/a	middle	21	5	dim	8
80.4	5	90	0.2	left	11	5	grating	8
82	5	105	0.2	right	11	5	grating	8
83	0.4	n/a	n/a	middle	22	5	dim	8
85.8	0.4	n/a	n/a	middle	23	5	dim	8
88.9	5	120	0.2	left	12	5	grating	8
88.9	0.4	n/a	n/a	middle	24	5	dim	8
89.5	5	135	0.2	right	12	5	grating	8
92.7	0.4	n/a	n/a	middle	25	5	dim	8
96.4	5	0	0.2	left	13	5	grating	8
96.4	0.4	n/a	n/a	middle	26	5	dim	8
97.7	5	150	0.8	right	13	5	grating	8
101.5	0.4	n/a	n/a	middle	27	5	dim	8
104.6	5	120	0.8	left	14	5	grating	8
104.7	0.4	n/a	n/a	middle	28	5	dim	8
105.6	5	75	0.8	right	14	5	grating	8
108	0.4	n/a	n/a	middle	29	5	dim	8
112.1	0.4	n/a	n/a	middle	30	5	dim	8
113	5	150	0.2	left	15	5	grating	8
113.4	5	75	0.2	right	15	5	grating	8
116.8	0.4	n/a	n/a	middle	31	5	dim	8
121.6	5	45	0.2	left	16	5	grating	8
121.6	5	75	0.8	right	16	5	grating	8
122	0.4	n/a	n/a	middle	32	5	dim	8
