onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	16	0	1	left	1	6	grating	0
4.8	0.4	n/a	n/a	middle	1	6	dim	0
8.5	0.4	n/a	n/a	middle	2	6	dim	0
11.7	0.4	n/a	n/a	middle	3	6	dim	0
16	16	0	1	right	1	6	grating	0
16	0.4	n/a	n/a	middle	4	6	dim	0
19.3	0.4	n/a	n/a	middle	5	6	dim	0
23.6	0.4	n/a	n/a	middle	6	6	dim	0
26.1	0.4	n/a	n/a	middle	7	6	dim	0
31.5	0.4	n/a	n/a	middle	8	6	dim	0
32	16	0	1	left	2	6	grating	0
34.5	0.4	n/a	n/a	middle	9	6	dim	0
38.7	0.4	n/a	n/a	middle	10	6	dim	0
42.1	0.4	n/a	n/a	middle	11	6	dim	0
46.7	0.4	n/a	n/a	middle	12	6	dim	0
48	16	0	1	right	2	6	grating	0
49.1	0.4	n/a	n/a	middle	13	6	dim	0
51.7	0.4	n/a	n/a	middle	14	6	dim	0
56.9	0.4	n/a	n/a	middle	15	6	dim	0
59.5	0.4	n/a	n/a	middle	16	6	dim	0
62.9	0.4	n/a	n/a	middle	17	6	dim	0
64	16	0	1	left	3	6	grating	0
66.9	0.4	n/a	n/a	middle	18	6	dim	0
70	0.4	n/a	n/a	middle	19	6	dim	0
74	0.4	n/a	n/a	middle	20	6	dim	0
78.8	0.4	n/a	n/a	middle	21	6	dim	0
80	16	0	1	right	3	6	grating	0
82.8	0.4	n/a	n/a	middle	22	6	dim	0
88	0.4	n/a	n/a	middle	23	6	dim	0
90.8	0.4	n/a	n/a	middle	24	6	dim	0
94.4	0.4	n/a	n/a	middle	25	6	dim	0
96	16	0	1	left	4	6	grating	0
97.6	0.4	n/a	n/a	middle	26	6	dim	0
101.8	0.4	n/a	n/a	middle	27	6	dim	0
104.3	0.4	n/a	n/a	middle	28	6	dim	0
106.8	0.4	n/a	n/a	middle	29	6	dim	0
110.2	0.4	n/a	n/a	middle	30	6	dim	0
112	16	0	1	right	4	6	grating	0
112.9	0.4	n/a	n/a	middle	31	6	dim	0
115.8	0.4	n/a	n/a	middle	32	6	dim	0
119.3	0.4	n/a	n/a	middle	33	6	dim	0
121.8	0.4	n/a	n/a	middle	34	6	dim	0
126.3	0.4	n/a	n/a	middle	35	6	dim	0
128	16	0	1	left	5	6	grating	0
130.6	0.4	n/a	n/a	middle	36	6	dim	0
133.5	0.4	n/a	n/a	middle	37	6	dim	0
136	0.4	n/a	n/a	middle	38	6	dim	0
139.6	0.4	n/a	n/a	middle	39	6	dim	0
143.4	0.4	n/a	n/a	middle	40	6	dim	0
144	16	0	1	right	5	6	grating	0
146.4	0.4	n/a	n/a	middle	41	6	dim	0
151.4	0.4	n/a	n/a	middle	42	6	dim	0
155.6	0.4	n/a	n/a	middle	43	6	dim	0
158	0.4	n/a	n/a	middle	44	6	dim	0
160	16	0	1	left	6	6	grating	0
163.1	0.4	n/a	n/a	middle	45	6	dim	0
166.9	0.4	n/a	n/a	middle	46	6	dim	0
169.4	0.4	n/a	n/a	middle	47	6	dim	0
172.1	0.4	n/a	n/a	middle	48	6	dim	0
176	16	0	1	right	6	6	grating	0
177.5	0.4	n/a	n/a	middle	49	6	dim	0
182.5	0.4	n/a	n/a	middle	50	6	dim	0
186.8	0.4	n/a	n/a	middle	51	6	dim	0
189.2	0.4	n/a	n/a	middle	52	6	dim	0
192	16	0	1	left	7	6	grating	0
192.5	0.4	n/a	n/a	middle	53	6	dim	0
196.3	0.4	n/a	n/a	middle	54	6	dim	0
199	0.4	n/a	n/a	middle	55	6	dim	0
203.1	0.4	n/a	n/a	middle	56	6	dim	0
206.5	0.4	n/a	n/a	middle	57	6	dim	0
208	16	0	1	right	7	6	grating	0
210.2	0.4	n/a	n/a	middle	58	6	dim	0
214.3	0.4	n/a	n/a	middle	59	6	dim	0
216.9	0.4	n/a	n/a	middle	60	6	dim	0
219.4	0.4	n/a	n/a	middle	61	6	dim	0
222.7	0.4	n/a	n/a	middle	62	6	dim	0
224	16	0	1	left	8	6	grating	0
226.7	0.4	n/a	n/a	middle	63	6	dim	0
230.8	0.4	n/a	n/a	middle	64	6	dim	0
233.9	0.4	n/a	n/a	middle	65	6	dim	0
239.1	0.4	n/a	n/a	middle	66	6	dim	0
240	16	0	1	right	8	6	grating	0
256	16	0	1	left	9	6	grating	0
272	16	0	1	right	9	6	grating	0
288	16	0	1	left	10	6	grating	0
304	16	0	1	right	10	6	grating	0
