onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	5	15	0.8	left	1	6	grating	8
0	5	15	0.8	right	1	6	grating	8
3.7	0.4	n/a	n/a	middle	1	6	dim	8
6.6	0.4	n/a	n/a	middle	2	6	dim	8
7.8	5	105	0.8	left	2	6	grating	8
8.7	5	165	0.2	right	2	6	grating	8
10	0.4	n/a	n/a	middle	3	6	dim	8
14.6	0.4	n/a	n/a	middle	4	6	dim	8
15.3	5	150	0.2	left	3	6	grating	8
16.7	5	60	0.2	right	3	6	grating	8
18.7	0.4	n/a	n/a	middle	5	6	dim	8
21.5	0.4	n/a	n/a	middle	6	6	dim	8
23.1	5	45	0.8	left	4	6	grating	8
25	0.4	n/a	n/a	middle	7	6	dim	8
25.2	5	150	0.8	right	4	6	grating	8
28.6	0.4	n/a	n/a	middle	8	6	dim	8
31.3	5	45	0.2	left	5	6	grating	8
32.7	0.4	n/a	n/a	middle	9	6	dim	8
33.9	5	120	0.8	right	5	6	grating	8
35.1	0.4	n/a	n/a	middle	10	6	dim	8
39.2	0.4	n/a	n/a	middle	11	6	dim	8
40	5	120	0.8	left	6	6	grating	8
42.2	5	60	0.8	right	6	6	grating	8
44.4	0.4	n/a	n/a	middle	12	6	dim	8
47.1	0.4	n/a	n/a	middle	13	6	dim	8
48.3	5	135	0.8	left	7	6	grating	8
50.1	5	15	0.8	right	7	6	grating	8
51.7	0.4	n/a	n/a	middle	14	6	dim	8
56.7	5	0	0.2	left	8	6	grating	8
57.1	0.4	n/a	n/a	middle	15	6	dim	8
58.1	5	120	0.8	right	8	6	grating	8
61.3	0.4	n/a	n/a	middle	16	6	dim	8
64.9	5	165	0.2	left	9	6	grating	8
65.9	0.4	n/a	n/a	middle	17	6	dim	8
66.1	5	105	0.8	right	9	6	grating	8
69.2	0.4	n/a	n/a	middle	18	6	dim	8
73	5	45	0.2	left	10	6	grating	8
73	0.4	n/a	n/a	middle	19	6	dim	8
74.4	5	165	0.8	right	10	6	grating	8
75.5	0.4	n/a	n/a	middle	20	6	dim	8
79	0.4	n/a	n/a	middle	21	6	dim	8
81.6	5	15	0.2	left	11	6	grating	8
82.5	0.4	n/a	n/a	middle	22	6	dim	8
