onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	16	0	1	left	1	5	grating	4
4.9	0.4	n/a	n/a	middle	1	5	dim	4
9.6	0.4	n/a	n/a	middle	2	5	dim	4
14.3	0.4	n/a	n/a	middle	3	5	dim	4
16	16	0	1	right	1	5	grating	4
17.7	0.4	n/a	n/a	middle	4	5	dim	4
20.7	0.4	n/a	n/a	middle	5	5	dim	4
23.7	0.4	n/a	n/a	middle	6	5	dim	4
28.5	0.4	n/a	n/a	middle	7	5	dim	4
32	16	0	1	left	2	5	grating	4
32.6	0.4	n/a	n/a	middle	8	5	dim	4
35.2	0.4	n/a	n/a	middle	9	5	dim	4
38.2	0.4	n/a	n/a	middle	10	5	dim	4
43.4	0.4	n/a	n/a	middle	11	5	dim	4
46.1	0.4	n/a	n/a	middle	12	5	dim	4
48	16	0	1	right	2	5	grating	4
49.2	0.4	n/a	n/a	middle	13	5	dim	4
53.4	0.4	n/a	n/a	middle	14	5	dim	4
58.3	0.4	n/a	n/a	middle	15	5	dim	4
61.4	0.4	n/a	n/a	middle	16	5	dim	4
64	16	0	1	left	3	5	grating	4
66	0.4	n/a	n/a	middle	17	5	dim	4
69.3	0.4	n/a	n/a	middle	18	5	dim	4
73.2	0.4	n/a	n/a	middle	19	5	dim	4
76.7	0.4	n/a	n/a	middle	20	5	dim	4
80	16	0	1	right	3	5	grating	4
80.4	0.4	n/a	n/a	middle	21	5	dim	4
84.2	0.4	n/a	n/a	middle	22	5	dim	4
88.4	0.4	n/a	n/a	middle	23	5	dim	4
92.4	0.4	n/a	n/a	middle	24	5	dim	4
96	16	0	1	left	4	5	grating	4
96.5	0.4	n/a	n/a	middle	25	5	dim	4
100.6	0.4	n/a	n/a	middle	26	5	dim	4
103.8	0.4	n/a	n/a	middle	27	5	dim	4
106.2	0.4	n/a	n/a	middle	28	5	dim	4
109	0.4	n/a	n/a	middle	29	5	dim	4
112	16	0	1	right	4	5	grating	4
112.1	0.4	n/a	n/a	middle	30	5	dim	4
116	0.4	n/a	n/a	middle	31	5	dim	4
119.9	0.4	n/a	n/a	middle	32	5	dim	4
124.9	0.4	n/a	n/a	middle	33	5	dim	4
128	16	0	1	left	5	5	grating	4
129.9	0.4	n/a	n/a	middle	34	5	dim	4
135	0.4	n/a	n/a	middle	35	5	dim	4
140.2	0.4	n/a	n/a	middle	36	5	dim	4
144	16	0	1	right	5	5	grating	4
144.2	0.4	n/a	n/a	middle	37	5	dim	4
149	0.4	n/a	n/a	middle	38	5	dim	4
154.3	0.4	n/a	n/a	middle	39	5	dim	4
157.7	0.4	n/a	n/a	middle	40	5	dim	4
160	16	0	1	left	6	5	grating	4
162.4	0.4	n/a	n/a	middle	41	5	dim	4
166.2	0.4	n/a	n/a	middle	42	5	dim	4
169.8	0.4	n/a	n/a	middle	43	5	dim	4
173.1	0.4	n/a	n/a	middle	44	5	dim	4
176	16	0	1	right	6	5	grating	4
176.6	0.4	n/a	n/a	middle	45	5	dim	4
182	0.4	n/a	n/a	middle	46	5	dim	4
186.6	0.4	n/a	n/a	middle	47	5	dim	4
191.5	0.4	n/a	n/a	middle	48	5	dim	4
192	16	0	1	left	7	5	grating	4
195.2	0.4	n/a	n/a	middle	49	5	dim	4
200.2	0.4	n/a	n/a	middle	50	5	dim	4
202.6	0.4	n/a	n/a	middle	51	5	dim	4
205.5	0.4	n/a	n/a	middle	52	5	dim	4
208	16	0	1	right	7	5	grating	4
208.4	0.4	n/a	n/a	middle	53	5	dim	4
211.9	0.4	n/a	n/a	middle	54	5	dim	4
214.3	0.4	n/a	n/a	middle	55	5	dim	4
219.4	0.4	n/a	n/a	middle	56	5	dim	4
223.8	0.4	n/a	n/a	middle	57	5	dim	4
224	16	0	1	left	8	5	grating	4
226.2	0.4	n/a	n/a	middle	58	5	dim	4
231	0.4	n/a	n/a	middle	59	5	dim	4
235.5	0.4	n/a	n/a	middle	60	5	dim	4
240	16	0	1	right	8	5	grating	4
240.7	0.4	n/a	n/a	middle	61	5	dim	4
244.1	0.4	n/a	n/a	middle	62	5	dim	4
247.7	0.4	n/a	n/a	middle	63	5	dim	4
252.2	0.4	n/a	n/a	middle	64	5	dim	4
255.3	0.4	n/a	n/a	middle	65	5	dim	4
256	16	0	1	left	9	5	grating	4
258.1	0.4	n/a	n/a	middle	66	5	dim	4
272	16	0	1	right	9	5	grating	4
288	16	0	1	left	10	5	grating	4
304	16	0	1	right	10	5	grating	4
