onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	5	135	0.8	left	1	6	grating	10
0	5	135	0.8	right	1	6	grating	10
3.3	0.4	n/a	n/a	middle	1	6	dim	10
7.7	5	0	0.2	left	2	6	grating	10
8.1	5	105	0.8	right	2	6	grating	10
8.1	0.4	n/a	n/a	middle	2	6	dim	10
12.1	0.4	n/a	n/a	middle	3	6	dim	10
15.5	0.4	n/a	n/a	middle	4	6	dim	10
16.1	5	15	0.2	left	3	6	grating	10
16.7	5	0	0.2	right	3	6	grating	10
19.2	0.4	n/a	n/a	middle	5	6	dim	10
23.8	0.4	n/a	n/a	middle	6	6	dim	10
24.3	5	60	0.2	left	4	6	grating	10
25.1	5	105	0.2	right	4	6	grating	10
29	0.4	n/a	n/a	middle	7	6	dim	10
32	5	45	0.2	left	5	6	grating	10
32.8	5	60	0.2	right	5	6	grating	10
34.1	0.4	n/a	n/a	middle	8	6	dim	10
36.9	0.4	n/a	n/a	middle	9	6	dim	10
39.6	0.4	n/a	n/a	middle	10	6	dim	10
40.5	5	75	0.2	left	6	6	grating	10
40.5	5	30	0.2	right	6	6	grating	10
44.7	0.4	n/a	n/a	middle	11	6	dim	10
48.4	5	15	0.8	right	7	6	grating	10
48.5	5	120	0.2	left	7	6	grating	10
49.1	0.4	n/a	n/a	middle	12	6	dim	10
51.6	0.4	n/a	n/a	middle	13	6	dim	10
55.5	0.4	n/a	n/a	middle	14	6	dim	10
56.7	5	45	0.8	left	8	6	grating	10
57	5	150	0.2	right	8	6	grating	10
60.6	0.4	n/a	n/a	middle	15	6	dim	10
64.1	0.4	n/a	n/a	middle	16	6	dim	10
64.8	5	30	0.2	left	9	6	grating	10
65.3	5	45	0.2	right	9	6	grating	10
67.4	0.4	n/a	n/a	middle	17	6	dim	10
70.5	0.4	n/a	n/a	middle	18	6	dim	10
72.5	5	105	0.2	left	10	6	grating	10
73.5	0.4	n/a	n/a	middle	19	6	dim	10
73.6	5	60	0.8	right	10	6	grating	10
77	0.4	n/a	n/a	middle	20	6	dim	10
80.1	5	150	0.2	left	11	6	grating	10
81.2	5	75	0.2	right	11	6	grating	10
81.2	0.4	n/a	n/a	middle	21	6	dim	10
84.4	0.4	n/a	n/a	middle	22	6	dim	10
88.2	5	60	0.8	left	12	6	grating	10
88.7	0.4	n/a	n/a	middle	23	6	dim	10
88.8	5	30	0.2	right	12	6	grating	10
93.5	0.4	n/a	n/a	middle	24	6	dim	10
95.7	5	15	0.2	left	13	6	grating	10
96.2	0.4	n/a	n/a	middle	25	6	dim	10
97.4	5	120	0.2	right	13	6	grating	10
100.8	0.4	n/a	n/a	middle	26	6	dim	10
103.7	5	0	0.2	left	14	6	grating	10
105.2	0.4	n/a	n/a	middle	27	6	dim	10
105.4	5	0	0.2	right	14	6	grating	10
109	0.4	n/a	n/a	middle	28	6	dim	10
111.9	5	120	0.2	left	15	6	grating	10
113.5	5	30	0.8	right	15	6	grating	10
114.2	0.4	n/a	n/a	middle	29	6	dim	10
116.8	0.4	n/a	n/a	middle	30	6	dim	10
120.2	5	135	0.2	left	16	6	grating	10
121	0.4	n/a	n/a	middle	31	6	dim	10
121.5	5	90	0.2	right	16	6	grating	10
124.1	0.4	n/a	n/a	middle	32	6	dim	10
126.6	0.4	n/a	n/a	middle	33	6	dim	10
127.7	5	30	0.2	left	17	6	grating	10
129.6	5	90	0.2	right	17	6	grating	10
130.7	0.4	n/a	n/a	middle	34	6	dim	10
