onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	16	0	1	left	1	5	grating	0
2.2	0.4	n/a	n/a	middle	1	5	dim	0
6.2	0.4	n/a	n/a	middle	2	5	dim	0
10.3	0.4	n/a	n/a	middle	3	5	dim	0
13.5	0.4	n/a	n/a	middle	4	5	dim	0
16	16	0	1	right	1	5	grating	0
17.5	0.4	n/a	n/a	middle	5	5	dim	0
21.3	0.4	n/a	n/a	middle	6	5	dim	0
23.7	0.4	n/a	n/a	middle	7	5	dim	0
27.8	0.4	n/a	n/a	middle	8	5	dim	0
30.7	0.4	n/a	n/a	middle	9	5	dim	0
32	16	0	1	left	2	5	grating	0
34.4	0.4	n/a	n/a	middle	10	5	dim	0
37.4	0.4	n/a	n/a	middle	11	5	dim	0
42.7	0.4	n/a	n/a	middle	12	5	dim	0
47.7	0.4	n/a	n/a	middle	13	5	dim	0
48	16	0	1	right	2	5	grating	0
50.2	0.4	n/a	n/a	middle	14	5	dim	0
54.3	0.4	n/a	n/a	middle	15	5	dim	0
59.2	0.4	n/a	n/a	middle	16	5	dim	0
64	16	0	1	left	3	5	grating	0
64.1	0.4	n/a	n/a	middle	17	5	dim	0
67.7	0.4	n/a	n/a	middle	18	5	dim	0
71.6	0.4	n/a	n/a	middle	19	5	dim	0
76	0.4	n/a	n/a	middle	20	5	dim	0
80	16	0	1	right	3	5	grating	0
80.3	0.4	n/a	n/a	middle	21	5	dim	0
83.5	0.4	n/a	n/a	middle	22	5	dim	0
88.8	0.4	n/a	n/a	middle	23	5	dim	0
93.6	0.4	n/a	n/a	middle	24	5	dim	0
96	16	0	1	left	4	5	grating	0
97.8	0.4	n/a	n/a	middle	25	5	dim	0
100.3	0.4	n/a	n/a	middle	26	5	dim	0
105	0.4	n/a	n/a	middle	27	5	dim	0
110	0.4	n/a	n/a	middle	28	5	dim	0
112	16	0	1	right	4	5	grating	0
114.9	0.4	n/a	n/a	middle	29	5	dim	0
118.8	0.4	n/a	n/a	middle	30	5	dim	0
123.9	0.4	n/a	n/a	middle	31	5	dim	0
127.8	0.4	n/a	n/a	middle	32	5	dim	0
128	16	0	1	left	5	5	grating	0
131.3	0.4	n/a	n/a	middle	33	5	dim	0
135.5	0.4	n/a	n/a	middle	34	5	dim	0
140.4	0.4	n/a	n/a	middle	35	5	dim	0
142.8	0.4	n/a	n/a	middle	36	5	dim	0
144	16	0	1	right	5	5	grating	0
147.1	0.4	n/a	n/a	middle	37	5	dim	0
150.4	0.4	n/a	n/a	middle	38	5	dim	0
154.1	0.4	n/a	n/a	middle	39	5	dim	0
157.5	0.4	n/a	n/a	middle	40	5	dim	0
160	16	0	1	left	6	5	grating	0
161.1	0.4	n/a	n/a	middle	41	5	dim	0
166.3	0.4	n/a	n/a	middle	42	5	dim	0
170.2	0.4	n/a	n/a	middle	43	5	dim	0
173	0.4	n/a	n/a	middle	44	5	dim	0
176	16	0	1	right	6	5	grating	0
176.3	0.4	n/a	n/a	middle	45	5	dim	0
179.1	0.4	n/a	n/a	middle	46	5	dim	0
183.8	0.4	n/a	n/a	middle	47	5	dim	0
187.2	0.4	n/a	n/a	middle	48	5	dim	0
190.5	0.4	n/a	n/a	middle	49	5	dim	0
192	16	0	1	left	7	5	grating	0
193.8	0.4	n/a	n/a	middle	50	5	dim	0
196.2	0.4	n/a	n/a	middle	51	5	dim	0
201.1	0.4	n/a	n/a	middle	52	5	dim	0
203.9	0.4	n/a	n/a	middle	53	5	dim	0
208	16	0	1	right	7	5	grating	0
209.3	0.4	n/a	n/a	middle	54	5	dim	0
213	0.4	n/a	n/a	middle	55	5	dim	0
216	0.4	n/a	n/a	middle	56	5	dim	0
220.8	0.4	n/a	n/a	middle	57	5	dim	0
224	16	0	1	left	8	5	grating	0
226.1	0.4	n/a	n/a	middle	58	5	dim	0
230.1	0.4	n/a	n/a	middle	59	5	dim	0
234.6	0.4	n/a	n/a	middle	60	5	dim	0
237.6	0.4	n/a	n/a	middle	61	5	dim	0
240	16	0	1	right	8	5	grating	0
240.4	0.4	n/a	n/a	middle	62	5	dim	0
243.4	0.4	n/a	n/a	middle	63	5	dim	0
247.4	0.4	n/a	n/a	middle	64	5	dim	0
251	0.4	n/a	n/a	middle	65	5	dim	0
254.1	0.4	n/a	n/a	middle	66	5	dim	0
256	16	0	1	left	9	5	grating	0
272	16	0	1	right	9	5	grating	0
288	16	0	1	left	10	5	grating	0
304	16	0	1	right	10	5	grating	0
