onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	16	0	1	left	1	6
32	16	0	1	left	2	6
64	16	0	1	left	3	6
96	16	0	1	left	4	6
128	16	0	1	left	5	6
160	16	0	1	left	6	6
192	16	0	1	left	7	6
224	16	0	1	left	8	6
256	16	0	1	left	9	6
288	16	0	1	left	10	6
