side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	0	5	150	0.2	1	grating	3.5999999999999996	86	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	8.6	5	90	0.8	2	grating	3.4000000000000004	84	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	17	5	45	0.8	3	grating	3.3000000000000007	83	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	25.3	5	90	0.2	4	grating	3.3000000000000007	83	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	33.6	5	60	0.2	5	grating	3.3999999999999986	83.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	42	5	135	0.2	6	grating	3.6000000000000014	86.00000000000001	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	50.6	5	30	0.2	7	grating	3.6999999999999957	86.99999999999996	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	59.3	5	15	0.8	8	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	67.3	5	75	0.2	9	grating	2.9000000000000057	79.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	6	5	ga_dump/sub-05_task-contrast_run-06_ga_events.tsv	75.2	5	30	0.8	10	grating	3.700000000000003	87.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
