side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	0	5	0	0.2	1	grating	3.4000000000000004	84	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	8.4	5	150	0.8	2	grating	3.4999999999999982	84.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	16.9	5	120	0.8	3	grating	2.8000000000000007	78	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	24.7	5	30	0.2	4	grating	3.0000000000000036	80.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	32.7	5	150	0.8	5	grating	2.8999999999999986	78.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	40.6	5	90	0.8	6	grating	3.299999999999997	82.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	48.9	5	75	0.8	7	grating	2.8999999999999986	78.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	56.8	5	45	0.8	8	grating	3.299999999999997	82.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	65.1	5	45	0.2	9	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	73.6	5	15	0.8	10	grating	3.6000000000000085	86.00000000000009	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	82.2	5	135	0.2	11	grating	3.299999999999997	82.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	10	5	ga_dump/sub-05_task-contrast_run-10_ga_events.tsv	90.5	5	30	0.8	12	grating	2.700000000000003	77.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
