side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	0	5	150	0.8	1	grating	3.3000000000000007	83	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	8.3	5	165	0.8	2	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	16.3	5	120	0.8	3	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	24.3	5	90	0.8	4	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	31.8	5	120	0.8	5	grating	2.900000000000002	79.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	39.7	5	75	0.8	6	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	48.2	5	105	0.8	7	grating	3.299999999999997	82.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	56.5	5	60	0.2	8	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	64.5	5	60	0.2	9	grating	3.700000000000003	87.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	73.2	5	150	0.2	10	grating	3.700000000000003	87.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	81.9	5	15	0.8	11	grating	3.0999999999999943	80.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	90	5	150	0.8	12	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	98	5	165	0.8	13	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	106.5	5	135	0.2	14	grating	2.5999999999999943	75.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	114.1	5	90	0.2	15	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	122.6	5	60	0.8	16	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	0	5	ga_dump/sub-05_task-contrast_run-00_ga_events.tsv	131	5	15	0.2	17	grating	3.1999999999999886	81.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
