side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	211.2	5	165	0.2	27	grating	3.700000000000017	87.00000000000017	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	219.9	5	15	0.2	28	grating	2.799999999999983	77.99999999999983	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	227.7	5	165	0.2	29	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	236.1	5	15	0.8	30	grating	2.8000000000000114	78.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	243.9	5	60	0.2	31	grating	3.5999999999999943	85.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	252.5	5	15	0.8	32	grating	3.3000000000000114	83.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	260.8	5	120	0.8	33	grating	2.8000000000000114	78.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	268.6	5	165	0.8	34	grating	2.8999999999999773	78.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	276.5	5	0	0.2	35	grating	3.3999999999999773	83.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	284.9	5	105	0.8	36	grating	2.7000000000000455	77.00000000000045	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	292.6	5	105	0.2	37	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	300.6	5	45	0.8	38	grating	2.8999999999999773	78.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	308.5	5	75	0.2	39	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	316.2	5	45	0.2	40	grating	3.1000000000000227	81.00000000000023	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	324.3	5	150	0.8	41	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	332.8	5	105	0.2	42	grating	3.099999999999966	80.99999999999966	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	340.9	5	0	0.2	43	grating	3.3000000000000114	83.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	349.2	5	45	0.8	44	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	356.9	5	150	0.2	45	grating	3.7000000000000455	87.00000000000045	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	365.6	5	30	0.2	46	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	373.1	5	120	0.2	47	grating	3.1999999999999886	81.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	381.3	5	30	0.8	48	grating	33.69999999999999	386.9999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	0	5	135	0.2	1	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	7.5	5	75	0.2	2	grating	2.6999999999999993	77	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	15.2	5	75	0.2	3	grating	3.400000000000002	84.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	23.6	5	30	0.8	4	grating	2.8999999999999986	78.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	31.5	5	120	0.2	5	grating	3.3999999999999986	83.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	39.9	5	15	0.2	6	grating	3.200000000000003	82.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	48.1	5	165	0.2	7	grating	2.6000000000000014	76.00000000000001	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	55.7	5	135	0.8	8	grating	3.299999999999997	82.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	64	5	0	0.2	9	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	72.4	5	60	0.2	10	grating	3.5999999999999943	85.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	81	5	0	0.2	11	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	88.5	5	105	0.8	12	grating	2.5999999999999943	75.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	96.1	5	90	0.8	13	grating	3.1000000000000085	81.00000000000009	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	104.2	5	135	0.8	14	grating	2.700000000000003	77.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	111.9	5	90	0.2	15	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	120.4	5	30	0.2	16	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	128.4	5	30	0.8	17	grating	2.799999999999983	77.99999999999983	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	136.2	5	105	0.2	18	grating	3.200000000000017	82.00000000000017	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	144.4	5	120	0.8	19	grating	2.9000000000000057	79.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	152.3	5	45	0.2	20	grating	3.5999999999999943	85.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	160.9	5	15	0.8	21	grating	2.799999999999983	77.99999999999983	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	168.7	5	60	0.8	22	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	176.7	5	60	0.2	23	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	185.1	5	75	0.8	24	grating	2.9000000000000057	79.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	193	5	0	0.2	25	grating	2.8000000000000114	78.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	200.8	5	120	0.8	26	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	208.8	5	90	0.8	27	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	216.5	5	45	0.2	28	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	224.5	5	30	0.2	29	grating	3.3000000000000114	83.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	232.8	5	150	0.2	30	grating	2.799999999999983	77.99999999999983	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	240.6	5	150	0.8	31	grating	3.5999999999999943	85.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	249.2	5	150	0.2	32	grating	3.400000000000034	84.00000000000034	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	257.6	5	15	0.2	33	grating	2.8999999999999773	78.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	265.5	5	90	0.2	34	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	274	5	135	0.2	35	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	282	5	105	0.2	36	grating	3.3000000000000114	83.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	290.3	5	120	0.2	37	grating	2.8000000000000114	78.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	298.1	5	15	0.8	38	grating	3.3999999999999773	83.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	306.5	5	150	0.8	39	grating	3.3999999999999773	83.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	314.9	5	105	0.8	40	grating	3.400000000000034	84.00000000000034	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	323.3	5	165	0.8	41	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	331	5	165	0.8	42	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	338.7	5	60	0.8	43	grating	3.1000000000000227	81.00000000000023	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	346.8	5	45	0.8	44	grating	3.3999999999999773	83.99999999999977	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	355.2	5	75	0.8	45	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	362.7	5	165	0.2	46	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	370.4	5	45	0.8	47	grating	3.400000000000034	84.00000000000034	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
right	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	378.8	5	0	0.2	48	grating	36.19999999999999	411.9999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
