trial_type	side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	iti_expected	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	242.6	5	30	0.2	31	2.5999999999999943	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	250.2	5	0	0.2	32	3.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	258.7	5	165	0.8	33	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	266.2	5	60	0.2	34	2.6000000000000227	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	273.8	5	135	0.8	35	3.599999999999966	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	282.4	5	75	0.8	36	3.3000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	290.7	5	15	0.2	37	3.1000000000000227	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	298.8	5	105	0.2	38	3.3000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	307.1	5	120	0.2	39	3.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	315.6	5	105	0.2	40	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	323.1	5	90	0.8	41	3.099999999999966	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	331.2	5	30	0.8	42	2.900000000000034	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	339.1	5	165	0.2	43	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	346.6	5	90	0.8	44	3.3999999999999773	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	355	5	15	0.8	45	3.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	363.5	5	150	0.2	46	3.3999999999999773	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	371.9	5	105	0.8	47	2.6000000000000227	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	left	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	379.5	5	45	0.8	48	0	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	0	5	45	0.8	1	3.4000000000000004	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	8.4	5	0	0.2	2	3.700000000000001	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	17.1	5	30	0.2	3	3.099999999999998	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	25.2	5	90	0.8	4	2.900000000000002	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	33.1	5	75	0.2	5	3.1999999999999957	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	41.3	5	15	0.2	6	3.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	49.8	5	105	0.2	7	3	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	57.8	5	60	0.2	8	2.700000000000003	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	65.5	5	90	0.8	9	3	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	73.5	5	75	0.2	10	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	81	5	15	0.8	11	3	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	89	5	15	0.2	12	3.299999999999997	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	97.3	5	120	0.8	13	3.1000000000000085	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	105.4	5	135	0.2	14	3.3999999999999915	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	113.8	5	0	0.2	15	2.799999999999997	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	121.6	5	90	0.2	16	3.4000000000000057	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	130	5	120	0.2	17	3.5999999999999943	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	138.6	5	0	0.2	18	3.4000000000000057	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	147	5	150	0.8	19	2.5999999999999943	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	154.6	5	45	0.2	20	3.3000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	162.9	5	15	0.8	21	2.9000000000000057	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	170.8	5	60	0.8	22	3.0999999999999943	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	178.9	5	165	0.8	23	3	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	186.9	5	150	0.2	24	3.6999999999999886	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	195.6	5	60	0.2	25	2.5999999999999943	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	203.2	5	30	0.8	26	3.200000000000017	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	211.4	5	0	0.2	27	3.0999999999999943	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	219.5	5	75	0.8	28	2.6999999999999886	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	227.2	5	45	0.8	29	3.1000000000000227	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	235.3	5	165	0.2	30	2.8999999999999773	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	243.2	5	45	0.2	31	3.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	251.7	5	105	0.2	32	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	259.2	5	135	0.2	33	3.3000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	267.5	5	30	0.2	34	3.3000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	275.8	5	75	0.8	35	2.599999999999966	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	283.4	5	30	0.8	36	3.6000000000000227	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	292	5	120	0.2	37	3.6000000000000227	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	300.6	5	105	0.8	38	3.3999999999999773	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
