onset	duration	orientation	contrast	side	trial	subject
347.848796713755	0.4	n/a	n/a	middle	89	5
348.326533851786	5.4375	30	0.2	right	42	5
348.528367112894	5.4375	0	0.2	left	42	5
351.643187759238	0.4	n/a	n/a	middle	90	5
355.447544107885	0.4	n/a	n/a	middle	91	5
356.989333528481	5.4375	30	0.2	left	43	5
357.26319007763	5.4375	135	0.8	right	43	5
359.330058788951	0.4	n/a	n/a	middle	92	5
362.902112755551	0.4	n/a	n/a	middle	93	5
365.413916571312	5.4375	45	0.2	right	44	5
365.496131358735	5.4375	90	0.8	left	44	5
367.085395328268	0.4	n/a	n/a	middle	94	5
371.38883327645	0.4	n/a	n/a	middle	95	5
374.063376644204	5.4375	90	0.2	left	45	5
374.150579296282	5.4375	0	0.2	right	45	5
382.561558458836	5.4375	60	0.2	left	46	5
382.591599780559	5.4375	60	0.2	right	46	5
391.059845955719	5.4375	90	0.8	right	47	5
391.100000741159	5.4375	75	0.2	left	47	5
399.5625	5.4375	60	0.2	left	48	5
399.5625	5.4375	15	0.8	right	48	5
