side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	0	5	30	0.8	1	grating	3.0999999999999996	81	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	8.1	5	90	0.8	2	grating	3.299999999999999	82.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	16.4	5	150	0.2	3	grating	2.900000000000002	79.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	24.3	5	135	0.2	4	grating	2.8000000000000007	78	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	32.1	5	75	0.8	5	grating	2.8999999999999986	78.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	40	5	60	0.2	6	grating	2.799999999999997	77.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	47.8	5	75	0.2	7	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	55.8	5	165	0.8	8	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	63.8	5	120	0.2	9	grating	2.799999999999997	77.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	71.6	5	150	0.2	10	grating	3.6000000000000085	86.00000000000009	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	80.2	5	30	0.2	11	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	88.7	5	165	0.2	12	grating	3.700000000000003	87.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	97.4	5	30	0.8	13	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	105.9	5	135	0.2	14	grating	2.799999999999997	77.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	113.7	5	15	0.2	15	grating	3.200000000000003	82.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	121.9	5	60	0.2	16	grating	3.1999999999999886	81.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	130.1	5	165	0.2	17	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	138.6	5	135	0.8	18	grating	3.5999999999999943	85.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	147.2	5	15	0.8	19	grating	2.9000000000000057	79.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	155.1	5	90	0.2	20	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	163.6	5	90	0.2	21	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	172	5	75	0.8	22	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	180.4	5	105	0.2	23	grating	2.799999999999983	77.99999999999983	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	188.2	5	0	0.2	24	grating	2.6000000000000227	76.00000000000023	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	195.8	5	45	0.8	25	grating	2.799999999999983	77.99999999999983	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	203.6	5	105	0.8	26	grating	2.5999999999999943	75.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	211.2	5	90	0.8	27	grating	3	80	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	219.2	5	45	0.2	28	grating	3.700000000000017	87.00000000000017	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	227.9	5	150	0.8	29	grating	2.6999999999999886	76.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	235.6	5	165	0.8	30	grating	2.8000000000000114	78.00000000000011	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	243.4	5	120	0.2	31	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
