subject,trial,tStart_expected,tEnd_expected,phaseStart_expected,tStart_realized,tEnd_realized,phaseStart_realized,roboRT_expected,exitFlag,correct,rt_given,response_given,phaseType,orientation_left,contrast_left,orientation_right,contrast_right,answer,roboResponse_expected
1,11,90,99,91.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,160,20,60,80,DownArrow,\DOWN
1,11,90,99,92,NaN,NaN,NaN,0.2,,NaN,NaN,,0,160,20,60,80,NO RESPONSE,
1,11,90,99,92.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,160,20,60,80,DownArrow,\DOWN
1,11,90,99,93.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,160,20,60,80,NO RESPONSE,
1,12,99,108,99,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,80,140,80,NO RESPONSE,
1,12,99,108,100.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,80,140,80,DownArrow,\DOWN
1,12,99,108,101.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,80,140,80,NO RESPONSE,
1,12,99,108,101.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,80,140,80,DownArrow,\DOWN
1,12,99,108,102.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,80,140,80,NO RESPONSE,
1,13,108,117,108,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,80,60,20,NO RESPONSE,
1,13,108,117,109.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,80,60,20,DownArrow,\DOWN
1,13,108,117,110,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,80,60,20,NO RESPONSE,
1,13,108,117,110.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,80,60,20,DownArrow,\DOWN
1,13,108,117,111.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,80,60,20,NO RESPONSE,
1,14,117,126,117,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,20,40,80,NO RESPONSE,
1,14,117,126,119,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,20,40,80,DownArrow,\DOWN
1,14,117,126,119.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,20,40,80,NO RESPONSE,
1,14,117,126,120.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,20,40,80,DownArrow,\DOWN
1,14,117,126,120.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,20,40,80,NO RESPONSE,
1,15,126,135,126,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,20,160,20,NO RESPONSE,
1,15,126,135,128.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,20,160,20,DownArrow,\DOWN
1,15,126,135,129.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,20,160,20,NO RESPONSE,
1,15,126,135,130,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,20,160,20,DownArrow,\DOWN
1,15,126,135,130.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,20,160,20,NO RESPONSE,
1,16,135,144,135,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,80,140,20,NO RESPONSE,
1,16,135,144,137.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,80,140,20,DownArrow,\DOWN
1,16,135,144,137.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,80,140,20,NO RESPONSE,
1,16,135,144,138.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,80,140,20,DownArrow,\DOWN
1,16,135,144,138.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,80,140,20,NO RESPONSE,
1,17,144,153,144,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,80,100,80,NO RESPONSE,
1,17,144,153,146.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,80,100,80,DownArrow,\DOWN
1,17,144,153,146.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,80,100,80,NO RESPONSE,
1,17,144,153,147.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,80,100,80,DownArrow,\DOWN
1,17,144,153,147.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,80,100,80,NO RESPONSE,
1,18,153,162,153,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,80,120,80,NO RESPONSE,
1,18,153,162,155.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,80,120,80,DownArrow,\DOWN
1,18,153,162,155.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,80,120,80,NO RESPONSE,
1,18,153,162,156.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,80,120,80,DownArrow,\DOWN
1,18,153,162,156.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,80,120,80,NO RESPONSE,
