onset	duration	trial	trial_type	side	orientation	contrast	subject	run
0	5.00083768699551	1	grating	left	45	0.8	6	4
8.001246616011485	5.000660413992591	2	grating	left	30	0.8	6	4
15.602277739992132	5.000677541014738	3	grating	left	165	0.2	6	4
23.1032794789935	5.000710892025381	4	grating	left	0	0.2	6	4
31.504471771011595	5.000662517995806	5	grating	left	150	0.8	6	4
40.00561652999022	5.000694066024153	6	grating	left	75	0.2	6	4
47.80668479099404	5.000683250022121	7	grating	left	120	0.2	6	4
55.407795236998936	5.000568173010834	8	grating	left	60	0.8	6	4
63.308811758994125	5.000722310011042	9	grating	left	75	0.8	6	4
71.81002201800584	5.000634575000731	10	grating	left	165	0.8	6	4
80.31113132301834	5.000706384977093	11	grating	left	30	0.8	6	4
88.61227439899812	5.0006619170017075	12	grating	left	150	0.2	6	4
97.31345058599254	5.000698874006048	13	grating	left	15	0.8	6	4
106.01465471601114	5.000546238996321	14	grating	left	120	0.8	6	4
113.61569545499515	5.000697071023751	15	grating	left	0	0.2	6	4
121.91693137399852	5.000615044991719	16	grating	left	105	0.8	6	4
130.01792373799253	5.000728319020709	17	grating	left	75	0.2	6	4
137.51882302001468	5.000848803989356	18	grating	left	120	0.8	6	4
146.12016362001305	5.000696770002833	19	grating	left	60	0.2	6	4
154.2213942510134	5.000550144992303	20	grating	left	30	0.2	6	4
162.72244496500934	5.000635776988929	21	grating	left	165	0.8	6	4
170.2234473050048	5.000682348007103	22	grating	left	60	0.2	6	4
178.02451917200233	5.000695869006449	23	grating	left	75	0.8	6	4
186.3256820779934	5.0006613160076085	24	grating	left	90	0.2	6	4
193.9267273239966	5.000764675001847	25	grating	left	135	0.2	6	4
202.2278079050011	5.000737933005439	26	grating	left	0	0.2	6	4
210.2289087960089	5.000718403985957	27	grating	left	105	0.2	6	4
218.63009477799642	5.000658011005726	28	grating	left	90	0.2	6	4
226.9312195260136	5.000686254003085	29	grating	left	90	0.8	6	4
234.83230064701638	5.00079381998512	30	grating	left	165	0.2	6	4
242.6333529840049	5.000776994012995	31	grating	left	135	0.2	6	4
250.53447646999848	5.000681748002535	32	grating	left	150	0.2	6	4
259.1356235720159	5.000708188978024	33	grating	left	45	0.2	6	4
267.1367494020087	5.000686254992615	34	grating	left	150	0.8	6	4
275.1379073809949	5.000573582015932	35	grating	left	105	0.2	6	4
283.13888989100815	5.000686854997184	36	grating	left	135	0.8	6	4
291.8401237670041	5.000662517006276	37	grating	left	15	0.8	6	4
299.54113500000676	5.000715700007277	38	grating	left	45	0.2	6	4
308.14236533100484	5.00073552998947	39	grating	left	15	0.2	6	4
315.64334934198996	5.000717803020962	40	grating	left	120	0.2	6	4
323.5444484910113	5.000692864996381	41	grating	left	30	0.2	6	4
331.9456546040019	5.000632170995232	42	grating	left	60	0.8	6	4
339.8469144999981	5.000456100999145	43	grating	left	0	0.2	6	4
348.1478319290036	5.000672433990985	44	grating	left	45	0.8	6	4
356.14899411500664	5.000588303984841	45	grating	left	15	0.2	6	4
363.6499546910054	5.000716901005944	46	grating	left	90	0.8	6	4
371.85109842801467	5.0006646209803876	47	grating	left	135	0.8	6	4
380.05228453001473	5.000599721999606	48	grating	left	105	0.8	6	4
0	5.00083768699551	1	grating	right	75	0.2	6	4
7.501183818996651	5.000660114019411	2	grating	right	165	0.2	6	4
15.902308807999361	5.000690760993166	3	grating	right	105	0.2	6	4
23.40332827399834	5.000704281992512	4	grating	right	135	0.8	6	4
31.604518583015306	5.000635776988929	5	grating	right	135	0.8	6	4
39.60555667799781	5.000697370996932	6	grating	right	45	0.2	6	4
47.40668172601727	5.000620152975898	7	grating	right	15	0.8	6	4
55.707770419016015	5.000649897992844	8	grating	right	120	0.2	6	4
63.608849136013305	5.000771585997427	9	grating	right	15	0.2	6	4
71.20991301100003	5.000664320017677	10	grating	right	105	0.8	6	4
79.31102015200304	5.000676939991536	11	grating	right	150	0.8	6	4
87.0120986890106	5.000635776988929	12	grating	right	0	0.2	6	4
95.61320943501778	5.0006841519789305	13	grating	right	30	0.8	6	4
103.91438706501503	5.000539628992556	14	grating	right	0	0.2	6	4
112.51553687101114	5.000752355990699	15	grating	right	90	0.2	6	4
120.91669941699365	5.000550747005036	16	grating	right	105	0.2	6	4
129.41783997000312	5.0007313230016734	17	grating	right	165	0.2	6	4
137.71903202100657	5.000676038995152	18	grating	right	120	0.8	6	4
146.12016362001305	5.000696770002833	19	grating	right	45	0.2	6	4
154.42131901500397	5.000630368012935	20	grating	right	105	0.8	6	4
162.32239623001078	5.000633072981145	21	grating	right	135	0.2	6	4
170.42347542801872	5.000667024985887	22	grating	right	45	0.8	6	4
179.02467360900482	5.000759566988563	23	grating	right	135	0.2	6	4
186.5257168120006	5.000750553008402	24	grating	right	150	0.2	6	4
194.62684979199548	5.000619252008619	25	grating	right	45	0.8	6	4
202.62785363500006	5.000734928995371	26	grating	right	120	0.2	6	4
211.22905061399797	5.000705183017999	27	grating	right	90	0.8	6	4
219.53021472200635	5.000654105009744	28	grating	right	30	0.2	6	4
228.23141644900898	5.0006802449934185	29	grating	right	120	0.8	6	4
236.43253044001176	5.000652001996059	30	grating	right	75	0.8	6	4
244.9337605299952	5.000627964996966	31	grating	right	75	0.2	6	4
