onset	duration	trial_type	contrast	orientation	run	subject	task
0	4.9997256790229585	con-0.2_ori-45	0.2	45	2	6	contrast
0	4.9997256790229585	con-0.2_ori-165	0.2	165	2	6	contrast
2.099973800010048	0.39996460601105355	dim	1	NaN	2	6	contrast
4.599773693014868	0.3999519860080909	dim	1	NaN	2	6	contrast
7.699511329003144	4.999571843014564	con-0.8_ori-60	0.8	60	2	6	contrast
8.599436875025276	4.999576048983727	con-0.8_ori-75	0.8	75	2	6	contrast
9.999301127012586	0.39997692400356755	dim	1	NaN	2	6	contrast
14.498927953012753	0.39996039899415337	dim	1	NaN	2	6	contrast
16.09878757802653	4.999595878995024	con-0.2_ori-120	0.2	120	2	6	contrast
16.69875476701418	4.999562527984381	con-0.2_ori-75	0.2	75	2	6	contrast
17.998634703020798	0.39996760999201797	dim	1	NaN	2	6	contrast
21.898164240003098	0.4001112310215831	dim	1	NaN	2	6	contrast
24.506296474020928	4.999701641994761	con-0.2_ori-105	0.2	105	2	6	contrast
25.40617905399995	4.999726880021626	con-0.2_ori-105	0.2	105	2	6	contrast
26.706112170999404	0.39998714000103064	dim	1	NaN	2	6	contrast
29.205872102000285	0.40012715602642857	dim	1	NaN	2	6	contrast
33.10572103000595	4.999565533013083	con-0.8_ori-120	0.8	120	2	6	contrast
33.80567704202258	0.39993245698860846	dim	1	NaN	2	6	contrast
34.10561376501573	4.999573345005047	con-0.8_ori-120	0.8	120	2	6	contrast
38.30525579501409	0.3998296989884693	dim	1	NaN	2	6	contrast
41.305016027006786	4.999571241001831	con-0.8_ori-60	0.8	60	2	6	contrast
42.10493472201051	0.39996460601105355	dim	1	NaN	2	6	contrast
42.30493189801928	4.9995733439864125	con-0.2_ori-0	0.2	0	2	6	contrast
46.30458726800862	0.3999778260185849	dim	1	NaN	2	6	contrast
49.70429588001571	4.999601588002406	con-0.2_ori-120	0.2	120	2	6	contrast
49.70429588001571	0.3998570409894455	dim	1	NaN	2	6	contrast
49.904282540024724	4.999603390984703	con-0.8_ori-45	0.8	45	2	6	contrast
52.60406608702033	0.39997211800073273	dim	1	NaN	2	6	contrast
56.20376256102463	0.3999745209875982	dim	1	NaN	2	6	contrast
58.10357783699874	4.999579955008812	con-0.8_ori-120	0.8	120	2	6	contrast
58.6035444860172	4.999570640007732	con-0.2_ori-30	0.2	30	2	6	contrast
61.403326471016044	0.3999781259917654	dim	1	NaN	2	6	contrast
64.50303856900427	0.49998137101647444	dim	NaN	NaN	2	6	contrast
66.10290901002008	4.999654168001143	con-0.2_ori-0	0.2	0	2	6	contrast
66.80285931300023	4.999609400023473	con-0.8_ori-15	0.8	15	2	6	contrast
68.00275523299933	0.49996634901617654	dim	NaN	NaN	2	6	contrast
71.40248097199947	0.3999877410242334	dim	1	NaN	2	6	contrast
73.90228597199894	4.999548707011854	con-0.2_ori-135	0.2	135	2	6	contrast
74.00228501102538	0.4999540289863944	dim	NaN	NaN	2	6	contrast
75.40214655801537	4.999594077002257	con-0.2_ori-165	0.2	165	2	6	contrast
77.90194494801108	0.39998053101589903	dim	1	NaN	2	6	contrast
81.40166732200305	4.999580255011097	con-0.2_ori-90	0.2	90	2	6	contrast
82.80156973202247	0.3999411699769553	dim	1	NaN	2	6	contrast
83.40147412501392	4.999600687006023	con-0.8_ori-60	0.8	60	2	6	contrast
88.00109758702456	0.39997722499538213	dim	1	NaN	2	6	contrast
89.50098070700187	4.999585662997561	con-0.2_ori-30	0.2	30	2	6	contrast
91.60080878302688	4.999569137988146	con-0.2_ori-135	0.2	135	2	6	contrast
92.60072946100263	0.3999378650041763	dim	1	NaN	2	6	contrast
96.10041818302125	0.39998623900464736	dim	1	NaN	2	6	contrast
97.80029216900584	4.9995610259938985	con-0.2_ori-75	0.2	75	2	6	contrast
99.10004350700183	4.999683614005335	con-0.2_ori-60	0.2	60	2	6	contrast
99.40012565301731	0.39995469100540504	dim	1	NaN	2	6	contrast
103.89973685602308	0.39998774099512957	dim	1	NaN	2	6	contrast
105.59962075800286	4.99959738101461	con-0.2_ori-165	0.2	165	2	6	contrast
107.79940610800986	4.999625625001499	con-0.2_ori-0	0.2	0	2	6	contrast
108.99932366100256	0.4000427260180004	dim	1	NaN	2	6	contrast
113.69895156900748	4.999592575011775	con-0.2_ori-150	0.2	150	2	6	contrast
114.19891311001265	0.39981107000494376	dim	1	NaN	2	6	contrast
116.09880680701463	4.999526772997342	con-0.2_ori-150	0.2	150	2	6	contrast
116.79871865201858	0.3999435729929246	dim	1	NaN	2	6	contrast
120.59836362602073	0.3999697139952332	dim	1	NaN	2	6	contrast
121.49829458000022	4.9995625280134846	con-0.8_ori-30	0.8	30	2	6	contrast
123.29812974701053	0.3999847359955311	dim	1	NaN	2	6	contrast
123.69811448300607	4.99943182701827	con-0.2_ori-150	0.2	150	2	6	contrast
126.39790404000087	0.39997872701496817	dim	1	NaN	2	6	contrast
129.2976249710191	4.99957694998011	con-0.8_ori-135	0.8	135	2	6	contrast
131.49747101502726	0.39996941297431476	dim	1	NaN	2	6	contrast
132.0974180730118	4.9995616269879974	con-0.8_ori-90	0.8	90	2	6	contrast
134.49720150101348	0.39997241701348685	dim	1	NaN	2	6	contrast
137.196933669009	0.39999645500211045	dim	1	NaN	2	6	contrast
137.59693012401112	4.999593474989524	con-0.8_ori-165	0.8	165	2	6	contrast
140.096708683006	4.999582659016596	con-0.8_ori-105	0.8	105	2	6	contrast
141.19661788400845	0.39996971300570294	dim	1	NaN	2	6	contrast
144.49636561601073	0.39995048398850486	dim	1	NaN	2	6	contrast
146.19621977201314	4.99956733599538	con-0.2_ori-60	0.2	60	2	6	contrast
147.69611401000293	4.999571241001831	con-0.2_ori-30	0.2	30	2	6	contrast
147.99603871401632	0.399991346988827	dim	1	NaN	2	6	contrast
152.7956647600222	0.3999691119825002	dim	1	NaN	2	6	contrast
154.79549199400935	4.999588367994875	con-0.8_ori-90	0.8	90	2	6	contrast
155.39548081700923	4.999564030003967	con-0.2_ori-135	0.2	135	2	6	contrast
157.79525733401533	0.39996250200783834	dim	1	NaN	2	6	contrast
162.29489107101108	0.3999607000150718	dim	1	NaN	2	6	contrast
