onset	duration	trial_type	contrast	orientation	run	subject	task
0	5.000782401999459	con-0.8_ori-15	0.8	15	8	6	contrast
0	5.000782401999459	con-0.8_ori-15	0.8	15	8	6	contrast
3.70061402299325	0.40004933602176607	dim	1	NaN	8	6	contrast
6.600995670014527	0.40004993599723093	dim	1	NaN	8	6	contrast
7.801157798996428	5.0006931649986655	con-0.8_ori-105	0.8	105	8	6	contrast
8.701278344000457	5.000695569004165	con-0.2_ori-165	0.2	165	8	6	contrast
10.001456638012314	0.4000742739881389	dim	1	NaN	8	6	contrast
14.602206529991236	0.399907217011787	dim	1	NaN	8	6	contrast
15.302214822993847	5.0006381800048985	con-0.2_ori-150	0.2	150	8	6	contrast
16.70236871900852	5.000718102994142	con-0.2_ori-60	0.2	60	8	6	contrast
18.702638232993195	0.40001358100562356	dim	1	NaN	8	6	contrast
21.503043675998924	0.40007127000717446	dim	1	NaN	8	6	contrast
23.10326054901816	5.000663118989905	con-0.8_ori-45	0.8	45	8	6	contrast
25.003522011014866	0.40005354199092835	dim	1	NaN	8	6	contrast
25.203534811007557	5.000658611999825	con-0.8_ori-150	0.8	150	8	6	contrast
28.60398736599018	0.400056847021915	dim	1	NaN	8	6	contrast
31.304354710009648	5.0006904609908815	con-0.2_ori-45	0.2	45	8	6	contrast
32.7045608870103	0.4000541429850273	dim	1	NaN	8	6	contrast
33.90470318601001	5.000707586994395	con-0.8_ori-120	0.8	120	8	6	contrast
35.104864113003714	0.40005955199012533	dim	1	NaN	8	6	contrast
39.20544274200802	0.4000541429850273	dim	1	NaN	8	6	contrast
40.005557939002756	5.000784205010859	con-0.8_ori-120	0.8	120	8	6	contrast
42.20587240200257	5.0006904609908815	con-0.8_ori-60	0.8	60	8	6	contrast
44.40604294399964	0.40027918899431825	dim	1	NaN	8	6	contrast
47.10653978801565	0.40005053699132986	dim	1	NaN	8	6	contrast
48.30670522199944	5.000690760993166	con-0.8_ori-135	0.8	135	8	6	contrast
50.10682552700746	5.000817855994683	con-0.8_ori-15	0.8	15	8	6	contrast
51.70714365501772	0.40007547597633675	dim	1	NaN	8	6	contrast
56.707847637007944	5.000701577984728	con-0.2_ori-0	0.2	0	8	6	contrast
57.10790117899887	0.4000652600079775	dim	1	NaN	8	6	contrast
58.10809647900169	5.000632771989331	con-0.8_ori-120	0.8	120	8	6	contrast
61.308494471013546	0.4000547439791262	dim	1	NaN	8	6	contrast
64.90896373201394	5.000675136980135	con-0.2_ori-165	0.2	165	8	6	contrast
65.90908031101571	0.50009103998309	dim	NaN	NaN	8	6	contrast
66.10912946600001	5.000688057014486	con-0.8_ori-105	0.8	105	8	6	contrast
69.20954073799658	0.40006916600395925	dim	1	NaN	8	6	contrast
73.01019346099929	5.000572980003199	con-0.2_ori-45	0.2	45	8	6	contrast
73.01019346099929	0.39994627801934257	dim	1	NaN	8	6	contrast
74.41026713399333	5.0006796439993195	con-0.8_ori-165	0.8	165	8	6	contrast
75.51042151101865	0.4000772789877374	dim	1	NaN	8	6	contrast
79.0108965410036	0.4000502369890455	dim	1	NaN	8	6	contrast
81.61127446201863	5.000688056985382	con-0.2_ori-15	0.2	15	8	6	contrast
82.51139230301487	5.000673333997838	con-0.2_ori-0	0.2	0	8	6	contrast
82.51139230301487	0.4000445279816631	dim	1	NaN	8	6	contrast
85.71182725101244	0.4000559459964279	dim	1	NaN	8	6	contrast
89.6122073949955	5.000954867020482	con-0.2_ori-0	0.2	0	8	6	contrast
90.61248562301625	0.40009079899755307	dim	1	NaN	8	6	contrast
