onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
4.6,4.5,90,0.8,right ,1,4,9.1,175115.511771438,175124.113055081,OK,0.3,0
5,4.5,120,0.2,left  ,1,4,9.5,175115.511771438,175124.113055081,OK,0.3,0
13,4.5,165,0.8,right ,2,4,17.5,175124.213056193,175133.214434122,OK,0.45,1
13.7,4.5,15,0.2,left  ,2,4,18.2,175124.213056193,175133.214434122,OK,0.45,1
21.1,4.5,120,0.8,right ,3,4,25.6,175133.314452661,175142.715706138,OK,0.4,0
22.8,4.5,165,0.8,left  ,3,4,27.3,175133.314452661,175142.715706138,OK,0.4,0
30,4.5,60,0.2,right ,4,4,34.5,175142.81575923,175152.017187156,OK,0.55,1
32.3,4.5,90,0.8,left  ,4,4,36.8,175142.81575923,175152.017187156,OK,0.55,1
39.5,4.5,90,0.2,right ,5,4,44,175152.117257975,175159.91010951,OK,0.5,1
41.6,4.5,15,0.8,left  ,5,4,46.1,175152.117257975,175159.91010951,OK,0.5,1
48.6,4.5,75,0.2,right ,6,4,53.1,175160.010149081,175168.211211042,OK,0.45,1
49.5,4.5,120,0.8,left  ,6,4,54,175160.010149081,175168.211211042,OK,0.45,1
57,4.5,90,0.2,left  ,7,4,61.5,175168.344686876,175177.112694825,OK,0.4,1
57.8,4.5,15,0.2,right ,7,4,62.3,175168.344686876,175177.112694825,OK,0.4,1
65.4,4.5,75,0.2,left  ,8,4,69.9,175177.212702547,175185.814025851,OK,0.35,1
66.7,4.5,30,0.8,right ,8,4,71.2,175177.212702547,175185.814025851,OK,0.35,1
72.9,4.5,105,0.8,left  ,9,4,77.4,175185.914023057,175194.815329566,OK,0.3,1
75.4,4.5,150,0.8,right ,9,4,79.9,175185.914023057,175194.815329566,OK,0.3,1
81.3,4.5,45,0.2,left  ,10,4,85.8,175194.915363428,175203.316619308,OK,0.25,1
84.4,4.5,45,0.2,right ,10,4,88.9,175194.915363428,175203.316619308,OK,0.25,1
90.7,4.5,0,0.2,left  ,11,4,95.2,175203.416507145,175212.609703853,OK,0.2,1
92.9,4.5,165,0.2,right ,11,4,97.4,175203.416507145,175212.609703853,OK,0.2,1
98.7,4.5,150,0.8,left  ,12,4,103.2,175212.709717585,175220.21087302,OK,0.15,1
102.2,4.5,135,0.8,right ,12,4,106.7,175212.709717585,175220.21087302,OK,0.15,1
107,4.5,30,0.8,left  ,13,4,111.5,175220.36070823,175229.712370383,OK,0.1,0
109.8,4.5,150,0.2,right ,13,4,114.3,175220.36070823,175229.712370383,OK,0.1,0
115.4,4.5,165,0.8,left  ,14,4,119.9,175229.812273544,175237.41340395,OK,0.25,1
119.3,4.5,60,0.8,right ,14,4,123.8,175229.812273544,175237.41340395,OK,0.25,1
124.6,4.5,120,0.2,left  ,15,4,129.1,175237.513433907,175246.014700514,OK,0.2,1
127,4.5,75,0.2,right ,15,4,131.5,175237.513433907,175246.014700514,OK,0.2,1
133.8,4.5,45,0.8,left  ,16,4,138.3,175246.114725062,175254.315983226,OK,0.15,0
135.6,4.5,30,0.8,right ,16,4,140.1,175246.114725062,175254.315983226,OK,0.15,0
142.2,4.5,45,0.2,left  ,17,4,146.7,175254.415981934,175262.01717664,OK,0.3,1
143.9,4.5,30,0.2,right ,17,4,148.4,175254.415981934,175262.01717664,OK,0.3,1
150.4,4.5,105,0.2,left  ,18,4,154.9,175262.117154916,175271.010168311,OK,0.25,1
151.6,4.5,30,0.2,right ,18,4,156.1,175262.117154916,175271.010168311,OK,0.25,1
159.8,4.5,75,0.8,left  ,19,4,164.3,175271.110167019,175279.71144916,OK,0.2,1
160.6,4.5,135,0.8,right ,19,4,165.1,175271.110167019,175279.71144916,OK,0.2,1
