onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
3.3,4.5,90,0.2,right ,1,4,7.8,174509.729088515,174517.921988064,OK,0.3,1
4.5,4.5,60,0.8,left  ,1,4,9,174509.729088515,174517.921988064,OK,0.3,1
12.6,4.5,30,0.8,right ,2,4,17.1,174518.022001194,174527.123346883,OK,0.25,1
12.8,4.5,30,0.2,left  ,2,4,17.3,174518.022001194,174527.123346883,OK,0.25,1
20.1,4.5,15,0.8,right ,3,4,24.6,174527.223372333,174535.324576804,OK,0.2,1
22,4.5,0,0.2,left  ,3,4,26.5,174527.223372333,174535.324576804,OK,0.2,1
28.2,4.5,150,0.8,right ,4,4,32.7,174535.424710721,174543.425836861,OK,0.15,1
30.2,4.5,105,0.2,left  ,4,4,34.7,174535.424710721,174543.425836861,OK,0.15,1
37.2,4.5,120,0.8,right ,5,4,41.7,174543.525831362,174552.927191504,OK,0.1,0
38.3,4.5,135,0.8,left  ,5,4,42.8,174543.525831362,174552.927191504,OK,0.1,0
46,4.5,0,0.2,right ,6,4,50.5,174553.027210343,174561.928538485,OK,0.25,1
47.8,4.5,60,0.2,left  ,6,4,52.3,174553.027210343,174561.928538485,OK,0.25,1
53.8,4.5,75,0.8,right ,7,4,58.3,174562.028593079,174570.221484215,OK,0.2,1
56.8,4.5,120,0.2,left  ,7,4,61.3,174562.028593079,174570.221484215,OK,0.2,1
63.2,4.5,60,0.2,right ,8,4,67.7,174570.338233805,174577.922771374,OK,0.15,1
65.1,4.5,150,0.8,left  ,8,4,69.6,174570.338233805,174577.922771374,OK,0.15,1
71.8,4.5,120,0.2,right ,9,4,76.3,174578.030947517,174586.923978339,OK,0.1,0
72.8,4.5,15,0.2,left  ,9,4,77.3,174578.030947517,174586.923978339,OK,0.1,0
79.8,4.5,75,0.8,right ,10,4,84.3,174587.040486355,174595.725302064,OK,0.25,1
81.8,4.5,165,0.2,left  ,10,4,86.3,174587.040486355,174595.725302064,OK,0.25,1
88.5,4.5,150,0.8,right ,11,4,93,174595.825317298,174603.326439381,OK,0.2,1
90.6,4.5,30,0.8,left  ,11,4,95.1,174595.825317298,174603.326439381,OK,0.2,1
97.9,4.5,0,0.2,right ,12,4,102.4,174603.426480455,174612.327798982,OK,0.15,1
98.2,4.5,45,0.8,left  ,12,4,102.7,174603.426480455,174612.327798982,OK,0.15,1
105.9,4.5,105,0.8,left  ,13,4,110.4,174612.427822629,174620.829075204,OK,0.1,0
107.2,4.5,75,0.2,right ,13,4,111.7,174612.427822629,174620.829075204,OK,0.1,0
115.4,4.5,165,0.8,left  ,14,4,119.9,174620.929077217,174629.222036168,OK,0.25,1
115.7,4.5,120,0.2,right ,14,4,120.2,174620.929077217,174629.222036168,OK,0.25,1
123.9,4.5,90,0.2,left  ,15,4,128.4,174629.32209587,174637.323237935,OK,0.2,1
124.1,4.5,75,0.2,right ,15,4,128.6,174629.32209587,174637.323237935,OK,0.2,1
131.4,4.5,165,0.8,left  ,16,4,135.9,174637.423252267,174644.924362332,OK,0.15,0
132.2,4.5,105,0.2,right ,16,4,136.7,174637.423252267,174644.924362332,OK,0.15,0
139,4.5,120,0.2,left  ,17,4,143.5,174645.024393791,174653.92575889,OK,0.3,1
139.8,4.5,30,0.2,right ,17,4,144.3,174645.024393791,174653.92575889,OK,0.3,1
146.7,4.5,30,0.8,left  ,18,4,151.2,174654.025750988,174661.626875385,OK,0.25,1
148.8,4.5,105,0.8,right ,18,4,153.3,174654.025750988,174661.626875385,OK,0.25,1
156,4.5,90,0.8,left  ,19,4,160.5,174661.768495603,174669.828102301,OK,0.2,1
156.5,4.5,90,0.2,right ,19,4,161,174661.768495603,174669.828102301,OK,0.2,1
164.4,4.5,165,0.2,left  ,20,4,168.9,174669.928120239,174678.129354365,OK,0.15,1
164.7,4.5,150,0.2,right ,20,4,169.2,174669.928120239,174678.129354365,OK,0.15,1
173,4.5,120,0.8,left  ,21,4,177.5,174678.221222511,174687.422440413,EMPTY,0.1,0
173,4.5,30,0.2,right ,21,4,177.5,174678.221222511,174687.422440413,EMPTY,0.1,0
181.5,4.5,75,0.2,left  ,22,4,186,174687.522457149,174694.923588336,OK,0.25,1
182.3,4.5,135,0.8,right ,22,4,186.8,174687.522457149,174694.923588336,OK,0.25,1
189.1,4.5,0,0.2,left  ,23,4,193.6,174695.023583739,174704.124912903,OK,0.2,1
189.8,4.5,105,0.2,right ,23,4,194.3,174695.023583739,174704.124912903,OK,0.2,1
198.4,4.5,150,0.2,left  ,24,4,202.9,174704.224926334,174712.226167852,OK,0.15,0
199,4.5,165,0.8,right ,24,4,203.5,174704.224926334,174712.226167852,OK,0.15,0
206.5,4.5,150,0.8,left  ,25,4,211,174712.326031351,174720.327361206,OK,0.3,1
207.1,4.5,0,0.2,right ,25,4,211.6,174712.326031351,174720.327361206,OK,0.3,1
214.5,4.5,135,0.8,left  ,26,4,219,174720.427361416,174728.828637428,OK,0.25,1
215.1,4.5,15,0.8,right ,26,4,219.6,174720.427361416,174728.828637428,OK,0.25,1
223.2,4.5,90,0.2,left  ,27,4,227.7,174728.928678201,174737.821682882,OK,0.2,1
223.6,4.5,150,0.2,right ,27,4,228.1,174728.928678201,174737.821682882,OK,0.2,1
231.6,4.5,75,0.8,left  ,28,4,236.1,174737.954891603,174745.722926594,OK,0.15,0
232.6,4.5,165,0.2,right ,28,4,237.1,174737.954891603,174745.722926594,OK,0.15,0
239.8,4.5,135,0.2,left  ,29,4,244.3,174745.822894655,174753.824091103,OK,0.3,1
240.5,4.5,60,0.8,right ,29,4,245,174745.822894655,174753.824091103,OK,0.3,1
248.4,4.5,165,0.2,right ,30,4,252.9,174753.948967349,174763.125487691,OK,0.25,1
248.6,4.5,30,0.2,left  ,30,4,253.1,174753.948967349,174763.125487691,OK,0.25,1
257.9,4.5,120,0.8,right ,31,4,262.4,174763.225484296,174772.026791496,OK,0.2,0
258,4.5,45,0.2,left  ,31,4,262.5,174763.225484296,174772.026791496,OK,0.2,0
266.6,4.5,165,0.8,right ,32,4,271.1,174772.12682025,174780.027999963,OK,0.35,1
266.8,4.5,60,0.8,left  ,32,4,271.3,174772.12682025,174780.027999963,OK,0.35,1
274.7,4.5,15,0.2,right ,33,4,279.2,174780.128012192,174789.421255983,OK,0.3,1
274.8,4.5,0,0.2,left  ,33,4,279.3,174780.128012192,174789.421255983,OK,0.3,1
282.7,4.5,15,0.8,left  ,34,4,287.2,174789.520983672,174798.622504231,OK,0.25,0
284.2,4.5,45,0.2,right ,34,4,288.7,174789.520983672,174798.622504231,OK,0.25,0
291.1,4.5,0,0.2,left  ,35,4,295.6,174798.722518563,174806.523692958,OK,0.4,1
293.5,4.5,135,0.8,right ,35,4,298,174798.722518563,174806.523692958,OK,0.4,1
298.6,4.5,75,0.8,left  ,36,4,303.1,174806.656971987,174814.024802422,OK,0.35,1
301.3,4.5,30,0.8,right ,36,4,305.8,174806.656971987,174814.024802422,OK,0.35,1
307.9,4.5,45,0.8,left  ,37,4,312.4,174814.124804736,174822.826113528,OK,0.3,1
308.8,4.5,45,0.8,right ,37,4,313.3,174814.124804736,174822.826113528,OK,0.3,1
316.6,4.5,15,0.2,left  ,38,4,321.1,174822.92612756,174832.127630001,OK,0.25,1
317.7,4.5,105,0.8,right ,38,4,322.2,174822.92612756,174832.127630001,OK,0.25,1
324.5,4.5,45,0.2,left  ,39,4,329,174832.227531659,174839.828673784,OK,0.2,0
327,4.5,90,0.8,right ,39,4,331.5,174832.227531659,174839.828673784,OK,0.2,0
333,4.5,120,0.8,left  ,40,4,337.5,174839.92868421,174847.32144206,OK,0.35,1
334.7,4.5,60,0.2,right ,40,4,339.2,174839.92868421,174847.32144206,OK,0.35,1
340.6,4.5,105,0.2,left  ,41,4,345.1,174847.42148103,174856.022793819,OK,0.3,1
342.2,4.5,15,0.2,right ,41,4,346.7,174847.42148103,174856.022793819,OK,0.3,1
349.9,4.5,105,0.8,left  ,42,4,354.4,174856.156034389,174864.824041527,OK,0.25,1
350.9,4.5,135,0.2,right ,42,4,355.4,174856.156034389,174864.824041527,OK,0.25,1
358.3,4.5,15,0.8,left  ,43,4,362.8,174864.924000273,174873.325391663,OK,0.2,0
359.6,4.5,45,0.2,right ,43,4,364.1,174864.924000273,174873.325391663,OK,0.2,0
366.9,4.5,75,0.2,left  ,44,4,371.4,174873.425416211,174880.826513145,OK,0.35,1
