onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
3.5,4.5,30,0.8,left  ,1,4,8,172810.323428129,172819.722746015,OK,0.3,1
3.7,4.5,165,0.8,right ,1,4,8.2,172810.323428129,172819.722746015,OK,0.3,1
12.4,4.5,165,0.8,left  ,2,4,16.9,172819.856023842,172828.122189195,OK,0.25,1
13.2,4.5,105,0.2,right ,2,4,17.7,172819.856023842,172828.122189195,OK,0.25,1
20.8,4.5,15,0.2,right ,3,4,25.3,172828.263693433,172837.6215133,OK,0.2,1
21.6,4.5,15,0.8,left  ,3,4,26.1,172828.263693433,172837.6215133,OK,0.2,1
28.8,4.5,45,0.2,right ,4,4,33.3,172837.729813835,172845.520817215,OK,0.15,1
31.1,4.5,90,0.2,left  ,4,4,35.6,172837.729813835,172845.520817215,OK,0.15,1
38,4.5,90,0.8,right ,5,4,42.5,172845.620817125,172854.520342782,EMPTY,0.1,0
39,4.5,90,0.8,left  ,5,4,43.5,172845.620817125,172854.520342782,EMPTY,0.1,0
45.6,4.5,30,0.2,right ,6,4,50.1,172854.645156231,172863.219676322,OK,0.25,1
48,4.5,75,0.8,left  ,6,4,52.5,172854.645156231,172863.219676322,OK,0.25,1
54.2,4.5,150,0.8,right ,7,4,58.7,172863.327911656,172871.519131009,OK,0.2,0
56.7,4.5,0,0.2,left  ,7,4,61.2,172863.327911656,172871.519131009,OK,0.2,0
63.3,4.5,90,0.8,right ,8,4,67.8,172871.619100873,172880.018531433,OK,0.35,1
65,4.5,90,0.8,left  ,8,4,69.5,172871.619100873,172880.018531433,OK,0.35,1
72.3,4.5,0,0.2,right ,9,4,76.8,172880.118510911,172888.517921941,OK,0.3,0
73.5,4.5,0,0.2,left  ,9,4,78,172880.118510911,172888.517921941,OK,0.3,0
80,4.5,150,0.8,right ,10,4,84.5,172888.617774023,172897.317258095,OK,0.45,1
82,4.5,135,0.8,left  ,10,4,86.5,172888.617774023,172897.317258095,OK,0.45,1
88.4,4.5,15,0.8,right ,11,4,92.9,172897.425591381,172906.316680303,OK,0.4,1
90.8,4.5,105,0.8,left  ,11,4,95.3,172897.425591381,172906.316680303,OK,0.4,1
96.6,4.5,15,0.8,right ,12,4,101.1,172906.416667894,172914.416084092,OK,0.35,1
99.8,4.5,90,0.2,left  ,12,4,104.3,172906.416667894,172914.416084092,OK,0.35,1
105.1,4.5,75,0.8,right ,13,4,109.6,172914.516099025,172922.015582376,OK,0.3,0
107.9,4.5,0,0.2,left  ,13,4,112.4,172914.516099025,172922.015582376,OK,0.3,0
113.8,4.5,120,0.8,right ,14,4,118.3,172922.123933389,172931.2232218,OK,0.45,0
115.5,4.5,60,0.8,left  ,14,4,120,172922.123933389,172931.2232218,OK,0.45,0
121.6,4.5,75,0.2,right ,15,4,126.1,172931.323208489,172939.522638028,OK,0.6,1
124.7,4.5,75,0.8,left  ,15,4,129.2,172931.323208489,172939.522638028,OK,0.6,1
131,4.5,150,0.2,right ,16,4,135.5,172939.622633731,172948.622101309,OK,0.55,1
133,4.5,105,0.2,left  ,16,4,137.5,172939.622633731,172948.622101309,OK,0.55,1
139.8,4.5,0,0.2,right ,17,4,144.3,172948.722010779,172956.421445876,OK,0.5,0
142.1,4.5,15,0.8,left  ,17,4,146.6,172948.722010779,172956.421445876,OK,0.5,0
147.6,4.5,135,0.2,right ,18,4,152.1,172956.521452096,172964.120912822,OK,0.6,1
149.9,4.5,165,0.8,left  ,18,4,154.4,172956.521452096,172964.120912822,OK,0.6,1
156.2,4.5,105,0.2,right ,19,4,160.7,172964.220905822,172973.520241525,OK,0.55,0
157.6,4.5,135,0.8,left  ,19,4,162.1,172964.220905822,172973.520241525,OK,0.55,0
165.6,4.5,120,0.8,right ,20,4,170.1,172973.62024474,172982.819610881,EMPTY,0.6,0
167,4.5,45,0.8,left  ,20,4,171.5,172973.62024474,172982.819610881,EMPTY,0.6,0
174.7,4.5,165,0.8,right ,21,4,179.2,172982.919613795,172992.318946404,OK,0.6,1
176.3,4.5,0,0.2,left  ,21,4,180.8,172982.919613795,172992.318946404,OK,0.6,1
183.6,4.5,0,0.2,right ,22,4,188.1,172992.418923779,173001.618276098,OK,0.55,1
185.8,4.5,105,0.8,left  ,22,4,190.3,172992.418923779,173001.618276098,OK,0.55,1
192,4.5,60,0.2,right ,23,4,196.5,173001.718273004,173009.117748333,OK,0.5,0
195.1,4.5,120,0.8,left  ,23,4,199.6,173001.718273004,173009.117748333,OK,0.5,0
200,4.5,60,0.8,right ,24,4,204.5,173009.217739229,173017.817227298,OK,0.6,1
202.6,4.5,15,0.2,left  ,24,4,207.1,173009.217739229,173017.817227298,OK,0.6,1
208.6,4.5,45,0.8,right ,25,4,213.1,173017.917110027,173027.316486503,OK,0.55,0
211.2,4.5,75,0.2,left  ,25,4,215.7,173017.917110027,173027.316486503,OK,0.55,0
216.6,4.5,60,0.8,right ,26,4,221.1,173027.416473493,173035.815840956,OK,0.6,1
220.7,4.5,150,0.2,left  ,26,4,225.2,173027.416473493,173035.815840956,OK,0.6,1
224.7,4.5,135,0.8,right ,27,4,229.2,173035.915867607,173045.123523556,OK,0.55,1
229.2,4.5,165,0.2,left  ,27,4,233.7,173035.915867607,173045.123523556,OK,0.55,1
234.1,4.5,150,0.2,right ,28,4,238.6,173045.223542395,173052.72302755,OK,0.5,0
238.5,4.5,150,0.2,left  ,28,4,243,173045.223542395,173052.72302755,OK,0.5,0
243.4,4.5,75,0.8,right ,29,4,247.9,173052.822997113,173062.22236097,OK,0.6,1
246.1,4.5,45,0.8,left  ,29,4,250.6,173052.822997113,173062.22236097,OK,0.6,1
252.5,4.5,105,0.8,right ,30,4,257,173062.322356974,173071.52167474,OK,0.55,1
255.6,4.5,135,0.2,left  ,30,4,260.1,173062.322356974,173071.52167474,OK,0.55,1
261.9,4.5,90,0.2,right ,31,4,266.4,173071.621689673,173080.221091208,OK,0.5,1
265,4.5,60,0.8,left  ,31,4,269.5,173071.621689673,173080.221091208,OK,0.5,1
269.7,4.5,135,0.8,right ,32,4,274.2,173080.321062574,173088.520511342,OK,0.45,1
273.6,4.5,150,0.8,left  ,32,4,278.1,173080.321062574,173088.520511342,OK,0.45,1
278.2,4.5,135,0.2,right ,33,4,282.7,173088.620504041,173096.81992096,OK,0.4,1
282,4.5,45,0.2,left  ,33,4,286.5,173088.620504041,173096.81992096,OK,0.4,1
287,4.5,15,0.2,right ,34,4,291.5,173096.919917865,173105.719304798,OK,0.35,1
290.2,4.5,45,0.2,left  ,34,4,294.7,173096.919917865,173105.719304798,OK,0.35,1
296.4,4.5,120,0.2,right ,35,4,300.9,173105.819373814,173113.218767418,OK,0.3,1
299.2,4.5,120,0.2,left  ,35,4,303.7,173105.819373814,173113.218767418,OK,0.3,1
305.2,4.5,0,0.2,right ,36,4,309.7,173113.318758914,173121.418182834,OK,0.25,1
306.7,4.5,60,0.2,left  ,36,4,311.2,173113.318758914,173121.418182834,OK,0.25,1
313.5,4.5,105,0.8,right ,37,4,318,173121.51816682,173130.917518658,OK,0.2,0
314.9,4.5,30,0.2,left  ,37,4,319.4,173121.51816682,173130.917518658,OK,0.2,0
322.5,4.5,30,0.8,right ,38,4,327,173131.017523375,173139.416958142,OK,0.35,0
324.3,4.5,120,0.2,left  ,38,4,328.8,173131.017523375,173139.416958142,OK,0.35,0
331.7,4.5,90,0.2,right ,39,4,336.2,173139.517028361,173147.916316501,OK,0.5,1
332.9,4.5,30,0.2,left  ,39,4,337.4,173139.517028361,173147.916316501,OK,0.5,1
340.4,4.5,45,0.8,right ,40,4,344.9,173148.016310702,173156.415800754,OK,0.45,0
341.3,4.5,105,0.2,left  ,40,4,345.8,173148.016310702,173156.415800754,OK,0.45,0
348,4.5,30,0.8,right ,41,4,352.5,173156.515676271,173164.423456583,OK,0.6,1
349.8,4.5,135,0.2,left  ,41,4,354.3,173156.515676271,173164.423456583,OK,0.6,1
357.4,4.5,75,0.2,right ,42,4,361.9,173164.523577279,173173.922793608,OK,0.55,1
357.9,4.5,15,0.2,left  ,42,4,362.4,173164.523577279,173173.922793608,OK,0.55,1
