onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
3.6,4.5,150,0.2,left  ,1,4,8.1,175745.964840575,175754.366068512,OK,0.3,1
4.4,4.5,135,0.2,right ,1,4,8.9,175745.964840575,175754.366068512,OK,0.3,1
11.3,4.5,0,0.2,left  ,2,4,15.8,175754.465964161,175763.067378507,OK,0.25,1
12.9,4.5,165,0.8,right ,2,4,17.4,175754.465964161,175763.067378507,OK,0.25,1
19.6,4.5,15,0.2,left  ,3,4,24.1,175763.20060826,175770.968586463,OK,0.2,1
21.6,4.5,0,0.2,right ,3,4,26.1,175763.20060826,175770.968586463,OK,0.2,1
28.8,4.5,120,0.2,left  ,4,4,33.3,175771.068582767,175779.761640811,OK,0.15,1
29.5,4.5,75,0.2,right ,4,4,34,175771.068582767,175779.761640811,OK,0.15,1
38.3,4.5,120,0.8,left  ,5,4,42.8,175779.894806566,175789.063020874,OK,0.1,0
38.3,4.5,165,0.2,right ,5,4,42.8,175779.894806566,175789.063020874,OK,0.1,0
46.5,4.5,60,0.2,right ,6,4,51,175789.187868576,175796.664108314,OK,0.25,1
47.6,4.5,45,0.2,left  ,6,4,52.1,175789.187868576,175796.664108314,OK,0.25,1
54.2,4.5,105,0.8,right ,7,4,58.7,175796.772433787,175804.865313897,OK,0.2,1
55.2,4.5,90,0.2,left  ,7,4,59.7,175796.772433787,175804.865313897,OK,0.2,1
62.4,4.5,120,0.8,right ,8,4,66.9,175804.965353468,175812.766555204,OK,0.15,1
63.4,4.5,150,0.8,left  ,8,4,67.9,175804.965353468,175812.766555204,OK,0.15,1
70.4,4.5,90,0.2,right ,9,4,74.9,175812.866598682,175820.867756671,OK,0.1,0
71.3,4.5,105,0.2,left  ,9,4,75.8,175812.866598682,175820.867756671,OK,0.1,0
78.4,4.5,60,0.2,right ,10,4,82.9,175820.967764092,175830.369145266,OK,0.25,1
79.4,4.5,0,0.2,left  ,10,4,83.9,175820.967764092,175830.369145266,OK,0.25,1
87.2,4.5,30,0.2,right ,11,4,91.7,175830.469226903,175838.962137599,OK,0.2,1
88.9,4.5,135,0.8,left  ,11,4,93.4,175830.469226903,175838.962137599,OK,0.2,1
95.7,4.5,75,0.8,right ,12,4,100.2,175839.062154034,175847.963506814,OK,0.15,0
97.5,4.5,90,0.2,left  ,12,4,102,175839.062154034,175847.963506814,OK,0.15,0
104,4.5,75,0.8,right ,13,4,108.5,175848.063520546,175857.164874047,OK,0.3,1
106.5,4.5,75,0.2,left  ,13,4,111,175848.063520546,175857.164874047,OK,0.3,1
111.9,4.5,120,0.8,right ,14,4,116.4,175857.264897393,175864.966075483,OK,0.25,1
115.7,4.5,120,0.2,left  ,14,4,120.2,175857.264897393,175864.966075483,OK,0.25,1
121.2,4.5,60,0.8,right ,15,4,125.7,175865.066106641,175874.267424898,OK,0.2,1
123.5,4.5,75,0.8,left  ,15,4,128,175865.066106641,175874.267424898,OK,0.2,1
130.5,4.5,15,0.2,right ,16,4,135,175874.36752306,175881.968578951,OK,0.15,1
132.8,4.5,90,0.8,left  ,16,4,137.3,175874.36752306,175881.968578951,OK,0.15,1
138.5,4.5,165,0.8,right ,17,4,143,175882.126881244,175890.96162711,OK,0.1,1
140.5,4.5,165,0.2,left  ,17,4,145,175882.126881244,175890.96162711,OK,0.1,1
147.2,4.5,135,0.8,right ,18,4,151.7,175891.094817803,175899.962970185,EMPTY,0.05,0
149.5,4.5,60,0.8,left  ,18,4,154,175891.094817803,175899.962970185,EMPTY,0.05,0
156.3,4.5,135,0.2,right ,19,4,160.8,175900.063026582,175908.964314462,OK,0.2,1
158.5,4.5,90,0.8,left  ,19,4,163,175900.063026582,175908.964314462,OK,0.2,1
165.8,4.5,90,0.8,right ,20,4,170.3,175909.064317978,175916.665446882,OK,0.15,1
167.5,4.5,0,0.2,left  ,20,4,172,175909.064317978,175916.665446882,OK,0.15,1
175.2,4.5,60,0.2,left  ,21,4,179.7,175916.76548435,175925.066729203,OK,0.1,0
175.2,4.5,30,0.8,right ,21,4,179.7,175916.76548435,175925.066729203,OK,0.1,0
183.5,4.5,45,0.2,right ,22,4,188,175925.166731517,175933.56802165,OK,0.25,1
183.6,4.5,105,0.8,left  ,22,4,188.1,175925.166731517,175933.56802165,OK,0.25,1
191.3,4.5,150,0.2,right ,23,4,195.8,175933.668058818,175942.169307697,OK,0.2,0
192.1,4.5,150,0.8,left  ,23,4,196.6,175933.668058818,175942.169307697,OK,0.2,0
200.4,4.5,15,0.2,right ,24,4,204.9,175942.269305804,175951.562400265,OK,0.35,1
