onset	duration	trial_type	repetition	run	subject	task	filename
1	0	horizontal	1	1	3	ret	./AC/ret1/AC_ret1.prt
11	0	vertical	1	1	3	ret	./AC/ret1/AC_ret1.prt
21	0	horizontal	2	1	3	ret	./AC/ret1/AC_ret1.prt
31	0	vertical	2	1	3	ret	./AC/ret1/AC_ret1.prt
41	0	horizontal	3	1	3	ret	./AC/ret1/AC_ret1.prt
51	0	vertical	3	1	3	ret	./AC/ret1/AC_ret1.prt
61	0	horizontal	4	1	3	ret	./AC/ret1/AC_ret1.prt
71	0	vertical	4	1	3	ret	./AC/ret1/AC_ret1.prt
81	0	horizontal	5	1	3	ret	./AC/ret1/AC_ret1.prt
91	0	vertical	5	1	3	ret	./AC/ret1/AC_ret1.prt
101	0	horizontal	6	1	3	ret	./AC/ret1/AC_ret1.prt
111	0	vertical	6	1	3	ret	./AC/ret1/AC_ret1.prt
