onset	duration	trial_type	contrast	orientation	repetition	run	subject	task	filename
1	2	con-0.3_ori-0	0.3	0	1	3	3	con	./AC/r3/AC_r3.prt
4	3	con-0.8_ori-60	0.8	60	1	3	3	con	./AC/r3/AC_r3.prt
8	2	con-0.8_ori-0	0.8	0	1	3	3	con	./AC/r3/AC_r3.prt
11	2	con-0.8_ori-160	0.8	160	1	3	3	con	./AC/r3/AC_r3.prt
14	3	con-0.3_ori-40	0.3	40	1	3	3	con	./AC/r3/AC_r3.prt
18	2	con-0.8_ori-100	0.8	100	1	3	3	con	./AC/r3/AC_r3.prt
21	2	con-0.8_ori-140	0.8	140	1	3	3	con	./AC/r3/AC_r3.prt
27	3	con-0.3_ori-120	0.3	120	1	3	3	con	./AC/r3/AC_r3.prt
31	2	con-0.8_ori-80	0.8	80	1	3	3	con	./AC/r3/AC_r3.prt
34	2	con-0.3_ori-140	0.3	140	1	3	3	con	./AC/r3/AC_r3.prt
37	3	con-0.3_ori-120	0.3	120	2	3	3	con	./AC/r3/AC_r3.prt
41	2	con-0.3_ori-0	0.3	0	2	3	3	con	./AC/r3/AC_r3.prt
44	2	con-0.3_ori-160	0.3	160	1	3	3	con	./AC/r3/AC_r3.prt
47	3	con-0.3_ori-100	0.3	100	1	3	3	con	./AC/r3/AC_r3.prt
51	2	con-0.8_ori-40	0.8	40	1	3	3	con	./AC/r3/AC_r3.prt
54	2	con-0.8_ori-20	0.8	20	1	3	3	con	./AC/r3/AC_r3.prt
60	3	con-0.8_ori-40	0.8	40	2	3	3	con	./AC/r3/AC_r3.prt
67	2	con-0.8_ori-100	0.8	100	2	3	3	con	./AC/r3/AC_r3.prt
70	3	con-0.3_ori-40	0.3	40	2	3	3	con	./AC/r3/AC_r3.prt
74	2	con-0.8_ori-140	0.8	140	2	3	3	con	./AC/r3/AC_r3.prt
80	3	con-0.3_ori-20	0.3	20	1	3	3	con	./AC/r3/AC_r3.prt
84	2	con-0.8_ori-160	0.8	160	2	3	3	con	./AC/r3/AC_r3.prt
87	2	con-0.8_ori-120	0.8	120	1	3	3	con	./AC/r3/AC_r3.prt
90	2	con-0.3_ori-160	0.3	160	2	3	3	con	./AC/r3/AC_r3.prt
93	3	con-0.3_ori-140	0.3	140	2	3	3	con	./AC/r3/AC_r3.prt
97	2	con-0.3_ori-80	0.3	80	1	3	3	con	./AC/r3/AC_r3.prt
103	3	con-0.3_ori-60	0.3	60	1	3	3	con	./AC/r3/AC_r3.prt
110	2	con-0.3_ori-60	0.3	60	2	3	3	con	./AC/r3/AC_r3.prt
113	3	con-0.3_ori-100	0.3	100	2	3	3	con	./AC/r3/AC_r3.prt
117	2	con-0.8_ori-80	0.8	80	2	3	3	con	./AC/r3/AC_r3.prt
120	2	con-0.8_ori-0	0.8	0	2	3	3	con	./AC/r3/AC_r3.prt
123	2	con-0.8_ori-20	0.8	20	2	3	3	con	./AC/r3/AC_r3.prt
126	3	con-0.3_ori-80	0.3	80	2	3	3	con	./AC/r3/AC_r3.prt
133	2	con-0.8_ori-120	0.8	120	2	3	3	con	./AC/r3/AC_r3.prt
140	2	con-0.3_ori-20	0.3	20	2	3	3	con	./AC/r3/AC_r3.prt
143	2	con-0.8_ori-60	0.8	60	2	3	3	con	./AC/r3/AC_r3.prt
