onset	duration	orientation	contrast	side	trial	subject	response_time
0	8.30058974423446	90	0.2	left	1	4	n/a
0	8.30058974423446	120	0.8	right	1	4	n/a
8.40792402741499	7.79206061508739	60	0.8	left	2	4	n/a
8.40792402741499	7.79206061508739	90	0.2	right	2	4	n/a
16.3041664512712	8.99579036521027	165	0.8	right	3	4	n/a
16.3041664512712	8.99579036521027	90	0.8	left	3	4	n/a
25.3999791685492	8.50063786952524	30	0.2	right	4	4	n/a
25.3999791685492	8.50063786952524	30	0.8	left	4	4	n/a
34.00061278051	7.8999244288425	30	0.8	right	5	4	n/a
34.00061278051	7.8999244288425	165	0.2	left	5	4	n/a
42.0006192428409	8.49932297639316	135	0.2	right	6	4	n/a
42.0006192428409	8.49932297639316	30	0.2	left	6	4	n/a
50.6005811531213	9.09932898258558	165	0.8	left	7	4	n/a
50.6005811531213	9.09932898258558	75	0.8	right	7	4	n/a
59.7999853267684	7.89996434311615	150	0.2	left	8	4	n/a
59.7999853267684	7.89996434311615	165	0.8	right	8	4	n/a
67.8006357408012	8.49927850038512	45	0.2	left	9	4	n/a
67.8006357408012	8.49927850038512	0	0.2	right	9	4	n/a
76.4006063942215	8.29995263495948	150	0.2	left	10	4	n/a
76.4006063942215	8.29995263495948	90	0.8	right	10	4	n/a
84.8005369052407	NaN	30	0.8	left	11	4	n/a
84.8005369052407	NaN	60	0.8	right	11	4	n/a
NaN	NaN	15	0.8	left	12	4	n/a
NaN	NaN	45	0.8	right	12	4	n/a
NaN	NaN	45	0.2	left	13	4	n/a
NaN	NaN	90	0.2	right	13	4	n/a
NaN	NaN	15	0.2	left	14	4	n/a
NaN	NaN	105	0.2	right	14	4	n/a
NaN	NaN	0	0.2	left	15	4	n/a
NaN	NaN	45	0.2	right	15	4	n/a
NaN	NaN	60	0.2	left	16	4	n/a
NaN	NaN	135	0.8	right	16	4	n/a
NaN	NaN	45	0.8	left	17	4	n/a
NaN	NaN	15	0.8	right	17	4	n/a
NaN	NaN	30	0.2	left	18	4	n/a
NaN	NaN	75	0.2	right	18	4	n/a
NaN	NaN	0	0.2	left	19	4	n/a
NaN	NaN	165	0.2	right	19	4	n/a
NaN	NaN	75	0.8	left	20	4	n/a
NaN	NaN	150	0.8	right	20	4	n/a
NaN	NaN	90	0.8	left	21	4	n/a
NaN	NaN	120	0.2	right	21	4	n/a
NaN	NaN	165	0.8	left	22	4	n/a
NaN	NaN	0	0.2	right	22	4	n/a
NaN	NaN	75	0.2	left	23	4	n/a
NaN	NaN	75	0.8	right	23	4	n/a
NaN	NaN	150	0.8	left	24	4	n/a
NaN	NaN	45	0.2	right	24	4	n/a
NaN	NaN	105	0.2	left	25	4	n/a
NaN	NaN	90	0.8	right	25	4	n/a
NaN	NaN	105	0.2	left	26	4	n/a
NaN	NaN	60	0.2	right	26	4	n/a
NaN	NaN	60	0.2	left	27	4	n/a
NaN	NaN	15	0.8	right	27	4	n/a
NaN	NaN	0	0.2	left	28	4	n/a
NaN	NaN	150	0.2	right	28	4	n/a
NaN	NaN	120	0.2	left	29	4	n/a
NaN	NaN	75	0.2	right	29	4	n/a
NaN	NaN	60	0.8	left	30	4	n/a
NaN	NaN	15	0.2	right	30	4	n/a
NaN	NaN	45	0.8	left	31	4	n/a
