onset	duration	orientation	contrast	side	trial	subject	response_time
0	8.6012836433365	90	0.8	right	1	4	n/a
0	8.6012836433365	120	0.2	left	1	4	n/a
8.70128475505044	9.00137792906025	165	0.8	right	2	4	n/a
8.70128475505044	9.00137792906025	15	0.2	left	2	4	n/a
17.8026812227326	9.40125347676803	120	0.8	right	3	4	n/a
17.8026812227326	9.40125347676803	165	0.8	left	3	4	n/a
27.3039877915289	9.2014279262803	60	0.2	right	4	4	n/a
27.3039877915289	9.2014279262803	90	0.8	left	4	4	n/a
36.6054865372425	7.79285153490491	90	0.2	right	5	4	n/a
36.6054865372425	7.79285153490491	15	0.8	left	5	4	n/a
44.4983776432928	8.20106196083361	75	0.2	right	6	4	n/a
44.4983776432928	8.20106196083361	120	0.8	left	6	4	n/a
52.8329154376406	8.76800794908195	90	0.2	left	7	4	n/a
52.8329154376406	8.76800794908195	15	0.2	right	7	4	n/a
61.700931108644	8.60132330463966	75	0.2	left	8	4	n/a
61.700931108644	8.60132330463966	30	0.8	right	8	4	n/a
70.4022516189725	8.90130650869105	105	0.8	left	9	4	n/a
70.4022516189725	8.90130650869105	150	0.8	right	9	4	n/a
79.4035919899761	8.40125588045339	45	0.2	left	10	4	n/a
79.4035919899761	8.40125588045339	45	0.2	right	10	4	n/a
87.9047357071249	9.19319670824916	0	0.2	left	11	4	n/a
87.9047357071249	9.19319670824916	165	0.2	right	11	4	n/a
97.1979461465671	7.50115543528227	150	0.8	left	12	4	n/a
97.1979461465671	7.50115543528227	135	0.8	right	12	4	n/a
104.84893679223	9.3516621531744	30	0.8	left	13	4	n/a
104.84893679223	9.3516621531744	150	0.2	right	13	4	n/a
114.300502105791	7.60113040660508	165	0.8	left	14	4	n/a
114.300502105791	7.60113040660508	60	0.8	right	14	4	n/a
122.001662468654	8.50126660705428	120	0.2	left	15	4	n/a
122.001662468654	8.50126660705428	75	0.2	right	15	4	n/a
130.602953623631	8.20125816398649	45	0.8	left	16	4	n/a
130.602953623631	8.20125816398649	30	0.8	right	16	4	n/a
138.904210495617	7.60119470595964	45	0.2	left	17	4	n/a
138.904210495617	7.60119470595964	30	0.2	right	17	4	n/a
146.605383477989	8.89301339501981	105	0.2	left	18	4	n/a
146.605383477989	8.89301339501981	30	0.2	right	18	4	n/a
155.598395581008	8.60128214102588	75	0.8	left	19	4	n/a
155.598395581008	8.60128214102588	135	0.8	right	19	4	n/a
164.299692655099	9.00133315988933	15	0.8	left	20	4	n/a
164.299692655099	9.00133315988933	0	0.2	right	20	4	n/a
173.401068390755	8.7012997783022	90	0.2	left	21	4	n/a
173.401068390755	8.7012997783022	120	0.8	right	21	4	n/a
182.20239421929	8.90129989848356	165	0.8	right	22	4	n/a
182.20239421929	8.90129989848356	135	0.8	left	22	4	n/a
191.211931254977	8.59308697868255	135	0.2	left	23	4	n/a
191.211931254977	8.59308697868255	135	0.2	right	23	4	n/a
199.90501513888	9.39295555563876	30	0.2	left	24	4	n/a
199.90501513888	9.39295555563876	90	0.8	right	24	4	n/a
209.398134958319	9.20138135433081	15	0.2	left	25	4	n/a
209.398134958319	9.20138135433081	45	0.8	right	25	4	n/a
218.707849598402	8.39293602545513	150	0.2	left	26	4	n/a
218.707849598402	8.39293602545513	60	0.8	right	26	4	n/a
227.200801758794	9.00136080256198	0	0.2	left	27	4	n/a
227.200801758794	9.00136080256198	105	0.8	right	27	4	n/a
236.302164574474	8.30124815853196	30	0.8	left	28	4	n/a
236.302164574474	8.30124815853196	105	0.2	right	28	4	n/a
244.703552959661	9.10128559637815	60	0.2	left	29	4	n/a
244.703552959661	9.10128559637815	150	0.2	right	29	4	n/a
253.904826146871	7.90116198538453	0	0.2	left	30	4	n/a
253.904826146871	7.90116198538453	75	0.8	right	30	4	n/a
261.906012079242	9.39310368450242	45	0.8	left	31	4	n/a
261.906012079242	9.39310368450242	75	0.8	right	31	4	n/a
271.399137607514	7.9011884262145	60	0.2	left	32	4	n/a
271.399137607514	7.9011884262145	0	0.2	right	32	4	n/a
279.400343370537	7.50112358605838	165	0.2	left	33	4	n/a
279.400343370537	7.50112358605838	15	0.8	right	33	4	n/a
287.001465063659	8.90141287303413	90	0.8	left	34	4	n/a
287.001465063659	8.90141287303413	90	0.2	right	34	4	n/a
296.002891367447	9.10129280752153	165	0.2	left	35	4	n/a
296.002891367447	9.10129280752153	105	0.8	right	35	4	n/a
305.204197605723	9.40141001861775	75	0.2	left	36	4	n/a
305.204197605723	9.40141001861775	105	0.2	right	36	4	n/a
314.705632773199	7.89286646796972	0	0.2	left	37	4	n/a
314.705632773199	7.89286646796972	120	0.2	right	37	4	n/a
322.698516878416	9.10136612079805	75	0.8	left	38	4	n/a
322.698516878416	9.10136612079805	135	0.2	right	38	4	n/a
331.916417757078	8.38472133292817	60	0.8	left	39	4	n/a
331.916417757078	8.38472133292817	45	0.2	right	39	4	n/a
340.401154323539	8.40115191982477	60	0.8	left	40	4	n/a
340.401154323539	8.40115191982477	0	0.2	right	40	4	n/a
348.9023719549	9.00143261352787	135	0.2	left	41	4	n/a
348.9023719549	9.00143261352787	150	0.8	right	41	4	n/a
358.003830318223	9.30137074794038	150	0.8	left	42	4	n/a
358.003830318223	9.30137074794038	0	0.2	right	42	4	n/a
367.405217501539	7.50120741559658	105	0.2	left	43	4	n/a
367.405217501539	7.50120741559658	165	0.2	right	43	4	n/a
374.998037367535	8.80132853271789	135	0.8	left	44	4	n/a
374.998037367535	8.80132853271789	45	0.8	right	44	4	n/a
383.899248629052	7.9013161235489	150	0.2	left	45	4	n/a
383.899248629052	7.9013161235489	15	0.8	right	45	4	n/a
391.900576681015	8.20124193892116	120	0.8	left	46	4	n/a
