onset	duration	orientation	contrast	side	trial	subject	response_time
0	9.19903430051636	60	0.8	right	1	4	n/a
0	9.19903430051636	105	0.8	left	1	4	n/a
9.29968083719723	8.19929849554319	60	0.2	left	2	4	n/a
9.29968083719723	8.19929849554319	15	0.8	right	2	4	n/a
17.5990393183311	7.8006159736542	45	0.2	left	3	4	n/a
17.5990393183311	7.8006159736542	45	0.2	right	3	4	n/a
25.4996833460755	8.19936958112521	15	0.2	left	4	4	n/a
25.4996833460755	8.19936958112521	45	0.2	right	4	4	n/a
33.7998138850671	9.19917837233515	60	0.2	right	5	4	n/a
33.7998138850671	9.19917837233515	135	0.8	left	5	4	n/a
43.098999403941	8.70068029279355	45	0.8	right	6	4	n/a
43.098999403941	8.70068029279355	75	0.8	left	6	4	n/a
51.8990668402403	9.39999931573402	165	0.8	right	7	4	n/a
51.8990668402403	9.39999931573402	150	0.8	left	7	4	n/a
61.399756788509	8.5993122564978	0	0.2	right	8	4	n/a
61.399756788509	8.5993122564978	105	0.2	left	8	4	n/a
70.0991153456853	9.10055378329707	90	0.2	right	9	4	n/a
70.0991153456853	9.10055378329707	45	0.8	left	9	4	n/a
79.2997009844403	NaN	30	0.2	right	10	4	n/a
79.2997009844403	NaN	120	0.2	left	10	4	n/a
NaN	NaN	165	0.8	right	11	4	n/a
NaN	NaN	30	0.2	left	11	4	n/a
NaN	NaN	45	0.8	right	12	4	n/a
NaN	NaN	30	0.2	left	12	4	n/a
NaN	NaN	0	0.2	right	13	4	n/a
NaN	NaN	120	0.8	left	13	4	n/a
NaN	NaN	30	0.8	right	14	4	n/a
NaN	NaN	75	0.2	left	14	4	n/a
NaN	NaN	105	0.8	right	15	4	n/a
NaN	NaN	135	0.8	left	15	4	n/a
NaN	NaN	15	0.2	right	16	4	n/a
NaN	NaN	15	0.2	left	16	4	n/a
NaN	NaN	60	0.2	right	17	4	n/a
NaN	NaN	75	0.8	left	17	4	n/a
NaN	NaN	165	0.2	right	18	4	n/a
NaN	NaN	90	0.2	left	18	4	n/a
NaN	NaN	90	0.8	right	19	4	n/a
NaN	NaN	0	0.2	left	19	4	n/a
NaN	NaN	0	0.2	right	20	4	n/a
NaN	NaN	165	0.8	left	20	4	n/a
NaN	NaN	135	0.8	right	21	4	n/a
NaN	NaN	75	0.2	left	21	4	n/a
NaN	NaN	150	0.2	right	22	4	n/a
NaN	NaN	165	0.8	left	22	4	n/a
NaN	NaN	0	0.2	left	23	4	n/a
NaN	NaN	60	0.8	right	23	4	n/a
NaN	NaN	90	0.2	right	24	4	n/a
NaN	NaN	150	0.8	left	24	4	n/a
NaN	NaN	120	0.2	right	25	4	n/a
NaN	NaN	60	0.8	left	25	4	n/a
NaN	NaN	105	0.2	right	26	4	n/a
NaN	NaN	105	0.2	left	26	4	n/a
NaN	NaN	105	0.2	right	27	4	n/a
NaN	NaN	60	0.2	left	27	4	n/a
NaN	NaN	120	0.8	right	28	4	n/a
NaN	NaN	165	0.2	left	28	4	n/a
NaN	NaN	75	0.8	right	29	4	n/a
NaN	NaN	105	0.8	left	29	4	n/a
NaN	NaN	120	0.8	right	30	4	n/a
NaN	NaN	90	0.2	left	30	4	n/a
NaN	NaN	30	0.8	right	31	4	n/a
NaN	NaN	135	0.2	left	31	4	n/a
NaN	NaN	15	0.2	right	32	4	n/a
NaN	NaN	0	0.2	left	32	4	n/a
NaN	NaN	0	0.2	right	33	4	n/a
NaN	NaN	45	0.2	left	33	4	n/a
NaN	NaN	165	0.2	left	34	4	n/a
NaN	NaN	75	0.8	right	34	4	n/a
NaN	NaN	15	0.8	left	35	4	n/a
NaN	NaN	150	0.8	right	35	4	n/a
NaN	NaN	150	0.2	left	36	4	n/a
NaN	NaN	15	0.8	right	36	4	n/a
NaN	NaN	120	0.8	left	37	4	n/a
NaN	NaN	30	0.2	right	37	4	n/a
NaN	NaN	150	0.2	left	38	4	n/a
NaN	NaN	120	0.2	right	38	4	n/a
NaN	NaN	15	0.8	left	39	4	n/a
NaN	NaN	90	0.8	right	39	4	n/a
NaN	NaN	135	0.8	right	40	4	n/a
NaN	NaN	90	0.8	left	40	4	n/a
NaN	NaN	105	0.8	right	41	4	n/a
NaN	NaN	135	0.2	left	41	4	n/a
NaN	NaN	120	0.2	left	42	4	n/a
NaN	NaN	75	0.2	right	42	4	n/a
NaN	NaN	0	0.2	left	43	4	n/a
NaN	NaN	165	0.2	right	43	4	n/a
NaN	NaN	90	0.8	left	44	4	n/a
NaN	NaN	75	0.2	right	44	4	n/a
NaN	NaN	60	0.8	left	45	4	n/a
NaN	NaN	135	0.2	right	45	4	n/a
NaN	NaN	30	0.8	left	46	4	n/a
NaN	NaN	150	0.2	right	46	4	n/a
NaN	NaN	45	0.8	left	47	4	n/a
NaN	NaN	135	0.2	right	47	4	n/a
NaN	NaN	30	0.8	left	48	4	n/a
NaN	NaN	150	0.8	right	48	4	n/a
NaN	NaN	n/a	n/a	middle	1	4	n/a
NaN	0.299946172628552	n/a	n/a	middle	2	4	n/a
NaN	0.300012696534395	n/a	n/a	middle	3	4	n/a
NaN	0.299968980834819	n/a	n/a	middle	4	4	n/a
NaN	0.300623576389626	n/a	n/a	middle	5	4	n/a
NaN	0.299987227423117	n/a	n/a	middle	6	4	n/a
NaN	0.299999391834717	n/a	n/a	middle	7	4	n/a
NaN	0.299396114714909	n/a	n/a	middle	8	4	n/a
NaN	0.299947313091252	n/a	n/a	middle	9	4	n/a
NaN	0.300088723888621	n/a	n/a	middle	10	4	n/a
NaN	0.30006021365989	n/a	n/a	middle	11	4	n/a
NaN	0.299959097290412	n/a	n/a	middle	12	4	n/a
NaN	0.299918042554054	n/a	n/a	middle	13	4	n/a
NaN	0.299355059920345	n/a	n/a	middle	14	4	n/a
NaN	0.300059453351423	n/a	n/a	middle	15	4	n/a
NaN	0.299456556444056	n/a	n/a	middle	16	4	n/a
NaN	0.299420443421695	n/a	n/a	middle	17	4	n/a
NaN	0.300016117747873	n/a	n/a	middle	18	4	n/a
NaN	0.299852278840262	n/a	n/a	middle	19	4	n/a
NaN	0.300035504740663	n/a	n/a	middle	20	4	n/a
NaN	0.300014977401588	n/a	n/a	middle	21	4	n/a
NaN	NaN	n/a	n/a	middle	22	4	1.104254
NaN	NaN	n/a	n/a	middle	23	4	n/a
NaN	NaN	n/a	n/a	middle	24	4	n/a
NaN	NaN	n/a	n/a	middle	25	4	n/a
NaN	NaN	n/a	n/a	middle	26	4	n/a
NaN	NaN	n/a	n/a	middle	27	4	n/a
NaN	NaN	n/a	n/a	middle	28	4	n/a
NaN	NaN	n/a	n/a	middle	29	4	n/a
NaN	NaN	n/a	n/a	middle	30	4	n/a
NaN	NaN	n/a	n/a	middle	31	4	n/a
NaN	NaN	n/a	n/a	middle	32	4	n/a
NaN	NaN	n/a	n/a	middle	33	4	n/a
NaN	NaN	n/a	n/a	middle	34	4	n/a
NaN	NaN	n/a	n/a	middle	35	4	n/a
NaN	NaN	n/a	n/a	middle	36	4	n/a
NaN	NaN	n/a	n/a	middle	37	4	n/a
NaN	NaN	n/a	n/a	middle	38	4	n/a
NaN	NaN	n/a	n/a	middle	39	4	n/a
NaN	NaN	n/a	n/a	middle	40	4	n/a
NaN	NaN	n/a	n/a	middle	41	4	n/a
NaN	NaN	n/a	n/a	middle	42	4	n/a
NaN	NaN	n/a	n/a	middle	43	4	n/a
NaN	NaN	n/a	n/a	middle	44	4	n/a
NaN	NaN	n/a	n/a	middle	45	4	n/a
NaN	NaN	n/a	n/a	middle	46	4	n/a
NaN	NaN	n/a	n/a	middle	47	4	n/a
NaN	NaN	n/a	n/a	middle	48	4	n/a
NaN	NaN	n/a	n/a	middle	49	4	n/a
NaN	NaN	n/a	n/a	middle	50	4	n/a
NaN	NaN	n/a	n/a	middle	51	4	n/a
NaN	NaN	n/a	n/a	middle	52	4	n/a
NaN	NaN	n/a	n/a	middle	53	4	n/a
NaN	NaN	n/a	n/a	middle	54	4	n/a
NaN	NaN	n/a	n/a	middle	55	4	n/a
NaN	NaN	n/a	n/a	middle	56	4	n/a
NaN	NaN	n/a	n/a	middle	57	4	n/a
NaN	NaN	n/a	n/a	middle	58	4	n/a
NaN	NaN	n/a	n/a	middle	59	4	n/a
NaN	NaN	n/a	n/a	middle	60	4	n/a
NaN	NaN	n/a	n/a	middle	61	4	n/a
NaN	NaN	n/a	n/a	middle	62	4	n/a
