onset	duration	orientation	contrast	side	trial	subject	response_time
0	9.09934418799821	165	0.2	left	1	4	n/a
0	9.09934418799821	120	0.8	right	1	4	n/a
9.19927188596921	8.70003406028263	120	0.2	left	2	4	n/a
9.19927188596921	8.70003406028263	75	0.2	right	2	4	n/a
17.9993130927905	9.4000502541312	135	0.8	left	3	4	n/a
17.9993130927905	9.4000502541312	45	0.2	right	3	4	n/a
27.4993111921358	9.40075350715779	105	0.8	left	4	4	n/a
27.4993111921358	9.40075350715779	60	0.2	right	4	4	n/a
37.0000060821767	7.89997384656454	30	0.2	left	5	4	n/a
37.0000060821767	7.89997384656454	90	0.2	right	5	4	n/a
44.9999528630287	8.70009374170331	75	0.2	left	6	4	n/a
44.9999528630287	8.70009374170331	30	0.8	right	6	4	n/a
53.7999564363272	8.89938159345184	15	0.8	left	7	4	n/a
53.7999564363272	8.89938159345184	0	0.2	right	7	4	n/a
62.7993265496334	8.39999551442452	30	0.8	left	8	4	n/a
62.7993265496334	8.39999551442452	75	0.8	right	8	4	n/a
71.2993090633536	9.09996495139785	150	0.2	left	9	4	n/a
71.2993090633536	9.09996495139785	135	0.8	right	9	4	n/a
80.4993241167977	7.7999773438205	120	0.8	left	10	4	n/a
80.4993241167977	7.7999773438205	135	0.2	right	10	4	n/a
88.4000225040945	7.59928716748254	105	0.2	left	11	4	n/a
88.4000225040945	7.59928716748254	120	0.2	right	11	4	n/a
96.0992955304682	7.40000197675545	75	0.8	left	12	4	n/a
96.0992955304682	7.40000197675545	90	0.8	right	12	4	n/a
103.599303513358	8.89998335001292	135	0.8	left	13	4	n/a
103.599303513358	8.89998335001292	135	0.8	right	13	4	n/a
112.599301992799	7.49999961990397	165	0.8	right	14	4	n/a
112.599301992799	7.49999961990397	60	0.8	left	14	4	n/a
120.199311800359	8.20001315273112	75	0.8	right	15	4	n/a
120.199311800359	8.20001315273112	0	0.2	left	15	4	n/a
128.499315373658	8.40058738732478	30	0.2	left	16	4	n/a
128.499315373658	8.40058738732478	165	0.8	right	16	4	n/a
136.999305490055	7.80000889522489	150	0.2	right	17	4	n/a
136.999305490055	7.80000889522489	75	0.8	left	17	4	n/a
144.899296062707	8.49997947260272	15	0.2	left	18	4	n/a
144.899296062707	8.49997947260272	135	0.2	right	18	4	n/a
153.49930663046	8.20001239248086	120	0.2	right	19	4	n/a
153.49930663046	8.20001239248086	165	0.8	left	19	4	n/a
161.799293857883	9.00002584932372	45	0.8	right	20	4	n/a
