onset	duration	orientation	contrast	side	trial	subject	response_time
0	9.39931788606918	30	0.8	left	1	4	n/a
0	9.39931788606918	165	0.8	right	1	4	n/a
9.53259571365197	8.26616535207722	165	0.8	left	2	4	n/a
9.53259571365197	8.26616535207722	105	0.2	right	2	4	n/a
17.9402653039433	9.35781986746588	15	0.2	right	3	4	n/a
17.9402653039433	9.35781986746588	15	0.8	left	3	4	n/a
27.406385706563	7.7910033793305	45	0.2	right	4	4	n/a
27.406385706563	7.7910033793305	90	0.2	left	4	4	n/a
35.2973889957648	8.89952565709245	90	0.8	right	5	4	n/a
35.2973889957648	8.89952565709245	90	0.8	left	5	4	n/a
44.3217281021061	8.57452009100234	30	0.2	right	6	4	n/a
44.3217281021061	8.57452009100234	75	0.8	left	6	4	n/a
53.0044835275039	8.19121935302974	150	0.8	right	7	4	n/a
53.0044835275039	8.19121935302974	0	0.2	left	7	4	n/a
61.2956727439596	8.39943056018092	90	0.8	right	8	4	n/a
61.2956727439596	8.39943056018092	90	0.8	left	8	4	n/a
69.7950827824243	8.39941102996818	0	0.2	right	9	4	n/a
69.7950827824243	8.39941102996818	0	0.2	left	9	4	n/a
78.294345893868	8.69948407282936	150	0.8	right	10	4	n/a
78.294345893868	8.69948407282936	135	0.8	left	10	4	n/a
87.1021632524498	8.89108892148943	15	0.8	right	11	4	n/a
87.1021632524498	8.89108892148943	105	0.8	left	11	4	n/a
96.0932397647703	7.99941619797028	15	0.8	right	12	4	n/a
96.0932397647703	7.99941619797028	90	0.2	left	12	4	n/a
104.192670895805	7.49948335174122	75	0.8	right	13	4	n/a
104.192670895805	7.49948335174122	0	0.2	left	13	4	n/a
111.800505260704	9.09928841050714	120	0.8	right	14	4	n/a
111.800505260704	9.09928841050714	60	0.8	left	14	4	n/a
120.999780360638	8.19942953859572	75	0.2	right	15	4	n/a
120.999780360638	8.19942953859572	75	0.8	left	15	4	n/a
129.299205602583	8.9994675773487	150	0.2	right	16	4	n/a
129.299205602583	8.9994675773487	105	0.2	left	16	4	n/a
138.398582650058	7.69943509716541	0	0.2	right	17	4	n/a
138.398582650058	7.69943509716541	15	0.8	left	17	4	n/a
146.198023966834	7.59946072677849	135	0.2	right	18	4	n/a
146.198023966834	7.59946072677849	165	0.8	left	18	4	n/a
153.897477692808	9.29933570357389	105	0.2	right	19	4	n/a
153.897477692808	9.29933570357389	135	0.8	left	19	4	n/a
163.296816611371	9.19936614061589	120	0.8	right	20	4	n/a
163.296816611371	9.19936614061589	45	0.8	left	20	4	n/a
172.59618566648	9.3993326088239	165	0.8	right	21	4	n/a
172.59618566648	9.3993326088239	0	0.2	left	21	4	n/a
182.095495650341	9.19935231926502	0	0.2	right	22	4	n/a
182.095495650341	9.19935231926502	105	0.8	left	22	4	n/a
191.394844874827	7.39947532932274	60	0.2	right	23	4	n/a
