trial_type	side	run	subject	trial	onset_expected	duration_expected	orientation	contrast	iti_expected	n_flip_in_trial	exitflag	response	correct	flip_in_trial	flip	vbl_expected	event	answer	vbl	stimulus_onset_time	flip_timestamp	beampos	missed	press_time	phase_1	phase_2	phase_3	phase_4	phase_5
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	1	1	0	trial_start	n/a	112733.107485641	NaN	NaN	NaN	NaN	NaN	142.133333333333	65.6	43.7333333333333	21.8666666666667	142.133333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	2	2	0.1	trial_going	n/a	112733.207633708	NaN	NaN	NaN	NaN	NaN	142.133333333333	54.6666666666667	98.4	109.333333333333	10.9333333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	3	3	0.2	trial_going	n/a	112733.307667	NaN	NaN	NaN	NaN	NaN	21.8666666666667	76.5333333333333	32.8	54.6666666666667	54.6666666666667
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	4	4	0.3	trial_going	n/a	112733.407646508	NaN	NaN	NaN	NaN	NaN	21.8666666666667	131.2	54.6666666666667	87.4666666666667	0
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	5	5	0.4	trial_going	n/a	112733.507709545	NaN	NaN	NaN	NaN	NaN	109.333333333333	131.2	109.333333333333	76.5333333333333	98.4
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	6	6	0.5	trial_going	n/a	112733.607730818	NaN	NaN	NaN	NaN	NaN	109.333333333333	164	0	109.333333333333	32.8
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	7	7	0.6	trial_going	n/a	112733.707744278	NaN	NaN	NaN	NaN	NaN	43.7333333333333	32.8	164	21.8666666666667	21.8666666666667
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	8	8	0.7	trial_going	n/a	112733.807811221	NaN	NaN	NaN	NaN	NaN	43.7333333333333	65.6	153.066666666667	87.4666666666667	142.133333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	9	9	0.8	trial_going	n/a	112733.907855028	NaN	NaN	NaN	NaN	NaN	164	120.266666666667	131.2	21.8666666666667	32.8
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	10	10	0.9	trial_going	n/a	112734.007746802	NaN	NaN	NaN	NaN	NaN	164	21.8666666666667	10.9333333333333	65.6	10.9333333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	11	11	1	trial_going	n/a	112734.107755455	NaN	NaN	NaN	NaN	NaN	21.8666666666667	54.6666666666667	153.066666666667	109.333333333333	76.5333333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	12	12	1.1	trial_going	n/a	112734.207804972	NaN	NaN	NaN	NaN	NaN	21.8666666666667	131.2	87.4666666666667	87.4666666666667	120.266666666667
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	13	13	1.2	trial_going	n/a	112734.307788687	NaN	NaN	NaN	NaN	NaN	164	32.8	43.7333333333333	153.066666666667	142.133333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	14	14	1.3	trial_going	n/a	112734.407812663	NaN	NaN	NaN	NaN	NaN	164	54.6666666666667	0	98.4	54.6666666666667
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	15	15	1.4	trial_going	n/a	112734.507815307	NaN	NaN	NaN	NaN	NaN	131.2	76.5333333333333	65.6	164	98.4
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	16	16	1.5	trial_going	n/a	112734.607820656	NaN	NaN	NaN	NaN	NaN	131.2	54.6666666666667	164	164	43.7333333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	17	17	1.6	trial_going	n/a	112734.707844933	NaN	NaN	NaN	NaN	NaN	65.6	10.9333333333333	109.333333333333	109.333333333333	153.066666666667
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	18	18	1.7	trial_going	n/a	112734.807853586	NaN	NaN	NaN	NaN	NaN	65.6	87.4666666666667	87.4666666666667	32.8	0
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	19	19	1.8	trial_going	n/a	112734.907865545	NaN	NaN	NaN	NaN	NaN	131.2	43.7333333333333	131.2	65.6	98.4
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	20	20	1.9	trial_going	n/a	112735.00788201	NaN	NaN	NaN	NaN	NaN	131.2	98.4	54.6666666666667	65.6	32.8
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	21	21	2	trial_going	n/a	112735.1079144	NaN	NaN	NaN	NaN	NaN	109.333333333333	0	120.266666666667	153.066666666667	142.133333333333
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	22	22	2.1	trial_going	n/a	112735.207922753	NaN	NaN	NaN	NaN	NaN	109.333333333333	98.4	54.6666666666667	21.8666666666667	131.2
grating	left	3	5	1	0	5	90	0.8	2.8	78	NA	NO RESPONSE	NaN	23	23	2.2	trial_going	n/a	112735.307930805	NaN	NaN	NaN	NaN	NaN	142.133333333333	65.6	10.9333333333333	164	65.6
